# TBinMid=0.25 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   5.59538541E-13   2.97588857E-13   2.97588857E-13   1.82545446E-13   4.80730049E-13   4.80730049E-13
   2.00000000E-04   1.45263990E+07   1.76339974E+07   1.76339974E+07   5.88467606E+06   1.23879235E+07   1.23879235E+07
   4.00000000E-04   6.28941283E+07   8.29597435E+07   8.29597435E+07   2.87881741E+07   5.41700920E+07   5.41700920E+07
   6.00000000E-04   1.45814553E+08   2.01879321E+08   2.01879321E+08   7.32532349E+07   1.26766684E+08   1.26766684E+08
   8.00000000E-04   2.61674322E+08   3.74618046E+08   3.74618046E+08   1.41892515E+08   2.29487764E+08   2.29487764E+08
   1.00000000E-03   4.08046340E+08   5.98948992E+08   5.98948992E+08   2.36148282E+08   3.60805763E+08   3.60805763E+08
   1.20000000E-03   5.82150321E+08   8.71322813E+08   8.71322813E+08   3.56610710E+08   5.18758311E+08   5.18758311E+08
   1.40000000E-03   7.81069504E+08   1.18745131E+09   1.18745131E+09   5.03216693E+08   7.01147387E+08   7.01147387E+08
   1.60000000E-03   1.00187015E+09   1.54265654E+09   1.54265654E+09   6.75393106E+08   9.05656022E+08   9.05656022E+08
   1.80000000E-03   1.24167281E+09   1.93209611E+09   1.93209611E+09   8.72167534E+08   1.12992322E+09   1.12992322E+09
   2.00000000E-03   1.49769652E+09   2.35091488E+09   2.35091488E+09   1.09225716E+09   1.37159468E+09   1.37159468E+09
   2.20000000E-03   1.76728628E+09   2.79434909E+09   2.79434909E+09   1.33414171E+09   1.62835814E+09   1.62835814E+09
   2.40000000E-03   2.04792984E+09   3.25779835E+09   3.25779835E+09   1.59612410E+09   1.89796850E+09   1.89796850E+09
   2.60000000E-03   2.33726727E+09   3.73687478E+09   3.73687478E+09   1.87638111E+09   2.17826546E+09   2.17826546E+09
   2.80000000E-03   2.63309542E+09   4.22743575E+09   4.22743575E+09   2.17300606E+09   2.46718603E+09   2.46718603E+09
   3.00000000E-03   2.93336893E+09   4.72560439E+09   4.72560439E+09   2.48404454E+09   2.76277288E+09   2.76277288E+09
   3.20000000E-03   3.23619867E+09   5.22778103E+09   5.22778103E+09   2.80752445E+09   3.06317976E+09   3.06317976E+09
   3.40000000E-03   3.53984843E+09   5.73064781E+09   5.73064781E+09   3.14148100E+09   3.36667450E+09   3.36667450E+09
   3.60000000E-03   3.84273027E+09   6.23116807E+09   6.23116807E+09   3.48397758E+09   3.67164022E+09   3.67164022E+09
   3.80000000E-03   4.14339901E+09   6.72658193E+09   6.72658193E+09   3.83312286E+09   3.97657509E+09   3.97657509E+09
   4.00000000E-03   4.44054618E+09   7.21439894E+09   7.21439894E+09   4.18708471E+09   4.28009097E+09   4.28009097E+09
   4.20000000E-03   4.73299345E+09   7.69238857E+09   7.69238857E+09   4.54410144E+09   4.58091115E+09   4.58091115E+09
   4.40000000E-03   5.01968597E+09   8.15856925E+09   8.15856925E+09   4.90249058E+09   4.87786745E+09   4.87786745E+09
   4.60000000E-03   5.29968550E+09   8.61119624E+09   8.61119624E+09   5.26065560E+09   5.16989675E+09   5.16989675E+09
   4.80000000E-03   5.57216367E+09   9.04874890E+09   9.04874890E+09   5.61709089E+09   5.45603716E+09   5.45603716E+09
   5.00000000E-03   5.83639517E+09   9.46991760E+09   9.46991760E+09   5.97038513E+09   5.73542389E+09   5.73542389E+09
   5.20000000E-03   6.09175116E+09   9.87359033E+09   9.87359033E+09   6.31922334E+09   6.00728492E+09   6.00728492E+09
   5.40000000E-03   6.33769288E+09   1.02588395E+10   1.02588395E+10   6.66238789E+09   6.27093654E+09   6.27093654E+09
   5.60000000E-03   6.57376534E+09   1.06249089E+10   1.06249089E+10   6.99875838E+09   6.52577878E+09   6.52577878E+09
   5.80000000E-03   6.79959136E+09   1.09712009E+10   1.09712009E+10   7.32731084E+09   6.77129093E+09   6.77129093E+09
   6.00000000E-03   7.01486577E+09   1.12972637E+10   1.12972637E+10   7.64711616E+09   7.00702693E+09   7.00702693E+09
   6.20000000E-03   7.21934992E+09   1.16027799E+10   1.16027799E+10   7.95733797E+09   7.23261091E+09   7.23261091E+09
   6.40000000E-03   7.41286637E+09   1.18875546E+10   1.18875546E+10   8.25723003E+09   7.44773277E+09   7.44773277E+09
   6.60000000E-03   7.59529396E+09   1.21515046E+10   1.21515046E+10   8.54613329E+09   7.65214391E+09   7.65214391E+09
   6.80000000E-03   7.76656298E+09   1.23946478E+10   1.23946478E+10   8.82347255E+09   7.84565295E+09   7.84565295E+09
   7.00000000E-03   7.92665072E+09   1.26170935E+10   1.26170935E+10   9.08875297E+09   8.02812175E+09   8.02812175E+09
   7.20000000E-03   8.07557724E+09   1.28190327E+10   1.28190327E+10   9.34155635E+09   8.19946140E+09   8.19946140E+09
   7.40000000E-03   8.21340135E+09   1.30007299E+10   1.30007299E+10   9.58153734E+09   8.35962851E+09   8.35962851E+09
   7.60000000E-03   8.34021683E+09   1.31625141E+10   1.31625141E+10   9.80841948E+09   8.50862153E+09   8.50862153E+09
   7.80000000E-03   8.45614897E+09   1.33047719E+10   1.33047719E+10   1.00219913E+10   8.64647731E+09   8.64647731E+09
   8.00000000E-03   8.56135120E+09   1.34279395E+10   1.34279395E+10   1.02221024E+10   8.77326774E+09   8.77326774E+09
   8.20000000E-03   8.65600202E+09   1.35324967E+10   1.35324967E+10   1.04086593E+10   8.88909666E+09   8.88909666E+09
   8.40000000E-03   8.74030212E+09   1.36189602E+10   1.36189602E+10   1.05816220E+10   8.99409680E+09   8.99409680E+09
   8.60000000E-03   8.81447169E+09   1.36878780E+10   1.36878780E+10   1.07409998E+10   9.08842697E+09   9.08842697E+09
   8.80000000E-03   8.87874788E+09   1.37398243E+10   1.37398243E+10   1.08868476E+10   9.17226937E+09   9.17226937E+09
   9.00000000E-03   8.93338253E+09   1.37753943E+10   1.37753943E+10   1.10192626E+10   9.24582705E+09   9.24582705E+09
   9.20000000E-03   8.97863997E+09   1.37952000E+10   1.37952000E+10   1.11383803E+10   9.30932151E+09   9.30932151E+09
   9.40000000E-03   9.01479504E+09   1.37998659E+10   1.37998659E+10   1.12443716E+10   9.36299050E+09   9.36299050E+09
   9.60000000E-03   9.04213125E+09   1.37900253E+10   1.37900253E+10   1.13374393E+10   9.40708584E+09   9.40708584E+09
   9.80000000E-03   9.06093907E+09   1.37663170E+10   1.37663170E+10   1.14178150E+10   9.44187152E+09   9.44187152E+09
   1.00000000E-02   9.07151438E+09   1.37293822E+10   1.37293822E+10   1.14857560E+10   9.46762183E+09   9.46762183E+09
   1.02000000E-02   9.07415703E+09   1.36798617E+10   1.36798617E+10   1.15415429E+10   9.48461964E+09   9.48461964E+09
   1.04000000E-02   9.06916950E+09   1.36183933E+10   1.36183933E+10   1.15854762E+10   9.49315480E+09   9.49315480E+09
   1.06000000E-02   9.05685575E+09   1.35456098E+10   1.35456098E+10   1.16178746E+10   9.49352271E+09   9.49352271E+09
   1.08000000E-02   9.03752008E+09   1.34621367E+10   1.34621367E+10   1.16390719E+10   9.48602287E+09   9.48602287E+09
   1.10000000E-02   9.01146618E+09   1.33685907E+10   1.33685907E+10   1.16494148E+10   9.47095769E+09   9.47095769E+09
   1.12000000E-02   8.97899618E+09   1.32655782E+10   1.32655782E+10   1.16492613E+10   9.44863127E+09   9.44863127E+09
   1.14000000E-02   8.94040987E+09   1.31536935E+10   1.31536935E+10   1.16389780E+10   9.41934835E+09   9.41934835E+09
   1.16000000E-02   8.89600397E+09   1.30335182E+10   1.30335182E+10   1.16189388E+10   9.38341335E+09   9.38341335E+09
   1.18000000E-02   8.84607146E+09   1.29056198E+10   1.29056198E+10   1.15895227E+10   9.34112944E+09   9.34112944E+09
   1.20000000E-02   8.79090104E+09   1.27705509E+10   1.27705509E+10   1.15511127E+10   9.29279774E+09   9.29279774E+09
   1.22000000E-02   8.73077655E+09   1.26288487E+10   1.26288487E+10   1.15040937E+10   9.23871660E+09   9.23871660E+09
   1.24000000E-02   8.66597656E+09   1.24810343E+10   1.24810343E+10   1.14488517E+10   9.17918090E+09   9.17918090E+09
   1.26000000E-02   8.59677398E+09   1.23276119E+10   1.23276119E+10   1.13857719E+10   9.11448145E+09   9.11448145E+09
   1.28000000E-02   8.52343568E+09   1.21690693E+10   1.21690693E+10   1.13152382E+10   9.04490452E+09   9.04490452E+09
