# TBinMid=-0.035 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   2.92346014E-61   6.43634394E-60   6.43634394E-60   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.00000000E-04   2.39783065E+00   5.27910832E+01   5.27910832E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.00000000E-04   2.07983930E+02   4.57901268E+03   4.57901268E+03   0.00000000E+00   0.00000000E+00   0.00000000E+00
   6.00000000E-04   2.58297981E+03   5.68673614E+04   5.68673614E+04   0.00000000E+00   0.00000000E+00   0.00000000E+00
   8.00000000E-04   1.44618031E+04   3.18393734E+05   3.18393734E+05   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.00000000E-03   5.23119465E+04   1.15170949E+06   1.15170949E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.20000000E-03   1.43518789E+05   3.15973621E+06   3.15973621E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.40000000E-03   3.25326949E+05   7.16245832E+06   7.16245832E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.60000000E-03   6.41259212E+05   1.41180815E+07   1.41180815E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.80000000E-03   1.13598695E+06   2.50100988E+07   2.50100988E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.00000000E-03   1.84979017E+06   4.07253227E+07   4.07253227E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.20000000E-03   2.81359058E+06   6.19445309E+07   6.19445309E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.40000000E-03   4.04523365E+06   8.90606126E+07   8.90606126E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.60000000E-03   5.54735811E+06   1.22131663E+08   1.22131663E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.80000000E-03   7.30689653E+06   1.60869986E+08   1.60869986E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.00000000E-03   9.29603244E+06   2.04663170E+08   2.04663170E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.20000000E-03   1.14743056E+07   2.52620436E+08   2.52620436E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.40000000E-03   1.37914973E+07   3.03636157E+08   3.03636157E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.60000000E-03   1.61909265E+07   3.56462434E+08   3.56462434E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.80000000E-03   1.86128269E+07   4.09783441E+08   4.09783441E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.00000000E-03   2.09975372E+07   4.62285665E+08   4.62285665E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.20000000E-03   2.32883084E+07   5.12719707E+08   5.12719707E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.40000000E-03   2.54336032E+07   5.59950915E+08   5.59950915E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.60000000E-03   2.73888270E+07   6.02997482E+08   6.02997482E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.80000000E-03   2.91174819E+07   6.41055870E+08   6.41055870E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   5.00000000E-03   3.05917778E+07   6.73514242E+08   6.73514242E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   5.20000000E-03   3.17927589E+07   6.99955263E+08   6.99955263E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   5.40000000E-03   3.27100256E+07   7.20149977E+08   7.20149977E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   5.60000000E-03   3.33411368E+07   7.34044638E+08   7.34044638E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   5.80000000E-03   3.36907770E+07   7.41742379E+08   7.41742379E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   6.00000000E-03   3.37697704E+07   7.43481514E+08   7.43481514E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   6.20000000E-03   3.35940137E+07   7.39612022E+08   7.39612022E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   6.40000000E-03   3.31833873E+07   7.30571595E+08   7.30571595E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   6.60000000E-03   3.25606957E+07   7.16862301E+08   7.16862301E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   6.80000000E-03   3.17506741E+07   6.99028717E+08   6.99028717E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   7.00000000E-03   3.07790885E+07   6.77638107E+08   6.77638107E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   7.20000000E-03   2.96719452E+07   6.53263036E+08   6.53263036E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   7.40000000E-03   2.84548205E+07   6.26466594E+08   6.26466594E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   7.60000000E-03   2.71523109E+07   5.97790301E+08   5.97790301E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   7.80000000E-03   2.57876007E+07   5.67744588E+08   5.67744588E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   8.00000000E-03   2.43821410E+07   5.36801727E+08   5.36801727E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   8.20000000E-03   2.29554285E+07   5.05390962E+08   5.05390962E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   8.40000000E-03   2.15248736E+07   4.73895600E+08   4.73895600E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   8.60000000E-03   2.01057440E+07   4.42651781E+08   4.42651781E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   8.80000000E-03   1.87111733E+07   4.11948654E+08   4.11948654E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   9.00000000E-03   1.73522195E+07   3.82029675E+08   3.82029675E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   9.20000000E-03   1.60379650E+07   3.53094804E+08   3.53094804E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   9.40000000E-03   1.47756453E+07   3.25303340E+08   3.25303340E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   9.60000000E-03   1.35707987E+07   2.98777216E+08   2.98777216E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   9.80000000E-03   1.24274286E+07   2.73604568E+08   2.73604568E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.00000000E-02   1.13481711E+07   2.49843434E+08   2.49843434E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.02000000E-02   1.03344636E+07   2.27525462E+08   2.27525462E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.04000000E-02   9.38670940E+06   2.06659531E+08   2.06659531E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.06000000E-02   8.50443482E+06   1.87235211E+08   1.87235211E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.08000000E-02   7.68643651E+06   1.69226009E+08   1.69226009E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.10000000E-02   6.93091771E+06   1.52592367E+08   1.52592367E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.12000000E-02   6.23561184E+06   1.37284384E+08   1.37284384E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.14000000E-02   5.59789334E+06   1.23244256E+08   1.23244256E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.16000000E-02   5.01487556E+06   1.10408428E+08   1.10408428E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.18000000E-02   4.48349612E+06   9.87094801E+07   9.87094801E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.20000000E-02   4.00059017E+06   8.80777335E+07   8.80777335E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.22000000E-02   3.56295246E+06   7.84426206E+07   7.84426206E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.24000000E-02   3.16738890E+06   6.97338200E+07   6.97338200E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.26000000E-02   2.81075875E+06   6.18821848E+07   6.18821848E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.28000000E-02   2.49000829E+06   5.48204832E+07   5.48204832E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.30000000E-02   2.20219690E+06   4.84839744E+07   4.84839744E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.32000000E-02   1.94451667E+06   4.28108389E+07   4.28108389E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.34000000E-02   1.71430625E+06   3.77424837E+07   3.77424837E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.36000000E-02   1.50905987E+06   3.32237413E+07   3.32237413E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.38000000E-02   1.32643228E+06   2.92029785E+07   2.92029785E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.40000000E-02   1.16424034E+06   2.56321308E+07   2.56321308E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.42000000E-02   1.02046185E+06   2.24666769E+07   2.24666769E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.44000000E-02   8.93232151E+05   1.96655643E+07   1.96655643E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.46000000E-02   7.80839089E+05   1.71910979E+07   1.71910979E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.48000000E-02   6.81716633E+05   1.50087995E+07   1.50087995E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.50000000E-02   5.94437604E+05   1.30872483E+07   1.30872483E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.52000000E-02   5.17705769E+05   1.13979060E+07   1.13979060E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.54000000E-02   4.50347568E+05   9.91493539E+06   9.91493539E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.56000000E-02   3.91303686E+05   8.61501435E+06   8.61501435E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.58000000E-02   3.39620629E+05   7.47715061E+06   7.47715061E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.60000000E-02   2.94442448E+05   6.48249942E+06   6.48249942E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.62000000E-02   2.55002704E+05   5.61418671E+06   5.61418671E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.64000000E-02   2.20616757E+05   4.85713934E+06   4.85713934E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.66000000E-02   1.90674441E+05   4.19792377E+06   4.19792377E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.68000000E-02   1.64633145E+05   3.62459378E+06   3.62459378E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.70000000E-02   1.42011344E+05   3.12654802E+06   3.12654802E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.72000000E-02   1.22382572E+05   2.69439734E+06   2.69439734E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.74000000E-02   1.05369848E+05   2.31984206E+06   2.31984206E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.76000000E-02   9.06405452E+04   1.99555902E+06   1.99555902E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.78000000E-02   7.79016897E+04   1.71509802E+06   1.71509802E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
