# TBinMid=0.6515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   1.43192624E+18   1.55483834E+18   1.55483834E+18   9.99463655E+17   1.32609708E+18   1.32609708E+18
   2.00000000E-04   2.56046567E+09   2.78024809E+09   2.78024809E+09   1.78716774E+09   2.37122971E+09   2.37122971E+09
   4.00000000E-04   1.30600341E+09   1.41810669E+09   1.41810669E+09   9.11571360E+08   1.20948082E+09   1.20948082E+09
   6.00000000E-04   8.80718825E+08   9.56316996E+08   9.56316996E+08   6.14728911E+08   8.15627670E+08   8.15627670E+08
   8.00000000E-04   6.65886998E+08   7.23044671E+08   7.23044671E+08   4.64779425E+08   6.16673387E+08   6.16673387E+08
   1.00000000E-03   5.36028108E+08   5.82039097E+08   5.82039097E+08   3.74139811E+08   4.96411958E+08   4.96411958E+08
   1.20000000E-03   4.48949606E+08   4.87486047E+08   4.87486047E+08   3.13360286E+08   4.15769155E+08   4.15769155E+08
   1.40000000E-03   5.54842156E+08   7.07565783E+08   7.07565783E+08   3.82264744E+08   5.08833268E+08   5.08833268E+08
   1.60000000E-03   6.25101249E+08   9.26374436E+08   9.26374436E+08   4.25535626E+08   5.67355627E+08   5.67355627E+08
   1.80000000E-03   7.06980254E+08   1.08623396E+09   1.08623396E+09   4.83444707E+08   6.40776162E+08   6.40776162E+08
   2.00000000E-03   1.02221765E+09   1.32722436E+09   1.32722436E+09   7.32988925E+08   9.43322688E+08   9.43322688E+08
   2.20000000E-03   1.27284445E+09   2.07030789E+09   2.07030789E+09   9.11329111E+08   1.15906779E+09   1.15906779E+09
   2.40000000E-03   1.45960205E+09   2.73779690E+09   2.73779690E+09   1.04039307E+09   1.31479084E+09   1.31479084E+09
   2.60000000E-03   1.59597939E+09   3.24049429E+09   3.24049429E+09   1.13444511E+09   1.42790346E+09   1.42790346E+09
   2.80000000E-03   2.00963152E+09   3.78633499E+09   3.78633499E+09   1.61613413E+09   1.85268486E+09   1.85268486E+09
   3.00000000E-03   2.34448137E+09   4.21472875E+09   4.21472875E+09   2.01095864E+09   2.19818239E+09   2.19818239E+09
   3.20000000E-03   2.60909826E+09   4.54836532E+09   4.54836532E+09   2.32601107E+09   2.47210482E+09   2.47210482E+09
   3.40000000E-03   2.83072564E+09   5.06425741E+09   5.06425741E+09   2.57884251E+09   2.69032478E+09   2.69032478E+09
   3.60000000E-03   3.01422140E+09   5.62910380E+09   5.62910380E+09   2.78254073E+09   2.86466216E+09   2.86466216E+09
   3.80000000E-03   3.16094314E+09   6.09113812E+09   6.09113812E+09   2.94702025E+09   3.00405843E+09   3.00405843E+09
   4.00000000E-03   3.45748341E+09   6.56377017E+09   6.56377017E+09   3.41340252E+09   3.33398744E+09   3.33398744E+09
