# TBinMid=-0.0335 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   2.67616077E+15   5.54679622E+16   5.54679622E+16   1.17612384E+14   1.53282914E+14   1.53282914E+14
   2.00000000E-04   4.78531477E+06   9.91837493E+07   9.91837493E+07   2.10305854E+05   2.74089286E+05   2.74089286E+05
   4.00000000E-04   2.44082063E+06   5.05901395E+07   5.05901395E+07   1.07269614E+05   1.39803298E+05   1.39803298E+05
   6.00000000E-04   1.64599622E+06   3.41160580E+07   3.41160580E+07   7.23385310E+04   9.42780047E+04   9.42780047E+04
   8.00000000E-04   1.24449194E+06   2.57942021E+07   2.57942021E+07   5.46931504E+04   7.12809760E+04   7.12809760E+04
   1.00000000E-03   1.00179559E+06   2.07639095E+07   2.07639095E+07   4.40270887E+04   5.73800162E+04   5.73800162E+04
   1.20000000E-03   8.39052523E+05   1.73907839E+07   1.73907839E+07   3.68748278E+04   4.80585538E+04   4.80585538E+04
   1.40000000E-03   1.10881064E+06   2.32495117E+07   2.32495117E+07   5.58003077E+04   5.54199320E+04   5.54199320E+04
   1.60000000E-03   1.41973416E+06   3.00522039E+07   3.00522039E+07   6.81952853E+04   5.98788585E+04   5.98788585E+04
   1.80000000E-03   1.61417775E+06   3.43252363E+07   3.43252363E+07   7.82092018E+04   6.25125473E+04   6.25125473E+04
   2.00000000E-03   1.73467269E+06   3.70202444E+07   3.70202444E+07   9.95751844E+04   6.59835912E+04   6.59835912E+04
   2.20000000E-03   2.29461232E+06   4.93893410E+07   4.93893410E+07   1.14525409E+05   6.79804364E+04   6.79804364E+04
   2.40000000E-03   2.80203120E+06   6.06004301E+07   6.06004301E+07   1.25068155E+05   6.90063205E+04   6.90063205E+04
   2.60000000E-03   3.17973650E+06   6.89536444E+07   6.89536444E+07   1.32503973E+05   6.93797267E+04   6.93797267E+04
   2.80000000E-03   3.45970121E+06   7.52159570E+07   7.52159570E+07   1.43036649E+05   6.82575967E+04   6.82575967E+04
   3.00000000E-03   3.66957746E+06   7.99225338E+07   7.99225338E+07   1.51045131E+05   6.70049351E+04   6.70049351E+04
   3.20000000E-03   3.82655550E+06   8.34524040E+07   8.34524040E+07   1.56990646E+05   6.57092465E+04   6.57092465E+04
   3.40000000E-03   4.44034583E+06   9.70297362E+07   9.70297362E+07   1.61358510E+05   6.44009181E+04   6.44009181E+04
   3.60000000E-03   5.22757435E+06   1.14417468E+08   1.14417468E+08   1.64506535E+05   6.30998895E+04   6.30998895E+04
   3.80000000E-03   5.87896433E+06   1.28807873E+08   1.28807873E+08   1.66702614E+05   6.18191599E+04   6.18191599E+04
   4.00000000E-03   6.41896370E+06   1.40763768E+08   1.40763768E+08   1.60839165E+05   5.79979421E+04   5.79979421E+04
   4.20000000E-03   6.86862239E+06   1.50725932E+08   1.50725932E+08   1.54394503E+05   5.42144784E+04   5.42144784E+04
   4.40000000E-03   7.24385618E+06   1.59042278E+08   1.59042278E+08   1.48481785E+05   5.08203417E+04   5.08203417E+04
   4.60000000E-03   7.55722642E+06   1.65990444E+08   1.65990444E+08   1.43036216E+05   4.77608901E+04   4.77608901E+04
   4.80000000E-03   7.81885157E+06   1.71794084E+08   1.71794084E+08   1.38003238E+05   4.49910614E+04   4.49910614E+04
   5.00000000E-03   8.03695053E+06   1.76634879E+08   1.76634879E+08   1.33336569E+05   4.24733828E+04   4.24733828E+04
   5.20000000E-03   8.21825034E+06   1.80661539E+08   1.80661539E+08   1.28996685E+05   4.01764541E+04   4.01764541E+04
   5.40000000E-03   8.09255804E+06   1.77925957E+08   1.77925957E+08   1.24949615E+05   3.80737786E+04   3.80737786E+04
   5.60000000E-03   7.82450060E+06   1.72053017E+08   1.72053017E+08   1.21165999E+05   3.61428520E+04   3.61428520E+04
   5.80000000E-03   7.57468884E+06   1.66569035E+08   1.66569035E+08   1.11958431E+05   3.34049865E+04   3.34049865E+04
   6.00000000E-03   7.34091481E+06   1.61435961E+08   1.61435961E+08   1.03058256E+05   3.08186698E+04   3.08186698E+04
   6.20000000E-03   7.12162904E+06   1.56620748E+08   1.56620748E+08   9.48963002E+04   2.84459522E+04   2.84459522E+04
   6.40000000E-03   6.91550979E+06   1.52094417E+08   1.52094417E+08   8.73932640E+04   2.62639332E+04   2.62639332E+04
   6.60000000E-03   6.72139227E+06   1.47831425E+08   1.47831425E+08   8.04803643E+04   2.42527453E+04   2.42527453E+04
   6.80000000E-03   6.53824592E+06   1.43809173E+08   1.43809173E+08   7.40976823E+04   2.23950789E+04   2.23950789E+04
   7.00000000E-03   6.36515557E+06   1.40007591E+08   1.40007591E+08   6.81928101E+04   2.06757913E+04   2.06757913E+04
   7.20000000E-03   6.20130564E+06   1.36408792E+08   1.36408792E+08   6.27197349E+04   1.90815855E+04   1.90815855E+04
   7.40000000E-03   6.04596695E+06   1.32996783E+08   1.32996783E+08   5.76379138E+04   1.76007431E+04   1.76007431E+04
   7.60000000E-03   5.89848551E+06   1.29757220E+08   1.29757220E+08   5.29115028E+04   1.62229021E+04   1.62229021E+04
   7.80000000E-03   5.75827302E+06   1.26677199E+08   1.26677199E+08   4.85087103E+04   1.49388706E+04   1.49388706E+04
   8.00000000E-03   5.62479886E+06   1.23745079E+08   1.23745079E+08   4.44012538E+04   1.37404698E+04   1.37404698E+04
   8.20000000E-03   5.49758309E+06   1.20950333E+08   1.20950333E+08   4.05638999E+04   1.26204014E+04   1.26204014E+04
   8.40000000E-03   5.37632794E+06   1.18283485E+08   1.18283485E+08   3.74385855E+04   1.17885735E+04   1.17885735E+04
   8.60000000E-03   5.11787698E+06   1.12595178E+08   1.12595178E+08   3.46322279E+04   1.10654040E+04   1.10654040E+04
   8.80000000E-03   4.78379053E+06   1.05241587E+08   1.05241587E+08   3.19969231E+04   1.03851943E+04   1.03851943E+04
   9.00000000E-03   4.46933775E+06   9.83201815E+07   9.83201815E+07   2.95193564E+04   9.74463712E+03   9.74463712E+03
   9.20000000E-03   4.17303240E+06   9.17982436E+07   9.17982436E+07   2.71874937E+04   9.14074122E+03   9.14074122E+03
   9.40000000E-03   3.89352769E+06   8.56461272E+07   8.56461272E+07   2.49904356E+04   8.57079558E+03   8.57079558E+03
