# TBinMid=0.5515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   1.87740412E+18   2.16556675E+18   2.16556675E+18   1.39498410E+18   1.75384676E+18   1.75384676E+18
   2.00000000E-04   3.35703661E+09   3.87230792E+09   3.87230792E+09   2.49440844E+09   3.13610037E+09   3.13610037E+09
   4.00000000E-04   1.71230621E+09   1.97512797E+09   1.97512797E+09   1.27230995E+09   1.59961442E+09   1.59961442E+09
   6.00000000E-04   1.15471392E+09   1.33195087E+09   1.33195087E+09   8.57997238E+08   1.07871887E+09   1.07871887E+09
   8.00000000E-04   8.73047061E+08   1.00705099E+09   1.00705099E+09   6.48707838E+08   8.15589323E+08   8.15589323E+08
   1.00000000E-03   7.02788560E+08   8.10659527E+08   8.10659527E+08   5.22199166E+08   6.56536024E+08   6.56536024E+08
   1.20000000E-03   5.88619594E+08   6.78966774E+08   6.78966774E+08   4.37367195E+08   5.49880846E+08   5.49880846E+08
   1.40000000E-03   7.17927087E+08   9.63044753E+08   9.63044753E+08   5.28119445E+08   6.64514135E+08   6.64514135E+08
   1.60000000E-03   8.02976161E+08   1.24653799E+09   1.24653799E+09   5.84359341E+08   7.35582004E+08   7.35582004E+08
   1.80000000E-03   9.06706637E+08   1.45391544E+09   1.45391544E+09   6.63527318E+08   8.29780079E+08   8.29780079E+08
   2.00000000E-03   1.30724084E+09   1.76254568E+09   1.76254568E+09   1.00299963E+09   1.21935205E+09   1.21935205E+09
   2.20000000E-03   1.63056411E+09   2.81692441E+09   2.81692441E+09   1.24555730E+09   1.49711410E+09   1.49711410E+09
   2.40000000E-03   1.87217833E+09   3.76308236E+09   3.76308236E+09   1.42105109E+09   1.69756517E+09   1.69756517E+09
   2.60000000E-03   2.04871353E+09   4.47637531E+09   4.47637531E+09   1.54889834E+09   1.84313529E+09   1.84313529E+09
   2.80000000E-03   2.62381923E+09   5.25178589E+09   5.25178589E+09   2.28222906E+09   2.44802508E+09   2.44802508E+09
   3.00000000E-03   3.08718071E+09   5.85922327E+09   5.85922327E+09   2.87980459E+09   2.93759195E+09   2.93759195E+09
   3.20000000E-03   3.45398847E+09   6.33277265E+09   6.33277265E+09   3.35730438E+09   3.32645263E+09   3.32645263E+09
   3.40000000E-03   3.76372768E+09   7.09973236E+09   7.09973236E+09   3.74110026E+09   3.63689065E+09   3.63689065E+09
   3.60000000E-03   4.02142273E+09   7.94160251E+09   7.94160251E+09   4.05086365E+09   3.88550626E+09   3.88550626E+09
   3.80000000E-03   4.22807606E+09   8.63151321E+09   8.63151321E+09   4.30150113E+09   4.08486209E+09   4.08486209E+09
   4.00000000E-03   4.67007056E+09   9.34290888E+09   9.34290888E+09   5.06352234E+09   4.59204305E+09   4.59204305E+09
   4.20000000E-03   5.07526783E+09   9.95207381E+09   9.95207381E+09   5.77972202E+09   5.06269567E+09   5.06269567E+09
   4.40000000E-03   5.41575566E+09   1.04590450E+10   1.04590450E+10   6.38829435E+09   5.45994627E+09   5.45994627E+09
   4.60000000E-03   5.70234555E+09   1.08811345E+10   1.08811345E+10   6.90689465E+09   5.79597340E+09   5.79597340E+09
   4.80000000E-03   5.94375679E+09   1.12322816E+10   1.12322816E+10   7.34979288E+09   6.08060707E+09   6.08060707E+09
   5.00000000E-03   6.14708048E+09   1.15238036E+10   1.15238036E+10   7.72862019E+09   6.32184840E+09   6.32184840E+09
