# TBinMid=-0.0135 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   3.25795849E+15   6.83014218E+16   6.83014218E+16   1.21834933E+14   1.53380192E+14   1.53380192E+14
   2.00000000E-04   5.82564287E+06   1.22131602E+08   1.22131602E+08   2.17856308E+05   2.74263231E+05   2.74263231E+05
   4.00000000E-04   2.97145538E+06   6.22950316E+07   6.22950316E+07   1.11120835E+05   1.39892021E+05   1.39892021E+05
   6.00000000E-04   2.00383603E+06   4.20093902E+07   4.20093902E+07   7.49356471E+04   9.43378361E+04   9.43378361E+04
   8.00000000E-04   1.51504466E+06   3.17621310E+07   3.17621310E+07   5.66567576E+04   7.13262129E+04   7.13262129E+04
   1.00000000E-03   1.21958609E+06   2.55679943E+07   2.55679943E+07   4.56077603E+04   5.74164311E+04   5.74164311E+04
   1.20000000E-03   1.02146266E+06   2.14144386E+07   2.14144386E+07   3.81987171E+04   4.80890531E+04   4.80890531E+04
   1.40000000E-03   1.40137623E+06   2.97056611E+07   2.97056611E+07   5.82826713E+04   5.54562770E+04   5.54562770E+04
   1.60000000E-03   1.83410770E+06   3.91950391E+07   3.91950391E+07   7.14357323E+04   5.99129183E+04   5.99129183E+04
   1.80000000E-03   2.10671920E+06   4.51914758E+07   4.51914758E+07   8.21408437E+04   6.26195229E+04   6.26195229E+04
   2.00000000E-03   2.27816592E+06   4.90052970E+07   4.90052970E+07   1.05190205E+05   6.65925690E+04   6.65925690E+04
   2.20000000E-03   3.23342574E+06   7.00754841E+07   7.00754841E+07   1.21337664E+05   6.89556830E+04   6.89556830E+04
   2.40000000E-03   4.10705494E+06   8.93472144E+07   8.93472144E+07   1.32741806E+05   7.02531383E+04   7.02531383E+04
   2.60000000E-03   4.76177339E+06   1.03797619E+08   1.03797619E+08   1.40800849E+05   7.08302505E+04   7.08302505E+04
   2.80000000E-03   5.25346398E+06   1.14714209E+08   1.14714209E+08   1.52152541E+05   7.01594105E+04   7.01594105E+04
   3.00000000E-03   5.62592779E+06   1.22994332E+08   1.22994332E+08   1.60786037E+05   6.92722340E+04   6.92722340E+04
   3.20000000E-03   5.90809084E+06   1.29275376E+08   1.29275376E+08   1.67203825E+05   6.82665489E+04   6.82665489E+04
   3.40000000E-03   7.36650879E+06   1.61444123E+08   1.61444123E+08   1.71926696E+05   6.71894652E+04   6.71894652E+04
   3.60000000E-03   9.28022790E+06   2.03629501E+08   2.03629501E+08   1.75338671E+05   6.60733776E+04   6.60733776E+04
   3.80000000E-03   1.08734861E+07   2.38753425E+08   2.38753425E+08   1.77727312E+05   6.49407090E+04   6.49407090E+04
   4.00000000E-03   1.22047639E+07   2.68130034E+08   2.68130034E+08   1.71449958E+05   6.10304895E+04   6.10304895E+04
   4.20000000E-03   1.33219470E+07   2.92788641E+08   2.92788641E+08   1.64561481E+05   5.71393084E+04   5.71393084E+04
   4.40000000E-03   1.42621372E+07   3.13543292E+08   3.13543292E+08   1.58242566E+05   5.36456173E+04   5.36456173E+04
   4.60000000E-03   1.50548373E+07   3.31044604E+08   3.31044604E+08   1.52423742E+05   5.04938481E+04   5.04938481E+04
   4.80000000E-03   1.57238473E+07   3.45817447E+08   3.45817447E+08   1.47046527E+05   4.76381500E+04   4.76381500E+04
   5.00000000E-03   1.62885285E+07   3.58288811E+08   3.58288811E+08   1.42061323E+05   4.50403739E+04   4.50403739E+04
   5.20000000E-03   1.67647521E+07   3.68808721E+08   3.68808721E+08   1.37425776E+05   4.26685365E+04   4.26685365E+04
   5.40000000E-03   1.65615981E+07   3.64367885E+08   3.64367885E+08   1.33103495E+05   4.04956352E+04   4.04956352E+04
   5.60000000E-03   1.60432923E+07   3.52985591E+08   3.52985591E+08   1.29063028E+05   3.84987248E+04   3.84987248E+04
   5.80000000E-03   1.55585097E+07   3.42333156E+08   3.42333156E+08   1.19192492E+05   3.54338837E+04   3.54338837E+04
   6.00000000E-03   1.51038237E+07   3.32341094E+08   3.32341094E+08   1.09665841E+05   3.25313504E+04   3.25313504E+04
   6.20000000E-03   1.46764435E+07   3.22948648E+08   3.22948648E+08   1.00930056E+05   2.98707061E+04   2.98707061E+04
   6.40000000E-03   1.42739339E+07   3.14102375E+08   3.14102375E+08   9.29001489E+04   2.74259127E+04   2.74259127E+04
   6.60000000E-03   1.38941439E+07   3.05755060E+08   3.05755060E+08   8.55024062E+04   2.51743893E+04   2.51743893E+04
   6.80000000E-03   1.35351658E+07   2.97864833E+08   2.97864833E+08   7.86726150E+04   2.30964686E+04   2.30964686E+04
   7.00000000E-03   1.31953019E+07   2.90394427E+08   2.90394427E+08   7.23546144E+04   2.11749519E+04   2.11749519E+04
   7.20000000E-03   1.28730359E+07   2.83310556E+08   2.83310556E+08   6.64990977E+04   1.93947422E+04   1.93947422E+04
   7.40000000E-03   1.25670095E+07   2.76583401E+08   2.76583401E+08   6.10626215E+04   1.77425394E+04   1.77425394E+04
   7.60000000E-03   1.22760018E+07   2.70186159E+08   2.70186159E+08   5.60067787E+04   1.62065871E+04   1.62065871E+04
   7.80000000E-03   1.19989127E+07   2.64094674E+08   2.64094674E+08   5.12975054E+04   1.47764600E+04   1.47764600E+04
   8.00000000E-03   1.17347478E+07   2.58287118E+08   2.58287118E+08   4.69044988E+04   1.34428853E+04   1.34428853E+04
   8.20000000E-03   1.14826064E+07   2.52743708E+08   2.52743708E+08   4.28007238E+04   1.21975912E+04   1.21975912E+04
   8.40000000E-03   1.12418835E+07   2.47446591E+08   2.47446591E+08   3.94758619E+04   1.13206313E+04   1.13206313E+04
   8.60000000E-03   1.07203674E+07   2.35966125E+08   2.35966125E+08   3.64932320E+04   1.05732297E+04   1.05732297E+04
   8.80000000E-03   1.00463316E+07   2.21127695E+08   2.21127695E+08   3.36925634E+04   9.87067835E+03   9.87067835E+03
   9.00000000E-03   9.41171046E+06   2.07156971E+08   2.07156971E+08   3.10596866E+04   9.20950919E+03   9.20950919E+03
   9.20000000E-03   8.81352684E+06   1.93988409E+08   1.93988409E+08   2.85817958E+04   8.58658654E+03   8.58658654E+03
   9.40000000E-03   8.24908252E+06   1.81562607E+08   1.81562607E+08   2.62472926E+04   7.99906917E+03   7.99906917E+03
   9.60000000E-03   7.71592717E+06   1.69825623E+08   1.69825623E+08   2.40456506E+04   7.44437738E+03   7.44437738E+03
   9.80000000E-03   7.21183124E+06   1.58728373E+08   1.58728373E+08   2.19672977E+04   6.92016426E+03   6.92016426E+03
   1.00000000E-02   6.73476215E+06   1.48226110E+08   1.48226110E+08   2.00035129E+04   6.42429070E+03   6.42429070E+03
   1.02000000E-02   6.28286359E+06   1.38277968E+08   1.38277968E+08   1.81463362E+04   5.95480345E+03   5.95480345E+03
   1.04000000E-02   5.85443727E+06   1.28846558E+08   1.28846558E+08   1.63884897E+04   5.50991585E+03   5.50991585E+03
   1.06000000E-02   5.44792687E+06   1.19897619E+08   1.19897619E+08   1.47233082E+04   5.08799090E+03   5.08799090E+03
   1.08000000E-02   5.06190389E+06   1.11399703E+08   1.11399703E+08   1.31446772E+04   4.68752635E+03   4.68752635E+03
   1.10000000E-02   4.69505511E+06   1.03323899E+08   1.03323899E+08   1.16469796E+04   4.30714141E+03   4.30714141E+03
   1.12000000E-02   4.34617153E+06   9.56435914E+07   9.56435914E+07   1.02250467E+04   3.94556512E+03   3.94556512E+03
   1.14000000E-02   4.01413845E+06   8.83342401E+07   8.83342401E+07   8.87411627E+03   3.60162587E+03   3.60162587E+03
   1.16000000E-02   3.69792674E+06   8.13731889E+07   8.13731889E+07   7.58979402E+03   3.27424218E+03   3.27424218E+03
   1.18000000E-02   3.39658497E+06   7.47394927E+07   7.47394927E+07   6.36802008E+03   2.96241441E+03   2.96241441E+03
   1.20000000E-02   3.10923244E+06   6.84137626E+07   6.84137626E+07   5.20503859E+03   2.66521741E+03   2.66521741E+03
   1.22000000E-02   2.83504034E+06   6.23780224E+07   6.23780224E+07   4.52370265E+03   2.47188534E+03   2.47188534E+03
   1.24000000E-02   2.57325247E+06   5.66155977E+07   5.66155977E+07   4.27848787E+03   2.37268299E+03   2.37268299E+03
   1.26000000E-02   2.32317758E+06   5.11110036E+07   5.11110036E+07   4.04377009E+03   2.27756422E+03   2.27756422E+03
   1.28000000E-02   2.08416113E+06   4.58498321E+07   4.58498321E+07   3.81897316E+03   2.18630866E+03   2.18630866E+03
   1.30000000E-02   1.85559371E+06   4.08186682E+07   4.08186682E+07   3.60356024E+03   2.09871079E+03   2.09871079E+03
   1.32000000E-02   1.63690728E+06   3.60050081E+07   3.60050081E+07   3.39703058E+03   2.01457880E+03   2.01457880E+03
   1.34000000E-02   1.42757188E+06   3.13971858E+07   3.13971858E+07   3.19891664E+03   1.93373347E+03   1.93373347E+03
   1.36000000E-02   1.22709253E+06   2.69843058E+07   2.69843058E+07   3.00878142E+03   1.85600716E+03   1.85600716E+03
   1.38000000E-02   1.14685792E+06   2.52187235E+07   2.52187235E+07   2.82621611E+03   1.78124293E+03   1.78124293E+03
   1.40000000E-02   1.09543656E+06   2.40874680E+07   2.40874680E+07   2.65083787E+03   1.70929372E+03   1.70929372E+03
   1.42000000E-02   1.04595369E+06   2.29988612E+07   2.29988612E+07   2.48228791E+03   1.64002160E+03   1.64002160E+03
   1.44000000E-02   9.98315023E+05   2.19508285E+07   2.19508285E+07   2.32022963E+03   1.57329707E+03   1.57329707E+03
   1.46000000E-02   9.52431997E+05   2.09414215E+07   2.09414215E+07   2.16434700E+03   1.50899849E+03   1.50899849E+03
   1.48000000E-02   9.08221342E+05   1.99688081E+07   1.99688081E+07   2.01434306E+03   1.44701145E+03   1.44701145E+03
   1.50000000E-02   8.65604712E+05   1.90312645E+07   1.90312645E+07   1.86993856E+03   1.38722830E+03   1.38722830E+03
   1.52000000E-02   8.24508333E+05   1.81271677E+07   1.81271677E+07   1.73087064E+03   1.32954763E+03   1.32954763E+03
   1.54000000E-02   7.84862685E+05   1.72549881E+07   1.72549881E+07   1.59689174E+03   1.27387388E+03   1.27387388E+03
   1.56000000E-02   7.46602206E+05   1.64132832E+07   1.64132832E+07   1.46776850E+03   1.22011690E+03   1.22011690E+03
   1.58000000E-02   7.09665021E+05   1.56006918E+07   1.56006918E+07   1.34328080E+03   1.16819158E+03   1.16819158E+03
   1.60000000E-02   6.73992696E+05   1.48159282E+07   1.48159282E+07   1.22322086E+03   1.11801755E+03   1.11801755E+03
   1.62000000E-02   6.39530005E+05   1.40577774E+07   1.40577774E+07   1.10739240E+03   1.06951882E+03   1.06951882E+03
   1.64000000E-02   6.06224722E+05   1.33250902E+07   1.33250902E+07   9.95609893E+02   1.02262353E+03   1.02262353E+03
   1.66000000E-02   5.74027424E+05   1.26167795E+07   1.26167795E+07   8.87697864E+02   9.77263641E+02   9.77263641E+02
   1.68000000E-02   5.42891310E+05   1.19318154E+07   1.19318154E+07   7.83490226E+02   9.33374728E+02   9.33374728E+02
   1.70000000E-02   5.12772037E+05   1.12692223E+07   1.12692223E+07   6.82829683E+02   8.90895727E+02   8.90895727E+02
   1.72000000E-02   4.83627562E+05   1.06280754E+07   1.06280754E+07   5.85567181E+02   8.49768734E+02   8.49768734E+02
   1.74000000E-02   4.55418001E+05   1.00074970E+07   1.00074970E+07   4.91561383E+02   8.09938804E+02   8.09938804E+02
   1.76000000E-02   4.28105494E+05   9.40665432E+06   9.40665432E+06   4.00678198E+02   7.71353774E+02   7.71353774E+02
   1.78000000E-02   4.01654707E+05   8.82475647E+06   8.82475647E+06   3.29169734E+02   7.38290317E+02   7.38290317E+02
   1.80000000E-02   3.76033155E+05   8.26105261E+06   8.26105261E+06   3.21178310E+02   7.22392305E+02   7.22392305E+02
   1.82000000E-02   3.51205948E+05   7.71482673E+06   7.71482673E+06   3.13409886E+02   7.06927792E+02   7.06927792E+02
   1.84000000E-02   3.27142183E+05   7.18539886E+06   7.18539886E+06   3.05856166E+02   6.91880825E+02   6.91880825E+02
   1.86000000E-02   3.03812448E+05   6.67212182E+06   6.67212182E+06   2.98509244E+02   6.77236193E+02   6.77236193E+02
   1.88000000E-02   2.81188734E+05   6.17437930E+06   6.17437930E+06   2.91361581E+02   6.62979391E+02   6.62979391E+02
   1.90000000E-02   2.59244355E+05   5.69158413E+06   5.69158413E+06   2.84405986E+02   6.49096574E+02   6.49096574E+02
   1.92000000E-02   2.37953875E+05   5.22317658E+06   5.22317658E+06   2.77635594E+02   6.35574524E+02   6.35574524E+02
   1.94000000E-02   2.17293033E+05   4.76862288E+06   4.76862288E+06   2.71043851E+02   6.22400617E+02   6.22400617E+02
   1.96000000E-02   1.97238685E+05   4.32741373E+06   4.32741373E+06   2.64624495E+02   6.09562787E+02   6.09562787E+02
   1.98000000E-02   1.77768736E+05   3.89906299E+06   3.89906299E+06   2.58371542E+02   5.97049499E+02   5.97049499E+02
   2.00000000E-02   1.58862087E+05   3.48310639E+06   3.48310639E+06   2.52279268E+02   5.84849720E+02   5.84849720E+02
   2.02000000E-02   1.40498580E+05   3.07910038E+06   3.07910038E+06   2.46342199E+02   5.72952890E+02   5.72952890E+02
   2.04000000E-02   1.22658947E+05   2.68662102E+06   2.68662102E+06   2.40555096E+02   5.61348903E+02   5.61348903E+02
   2.06000000E-02   1.05324765E+05   2.30526291E+06   2.30526291E+06   2.34912943E+02   5.50028077E+02   5.50028077E+02
   2.08000000E-02   8.84784094E+04   1.93463826E+06   1.93463826E+06   2.29410934E+02   5.38981139E+02   5.38981139E+02
   2.10000000E-02   7.21030139E+04   1.57437596E+06   1.57437596E+06   2.24044466E+02   5.28199196E+02   5.28199196E+02
   2.12000000E-02   5.61824312E+04   1.22412070E+06   1.22412070E+06   2.18809125E+02   5.17673725E+02   5.17673725E+02
   2.14000000E-02   4.07011961E+04   8.83532197E+05   8.83532197E+05   2.13700679E+02   5.07396549E+02   5.07396549E+02
   2.16000000E-02   2.56444915E+04   5.52284429E+05   5.52284429E+05   2.08715069E+02   4.97359819E+02   4.97359819E+02
   2.18000000E-02   1.09981154E+04   2.30064902E+05   2.30064902E+05   2.03848397E+02   4.87556002E+02   4.87556002E+02
   2.20000000E-02   1.19122024E+03   1.43868297E+04   1.43868297E+04   1.99096923E+02   4.77977864E+02   4.77977864E+02
   2.22000000E-02   1.16273049E+03   1.39866538E+04   1.39866538E+04   1.94457054E+02   4.68618454E+02   4.68618454E+02
   2.24000000E-02   1.13490734E+03   1.35960288E+04   1.35960288E+04   1.89925339E+02   4.59471094E+02   4.59471094E+02
   2.26000000E-02   1.10773029E+03   1.32146589E+04   1.32146589E+04   1.85498461E+02   4.50529362E+02   4.50529362E+02
   2.28000000E-02   1.08117968E+03   1.28422595E+04   1.28422595E+04   1.81173230E+02   4.41787083E+02   4.41787083E+02
   2.30000000E-02   1.05523655E+03   1.24785572E+04   1.24785572E+04   1.76946579E+02   4.33238317E+02   4.33238317E+02
   2.32000000E-02   1.02988271E+03   1.21232890E+04   1.21232890E+04   1.72815559E+02   4.24877348E+02   4.24877348E+02
   2.34000000E-02   1.00510061E+03   1.17762017E+04   1.17762017E+04   1.68777329E+02   4.16698671E+02   4.16698671E+02
   2.36000000E-02   9.80873401E+02   1.14370517E+04   1.14370517E+04   1.64829157E+02   4.08696988E+02   4.08696988E+02
   2.38000000E-02   9.57184827E+02   1.11056047E+04   1.11056047E+04   1.60968410E+02   4.00867196E+02   4.00867196E+02
   2.40000000E-02   9.34019241E+02   1.07816347E+04   1.07816347E+04   1.57192553E+02   3.93204375E+02   3.93204375E+02
   2.42000000E-02   9.11361567E+02   1.04649243E+04   1.04649243E+04   1.53499143E+02   3.85703785E+02   3.85703785E+02
   2.44000000E-02   8.89197274E+02   1.01552639E+04   1.01552639E+04   1.49885825E+02   3.78360857E+02   3.78360857E+02
   2.46000000E-02   8.67512355E+02   9.85245129E+03   9.85245129E+03   1.46350330E+02   3.71171184E+02   3.71171184E+02
   2.48000000E-02   8.46293300E+02   9.55629183E+03   9.55629183E+03   1.42890469E+02   3.64130512E+02   3.64130512E+02
   2.50000000E-02   8.25527078E+02   9.26659761E+03   9.26659761E+03   1.39504129E+02   3.57234741E+02   3.57234741E+02
   2.52000000E-02   8.05201115E+02   8.98318740E+03   8.98318740E+03   1.36189273E+02   3.50479909E+02   3.50479909E+02
   2.54000000E-02   7.85303277E+02   8.70588631E+03   8.70588631E+03   1.32943934E+02   3.43862195E+02   3.43862195E+02
   2.56000000E-02   7.65821848E+02   8.43452555E+03   8.43452555E+03   1.29766214E+02   3.37377905E+02   3.37377905E+02
   2.58000000E-02   7.46745514E+02   8.16894214E+03   8.16894214E+03   1.26654279E+02   3.31023474E+02   3.31023474E+02
   2.60000000E-02   7.28063347E+02   7.90897869E+03   7.90897869E+03   1.23606357E+02   3.24795454E+02   3.24795454E+02
   2.62000000E-02   7.22768730E+02   7.66128048E+03   7.66128048E+03   1.25354181E+02   3.29982307E+02   3.29982307E+02
   2.64000000E-02   7.23835300E+02   7.42203317E+03   7.42203317E+03   1.29342204E+02   3.40488429E+02   3.40488429E+02
   2.66000000E-02   7.24836829E+02   7.18774090E+03   7.18774090E+03   1.33233271E+02   3.50739142E+02   3.50739142E+02
   2.68000000E-02   7.25775500E+02   6.95827255E+03   6.95827255E+03   1.37030104E+02   3.60741614E+02   3.60741614E+02
   2.70000000E-02   7.26653417E+02   6.73350133E+03   6.73350133E+03   1.40735328E+02   3.70502767E+02   3.70502767E+02
   2.72000000E-02   7.27472608E+02   6.51330462E+03   6.51330462E+03   1.44351484E+02   3.80029288E+02   3.80029288E+02
   2.74000000E-02   7.28235025E+02   6.29756379E+03   6.29756379E+03   1.47881025E+02   3.89327642E+02   3.89327642E+02
   2.76000000E-02   7.28942548E+02   6.08616405E+03   6.08616405E+03   1.51326322E+02   3.98404073E+02   3.98404073E+02
