# TBinMid=-0.0335 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   3.51605278E+16   4.15733416E+16   4.15733416E+16   1.71469354E+14   1.37721914E+14   1.37721914E+14
   2.00000000E-04   6.28714817E+07   7.43384059E+07   7.43384059E+07   3.06608946E+05   2.46264244E+05   2.46264244E+05
   4.00000000E-04   3.20685299E+07   3.79174043E+07   3.79174043E+07   1.56390431E+05   1.25610723E+05   1.25610723E+05
   6.00000000E-04   2.16257918E+07   2.55700494E+07   2.55700494E+07   1.05463734E+05   8.47070743E+04   8.47070743E+04
   8.00000000E-04   1.63506595E+07   1.93328028E+07   1.93328028E+07   7.97381948E+04   6.40446619E+04   6.40446619E+04
   1.00000000E-03   1.31620126E+07   1.55625891E+07   1.55625891E+07   6.41879385E+04   5.15549020E+04   5.15549020E+04
   1.20000000E-03   1.10238256E+07   1.30344251E+07   1.30344251E+07   5.37605199E+04   4.31797375E+04   4.31797375E+04
   1.40000000E-03   1.47219095E+07   1.74096118E+07   1.74096118E+07   5.81885072E+04   5.85549229E+04   5.85549229E+04
   1.60000000E-03   1.90123887E+07   2.24861129E+07   2.24861129E+07   6.05996223E+04   6.84755302E+04   6.84755302E+04
   1.80000000E-03   2.17065276E+07   2.56739959E+07   2.56739959E+07   6.12719360E+04   7.61296672E+04   7.61296672E+04
   2.00000000E-03   2.34043556E+07   2.76834095E+07   2.76834095E+07   5.99394969E+04   9.16579797E+04   9.16579797E+04
   2.20000000E-03   3.12048377E+07   3.69140176E+07   3.69140176E+07   5.84335273E+04   1.02356194E+05   1.02356194E+05
   2.40000000E-03   3.82694856E+07   4.52739045E+07   4.52739045E+07   5.68638338E+04   1.09752421E+05   1.09752421E+05
   2.60000000E-03   4.35327423E+07   5.15022049E+07   5.15022049E+07   5.52916848E+04   1.14833390E+05   1.14833390E+05
   2.80000000E-03   4.74768399E+07   5.61701173E+07   5.61701173E+07   5.08799489E+04   1.21388037E+05   1.21388037E+05
   3.00000000E-03   5.04405923E+07   5.96778810E+07   5.96778810E+07   4.69977423E+04   1.26214547E+05   1.26214547E+05
   3.20000000E-03   5.26629113E+07   6.23082037E+07   6.23082037E+07   4.36304826E+04   1.29655788E+05   1.29655788E+05
   3.40000000E-03   6.10590434E+07   7.22438417E+07   7.22438417E+07   4.06839086E+04   1.32045514E+05   1.32045514E+05
   3.60000000E-03   7.17752908E+07   8.49247727E+07   8.49247727E+07   3.80852553E+04   1.33628836E+05   1.33628836E+05
   3.80000000E-03   8.06406707E+07   9.54155311E+07   9.54155311E+07   3.57774840E+04   1.34588521E+05   1.34588521E+05
   4.00000000E-03   8.80024693E+07   1.04127281E+08   1.04127281E+08   3.23293258E+04   1.29205437E+05   1.29205437E+05
   4.20000000E-03   9.41334843E+07   1.11382615E+08   1.11382615E+08   2.90943771E+04   1.23459745E+05   1.23459745E+05
   4.40000000E-03   9.92487117E+07   1.17435912E+08   1.17435912E+08   2.62288165E+04   1.18218314E+05   1.18218314E+05
   4.60000000E-03   1.03519643E+08   1.22490105E+08   1.22490105E+08   2.36780571E+04   1.13416910E+05   1.13416910E+05
   4.80000000E-03   1.07084413E+08   1.26708658E+08   1.26708658E+08   2.13973940E+04   1.09001813E+05   1.09001813E+05
   5.00000000E-03   1.10055221E+08   1.30224340E+08   1.30224340E+08   1.93499051E+04   1.04927750E+05   1.04927750E+05
   5.20000000E-03   1.12523898E+08   1.33145820E+08   1.33145820E+08   1.75048590E+04   1.01156289E+05   1.01156289E+05
   5.40000000E-03   1.10703070E+08   1.30991544E+08   1.30991544E+08   1.58364944E+04   9.76545914E+04   9.76545914E+04
   5.60000000E-03   1.06911498E+08   1.26505281E+08   1.26505281E+08   1.43230743E+04   9.43944283E+04   9.43944283E+04
   5.80000000E-03   1.03376254E+08   1.22322216E+08   1.22322216E+08   1.32083329E+04   8.71968459E+04   8.71968459E+04
   6.00000000E-03   1.00071759E+08   1.18412175E+08   1.18412175E+08   1.22095843E+04   8.02703890E+04   8.02703890E+04
   6.20000000E-03   9.69759711E+07   1.14749082E+08   1.14749082E+08   1.12929942E+04   7.39183719E+04   7.39183719E+04
   6.40000000E-03   9.40695991E+07   1.11310115E+08   1.11310115E+08   1.04497698E+04   6.80790919E+04   6.80790919E+04
   6.60000000E-03   9.13356668E+07   1.08075185E+08   1.08075185E+08   9.67228184E+03   6.26990287E+04   6.26990287E+04
   6.80000000E-03   8.87591735E+07   1.05026543E+08   1.05026543E+08   8.95388192E+03   5.77315587E+04   5.77315587E+04
   7.00000000E-03   8.63268148E+07   1.02148447E+08   1.02148447E+08   8.28875324E+03   5.31359028E+04   5.31359028E+04
   7.20000000E-03   8.40267491E+07   9.94268857E+07   9.94268857E+07   7.67178706E+03   4.88762577E+04   4.88762577E+04
   7.40000000E-03   8.18484011E+07   9.68493459E+07   9.68493459E+07   7.09848050E+03   4.49210762E+04   4.49210762E+04
   7.60000000E-03   7.97822973E+07   9.44046181E+07   9.44046181E+07   6.56485127E+03   4.12424672E+04   4.12424672E+04
   7.80000000E-03   7.78199252E+07   9.20826301E+07   9.20826301E+07   6.06736614E+03   3.78156929E+04   3.78156929E+04
   8.00000000E-03   7.59536146E+07   8.98743064E+07   8.98743064E+07   5.60288088E+03   3.46187457E+04   3.46187457E+04
   8.20000000E-03   7.41764358E+07   8.77714474E+07   8.77714474E+07   5.16858931E+03   3.16319908E+04   3.16319908E+04
   8.40000000E-03   7.24822267E+07   8.57667321E+07   8.57667321E+07   4.93608950E+03   2.92391715E+04   2.92391715E+04
   8.60000000E-03   6.89715941E+07   8.16126535E+07   8.16126535E+07   4.76270204E+03   2.71008636E+04   2.71008636E+04
   8.80000000E-03   6.44745293E+07   7.62913401E+07   7.62913401E+07   4.59851233E+03   2.50925172E+04   2.50925172E+04
   9.00000000E-03   6.02417088E+07   7.12827033E+07   7.12827033E+07   4.44284934E+03   2.32040283E+04   2.32040283E+04
   9.20000000E-03   5.62531306E+07   6.65630753E+07   6.65630753E+07   4.29510410E+03   2.14262640E+04   2.14262640E+04
   9.40000000E-03   5.24906702E+07   6.21110094E+07   6.21110094E+07   4.15472281E+03   1.97509522E+04   1.97509522E+04
   9.60000000E-03   4.89378699E+07   5.79070316E+07   5.79070316E+07   4.02120082E+03   1.81705844E+04   1.81705844E+04
   9.80000000E-03   4.55797567E+07   5.39334244E+07   5.39334244E+07   3.89407737E+03   1.66783320E+04   1.66783320E+04
   1.00000000E-02   4.24026823E+07   5.01740380E+07   5.01740380E+07   3.77293098E+03   1.52679732E+04   1.52679732E+04
   1.02000000E-02   3.93941832E+07   4.66141245E+07   4.66141245E+07   3.65737542E+03   1.39338285E+04   1.39338285E+04
   1.04000000E-02   3.65428586E+07   4.32401935E+07   4.32401935E+07   3.54705614E+03   1.26707045E+04   1.26707045E+04
   1.06000000E-02   3.38382620E+07   4.00398837E+07   4.00398837E+07   3.44164715E+03   1.14738447E+04   1.14738447E+04
   1.08000000E-02   3.12708058E+07   3.70018504E+07   3.70018504E+07   3.34084823E+03   1.03388851E+04   1.03388851E+04
   1.10000000E-02   2.88316776E+07   3.41156658E+07   3.41156658E+07   3.24438248E+03   9.26181617E+03   9.26181617E+03
   1.12000000E-02   2.65127649E+07   3.13717307E+07   3.13717307E+07   3.15199414E+03   8.23894844E+03   8.23894844E+03
   1.14000000E-02   2.43065894E+07   2.87611959E+07   2.87611959E+07   3.06344661E+03   7.26688195E+03   7.26688195E+03
   1.16000000E-02   2.22062473E+07   2.62758924E+07   2.62758924E+07   2.97852076E+03   6.34247928E+03   6.34247928E+03
   1.18000000E-02   2.02053571E+07   2.39082688E+07   2.39082688E+07   2.89701333E+03   5.46284147E+03   5.46284147E+03
   1.20000000E-02   1.82980122E+07   2.16513362E+07   2.16513362E+07   2.81873555E+03   4.62528634E+03   4.62528634E+03
   1.22000000E-02   1.64787221E+07   1.94986021E+07   1.94986021E+07   2.73414635E+03   4.12020953E+03   4.12020953E+03
   1.24000000E-02   1.47424099E+07   1.74440584E+07   1.74440584E+07   2.64397700E+03   3.91735156E+03   3.91735156E+03
   1.26000000E-02   1.30843747E+07   1.54821385E+07   1.54821385E+07   2.55739564E+03   3.72308142E+03   3.72308142E+03
   1.28000000E-02   1.15002293E+07   1.36076509E+07   1.36076509E+07   2.47421156E+03   3.53692996E+03   3.53692996E+03
   1.30000000E-02   9.98588925E+06   1.18157628E+07   1.18157628E+07   2.39424687E+03   3.35845996E+03   3.35845996E+03
   1.32000000E-02   8.53754826E+06   1.01019700E+07   1.01019700E+07   2.31733537E+03   3.18726349E+03   3.18726349E+03
   1.34000000E-02   7.15165531E+06   8.46207090E+06   8.46207090E+06   2.24332169E+03   3.02295962E+03   3.02295962E+03
   1.36000000E-02   5.82489437E+06   6.89214154E+06   6.89214154E+06   2.17206041E+03   2.86519221E+03   2.86519221E+03
   1.38000000E-02   5.37592762E+06   6.36089597E+06   6.36089597E+06   2.10341531E+03   2.71362805E+03   2.71362805E+03
   1.40000000E-02   5.13466672E+06   6.07542602E+06   6.07542602E+06   2.03725864E+03   2.56795504E+03   2.56795504E+03
   1.42000000E-02   4.90250191E+06   5.80071897E+06   5.80071897E+06   1.97347050E+03   2.42788059E+03   2.42788059E+03
   1.44000000E-02   4.67899075E+06   5.53625131E+06   5.53625131E+06   1.91193829E+03   2.29313020E+03   2.29313020E+03
   1.46000000E-02   4.46371762E+06   5.28153124E+06   5.28153124E+06   1.85255612E+03   2.16344606E+03   2.16344606E+03
   1.48000000E-02   4.25629179E+06   5.03609645E+06   5.03609645E+06   1.79522436E+03   2.03858590E+03   2.03858590E+03
   1.50000000E-02   4.05634561E+06   4.79951191E+06   4.79951191E+06   1.73984921E+03   1.91832182E+03   1.91832182E+03
   1.52000000E-02   3.86353290E+06   4.57136801E+06   4.57136801E+06   1.68634224E+03   1.80243929E+03   1.80243929E+03
   1.54000000E-02   3.67752744E+06   4.35127874E+06   4.35127874E+06   1.63462006E+03   1.69073619E+03   1.69073619E+03
   1.56000000E-02   3.49802157E+06   4.13888007E+06   4.13888007E+06   1.58460396E+03   1.58302198E+03   1.58302198E+03
   1.58000000E-02   3.32472494E+06   3.93382846E+06   3.93382846E+06   1.53621960E+03   1.47911690E+03   1.47911690E+03
   1.60000000E-02   3.15736335E+06   3.73579944E+06   3.73579944E+06   1.48939670E+03   1.37885122E+03   1.37885122E+03
   1.62000000E-02   2.99567766E+06   3.54448639E+06   3.54448639E+06   1.44406881E+03   1.28206458E+03   1.28206458E+03
   1.64000000E-02   2.83942279E+06   3.35959933E+06   3.35959933E+06   1.40017301E+03   1.18860537E+03   1.18860537E+03
   1.66000000E-02   2.68836683E+06   3.18086384E+06   3.18086384E+06   1.35764972E+03   1.09833017E+03   1.09833017E+03
   1.68000000E-02   2.54229017E+06   3.00802008E+06   3.00802008E+06   1.31644246E+03   1.01110322E+03   1.01110322E+03
   1.70000000E-02   2.40098472E+06   2.84082183E+06   2.84082183E+06   1.27649770E+03   9.26795887E+02   9.26795887E+02
   1.72000000E-02   2.26425321E+06   2.67903565E+06   2.67903565E+06   1.23776461E+03   8.45286289E+02   8.45286289E+02
   1.74000000E-02   2.13190847E+06   2.52244010E+06   2.52244010E+06   1.20019496E+03   7.66458815E+02   7.66458815E+02
   1.76000000E-02   2.00377286E+06   2.37082496E+06   2.37082496E+06   1.16374291E+03   6.90203763E+02   6.90203763E+02
   1.78000000E-02   1.87967824E+06   2.22399116E+06   2.22399116E+06   1.12970812E+03   6.28092218E+02   6.28092218E+02
   1.80000000E-02   1.75946592E+06   2.08175047E+06   2.08175047E+06   1.10172386E+03   6.11962836E+02   6.11962836E+02
   1.82000000E-02   1.64298112E+06   1.94392038E+06   1.94392038E+06   1.07452328E+03   5.96287947E+02   5.96287947E+02
   1.84000000E-02   1.53007883E+06   1.81032929E+06   1.81032929E+06   1.04807719E+03   5.81050570E+02   5.81050570E+02
   1.86000000E-02   1.42062102E+06   1.68081387E+06   1.68081387E+06   1.02235775E+03   5.66234522E+02   5.66234522E+02
   1.88000000E-02   1.31447625E+06   1.55521860E+06   1.55521860E+06   9.97338441E+02   5.51824374E+02   5.51824374E+02
   1.90000000E-02   1.21151928E+06   1.43339530E+06   1.43339530E+06   9.72993943E+02   5.37805410E+02   5.37805410E+02
   1.92000000E-02   1.11163074E+06   1.31520272E+06   1.31520272E+06   9.49300100E+02   5.24163585E+02   5.24163585E+02
   1.94000000E-02   1.01469679E+06   1.20050616E+06   1.20050616E+06   9.26233847E+02   5.10885491E+02   5.10885491E+02
   1.96000000E-02   9.20608807E+05   1.08917708E+06   1.08917708E+06   9.03773148E+02   4.97958318E+02   4.97958318E+02
   1.98000000E-02   8.29263110E+05   9.81092809E+05   9.81092809E+05   8.81896943E+02   4.85369825E+02   4.85369825E+02
   2.00000000E-02   7.40560683E+05   8.76136187E+05   8.76136187E+05   8.60585096E+02   4.73108310E+02   4.73108310E+02
   2.02000000E-02   6.54406930E+05   7.74195280E+05   7.74195280E+05   8.39818344E+02   4.61162578E+02   4.61162578E+02
   2.04000000E-02   5.70711431E+05   6.75163100E+05   6.75163100E+05   8.19578253E+02   4.49521917E+02   4.49521917E+02
