# TBinMid=3.4515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   7.64228569E+17   7.44385805E+17   7.44385805E+17   8.66831593E+17   7.48836142E+17   7.48836142E+17
   2.00000000E-04   1.36653758E+09   1.33105620E+09   1.33105620E+09   1.55000480E+09   1.33901397E+09   1.33901397E+09
   4.00000000E-04   6.97022720E+08   6.78924919E+08   6.78924919E+08   7.90602890E+08   6.82983896E+08   6.82983896E+08
   6.00000000E-04   4.70045503E+08   4.57841036E+08   4.57841036E+08   5.33152395E+08   4.60578255E+08   4.60578255E+08
   8.00000000E-04   3.55388325E+08   3.46160868E+08   3.46160868E+08   4.03101691E+08   3.48230403E+08   3.48230403E+08
   1.00000000E-03   2.86081771E+08   2.78653819E+08   2.78653819E+08   3.24490247E+08   2.80319761E+08   2.80319761E+08
   1.20000000E-03   2.39607395E+08   2.33386124E+08   2.33386124E+08   2.71776361E+08   2.34781431E+08   2.34781431E+08
   1.40000000E-03   3.28821119E+08   3.27240030E+08   3.27240030E+08   3.34881221E+08   2.81350858E+08   2.81350858E+08
   1.60000000E-03   4.15937933E+08   4.21851634E+08   4.21851634E+08   3.80529716E+08   3.14947000E+08   3.14947000E+08
   1.80000000E-03   4.76166355E+08   4.86686431E+08   4.86686431E+08   4.15195144E+08   3.40616471E+08   3.40616471E+08
   2.00000000E-03   6.70597421E+08   6.72193656E+08   6.72193656E+08   6.56031535E+08   5.33850486E+08   5.33850486E+08
   2.20000000E-03   9.19755247E+08   9.35090297E+08   9.35090297E+08   8.28594111E+08   6.72240385E+08   6.72240385E+08
   2.40000000E-03   1.14224910E+09   1.17518597E+09   1.17518597E+09   9.53862938E+08   7.72646035E+08   7.72646035E+08
   2.60000000E-03   1.30839816E+09   1.35483313E+09   1.35483313E+09   1.04549398E+09   8.46040350E+08   8.46040350E+08
   2.80000000E-03   1.56410605E+09   1.61087806E+09   1.61087806E+09   1.29882883E+09   1.08823085E+09   1.08823085E+09
   3.00000000E-03   1.78639564E+09   1.83142990E+09   1.83142990E+09   1.53023425E+09   1.31202108E+09   1.31202108E+09
   3.20000000E-03   1.96113302E+09   2.00456321E+09   2.00456321E+09   1.71346667E+09   1.48990094E+09   1.48990094E+09
   3.40000000E-03   2.13960034E+09   2.18899373E+09   2.18899373E+09   1.85922513E+09   1.63202049E+09   1.63202049E+09
