# TBinMid=-0.0435 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   1.09811049E+17   1.77215511E+14   1.77215511E+14   9.85188465E+13   1.77215511E+14   1.77215511E+14
   2.00000000E-04   1.96356079E+08   3.16883804E+05   3.16883804E+05   1.76164189E+05   3.16883804E+05   3.16883804E+05
   4.00000000E-04   1.00154325E+08   1.61631275E+05   1.61631275E+05   8.98551522E+04   1.61631275E+05   1.61631275E+05
   6.00000000E-04   6.75402517E+07   1.08997959E+05   1.08997959E+05   6.05948830E+04   1.08997959E+05   1.08997959E+05
   8.00000000E-04   5.10653050E+07   8.24103239E+04   8.24103239E+04   4.58141050E+04   8.24103239E+04   8.24103239E+04
   1.00000000E-03   4.11067326E+07   6.63389586E+04   6.63389586E+04   3.68796028E+04   6.63389586E+04   6.63389586E+04
   1.20000000E-03   3.44288875E+07   5.55621037E+04   5.55621037E+04   3.08884607E+04   5.55621037E+04   5.55621037E+04
   1.40000000E-03   4.52703015E+07   5.95961725E+04   5.95961725E+04   5.76608834E+04   5.95961725E+04   5.95961725E+04
   1.60000000E-03   5.79431612E+07   6.17222309E+04   6.17222309E+04   7.54147702E+04   6.17222309E+04   6.17222309E+04
   1.80000000E-03   6.58780624E+07   6.20657185E+04   6.20657185E+04   9.03777736E+04   6.20657185E+04   6.20657185E+04
   2.00000000E-03   7.08616584E+07   5.97511630E+04   5.97511630E+04   1.23598399E+05   5.97511630E+04   5.97511630E+04
   2.20000000E-03   9.20769148E+07   5.75199273E+04   5.75199273E+04   1.47114341E+05   5.75199273E+04   5.75199273E+04
   2.40000000E-03   1.11198582E+08   5.54050995E+04   5.54050995E+04   1.63937195E+05   5.54050995E+04   5.54050995E+04
   2.60000000E-03   1.25397561E+08   5.34176125E+04   5.34176125E+04   1.76021902E+05   5.34176125E+04   5.34176125E+04
   2.80000000E-03   1.36001622E+08   4.82056308E+04   4.82056308E+04   1.94271633E+05   4.82056308E+04   4.82056308E+04
   3.00000000E-03   1.43931671E+08   4.36749213E+04   4.36749213E+04   2.08398953E+05   4.36749213E+04   4.36749213E+04
   3.20000000E-03   1.49841692E+08   3.97902650E+04   3.97902650E+04   2.19121352E+05   3.97902650E+04   3.97902650E+04
   3.40000000E-03   1.68847787E+08   3.64285496E+04   3.64285496E+04   2.27226865E+05   3.64285496E+04   3.64285496E+04
   3.60000000E-03   1.92657027E+08   3.34954966E+04   3.34954966E+04   2.33298066E+05   3.34954966E+04   3.34954966E+04
   3.80000000E-03   2.12259566E+08   3.09177711E+04   3.09177711E+04   2.37772363E+05   3.09177711E+04   3.09177711E+04
   4.00000000E-03   2.28452211E+08   2.75003920E+04   2.75003920E+04   2.30463968E+05   2.75003920E+04   2.75003920E+04
   4.20000000E-03   2.41856867E+08   2.43374717E+04   2.43374717E+04   2.22177339E+05   2.43374717E+04   2.43374717E+04
   4.40000000E-03   2.52964401E+08   2.15444052E+04   2.15444052E+04   2.14524662E+05   2.15444052E+04   2.15444052E+04
   4.60000000E-03   2.62166185E+08   1.90659484E+04   1.90659484E+04   2.07433403E+05   1.90659484E+04   1.90659484E+04
   4.80000000E-03   2.69777131E+08   1.68569216E+04   1.68569216E+04   2.00841874E+05   1.68569216E+04   1.68569216E+04
   5.00000000E-03   2.76052744E+08   1.48800623E+04   1.48800623E+04   1.94697258E+05   1.48800623E+04   1.48800623E+04
   5.20000000E-03   2.81201909E+08   1.31043990E+04   1.31043990E+04   1.88954055E+05   1.31043990E+04   1.31043990E+04
   5.40000000E-03   2.75476170E+08   1.15040046E+04   1.15040046E+04   1.83572843E+05   1.15040046E+04   1.15040046E+04
   5.60000000E-03   2.64806806E+08   1.00570319E+04   1.00570319E+04   1.78519287E+05   1.00570319E+04   1.00570319E+04
   5.80000000E-03   2.54901416E+08   9.30382715E+03   9.30382715E+03   1.64928760E+05   9.30382715E+03   9.30382715E+03
   6.00000000E-03   2.45681757E+08   8.65975082E+03   8.65975082E+03   1.51767199E+05   8.65975082E+03   8.65975082E+03
   6.20000000E-03   2.37079857E+08   8.06782566E+03   8.06782566E+03   1.39697987E+05   8.06782566E+03   8.06782566E+03
   6.40000000E-03   2.29036390E+08   7.52251050E+03   7.52251050E+03   1.28603752E+05   7.52251050E+03   7.52251050E+03
   6.60000000E-03   2.21499347E+08   7.01899417E+03   7.01899417E+03   1.18382689E+05   7.01899417E+03   7.01899417E+03
