# TBinMid=2.4515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   6.57503775E+17   9.46860142E+17   9.46860142E+17   6.58485067E+17   9.46860142E+17   9.46860142E+17
   2.00000000E-04   1.17570012E+09   1.69310599E+09   1.69310599E+09   1.17745479E+09   1.69310599E+09   1.69310599E+09
   4.00000000E-04   5.99683247E+08   8.63593771E+08   8.63593771E+08   6.00578245E+08   8.63593771E+08   8.63593771E+08
   6.00000000E-04   4.04403480E+08   5.82374658E+08   5.82374658E+08   4.05007032E+08   5.82374658E+08   5.82374658E+08
   8.00000000E-04   3.05758218E+08   4.40317274E+08   4.40317274E+08   3.06214547E+08   4.40317274E+08   4.40317274E+08
   1.00000000E-03   2.46130349E+08   3.54448181E+08   3.54448181E+08   2.46497686E+08   3.54448181E+08   3.54448181E+08
   1.20000000E-03   2.06146136E+08   2.96867588E+08   2.96867588E+08   2.06453799E+08   2.96867588E+08   2.96867588E+08
   1.40000000E-03   3.88636265E+08   3.57401180E+08   3.57401180E+08   2.33940720E+08   3.57401180E+08   3.57401180E+08
   1.60000000E-03   6.18504425E+08   4.01983880E+08   4.01983880E+08   2.54085116E+08   4.01983880E+08   4.01983880E+08
   1.80000000E-03   7.68100174E+08   4.32746954E+08   4.32746954E+08   2.67745030E+08   4.32746954E+08   4.32746954E+08
   2.00000000E-03   8.67053425E+08   6.88915375E+08   6.88915375E+08   4.13784125E+08   6.88915375E+08   6.88915375E+08
   2.20000000E-03   1.39282179E+09   8.72540567E+08   8.72540567E+08   5.18284581E+08   8.72540567E+08   8.72540567E+08
   2.40000000E-03   1.95818571E+09   1.00590667E+09   1.00590667E+09   5.94025131E+08   1.00590667E+09   1.00590667E+09
   2.60000000E-03   2.38619330E+09   1.10351989E+09   1.10351989E+09   6.49320906E+08   1.10351989E+09   1.10351989E+09
