# TBinMid=0.75 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   4.33405385E-16   2.33852049E-16   2.33852049E-16   1.15264224E-15   3.03546226E-15   3.03546226E-15
   2.00000000E-04   3.82099844E+06   3.69561039E+06   3.69561039E+06   1.80562318E+06   3.78062867E+06   3.78062867E+06
   4.00000000E-04   2.03775514E+07   2.15606297E+07   2.15606297E+07   1.01348367E+07   1.90183368E+07   1.90183368E+07
   6.00000000E-04   5.32730933E+07   5.95925324E+07   5.95925324E+07   2.78594421E+07   4.82635206E+07   4.82635206E+07
   8.00000000E-04   1.03946831E+08   1.20982988E+08   1.20982988E+08   5.68754116E+07   9.24680257E+07   9.24680257E+07
   1.00000000E-03   1.72737825E+08   2.07196095E+08   2.07196095E+08   9.84270736E+07   1.51807767E+08   1.51807767E+08
   1.20000000E-03   2.59301526E+08   3.18482453E+08   3.18482453E+08   1.53252048E+08   2.25980875E+08   2.25980875E+08
   1.40000000E-03   3.62842160E+08   4.54211819E+08   4.54211819E+08   2.21678772E+08   3.14368360E+08   3.14368360E+08
   1.60000000E-03   4.82261754E+08   6.13112869E+08   6.13112869E+08   3.03701749E+08   4.16135463E+08   4.16135463E+08
   1.80000000E-03   6.16263072E+08   7.93455029E+08   7.93455029E+08   3.99043174E+08   5.30301337E+08   5.30301337E+08
   2.00000000E-03   7.63423915E+08   9.93190006E+08   9.93190006E+08   5.07204865E+08   6.55789514E+08   6.55789514E+08
   2.20000000E-03   9.22252176E+08   1.21006338E+09   1.21006338E+09   6.27512636E+08   7.91465663E+08   7.91465663E+08
   2.40000000E-03   1.09122726E+09   1.44170307E+09   1.44170307E+09   7.59154454E+08   9.36166425E+08   9.36166425E+08
   2.60000000E-03   1.26883150E+09   1.68568937E+09   1.68568937E+09   9.01213341E+08   1.08872170E+09   1.08872170E+09
   2.80000000E-03   1.45357392E+09   1.93961022E+09   1.93961022E+09   1.05269572E+09   1.24797196E+09   1.24797196E+09
   3.00000000E-03   1.64400821E+09   2.20110432E+09   2.20110432E+09   1.21255580E+09   1.41278168E+09   1.41278168E+09
   3.20000000E-03   1.83874611E+09   2.46789434E+09   2.46789434E+09   1.37971644E+09   1.58204979E+09   1.58204979E+09
   3.40000000E-03   2.03646707E+09   2.73781191E+09   2.73781191E+09   1.55308696E+09   1.75471751E+09   1.75471751E+09
   3.60000000E-03   2.23592511E+09   3.00881588E+09   3.00881588E+09   1.73157819E+09   1.92977439E+09   1.92977439E+09
   3.80000000E-03   2.43595332E+09   3.27900502E+09   3.27900502E+09   1.91411517E+09   2.10626259E+09   2.10626259E+09
   4.00000000E-03   2.63546649E+09   3.54662614E+09   3.54662614E+09   2.09964763E+09   2.28327984E+09   2.28327984E+09
   4.20000000E-03   2.83346227E+09   3.81007843E+09   3.81007843E+09   2.28715867E+09   2.45998138E+09   2.45998138E+09
