# TBinMid=-0.045 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   3.66901491E-54   8.07777112E-53   8.07777112E-53   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.00000000E-04   7.61844917E+00   1.67729187E+02   1.67729187E+02   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.00000000E-04   4.61961929E+02   1.01706393E+04   1.01706393E+04   0.00000000E+00   0.00000000E+00   0.00000000E+00
   6.00000000E-04   4.64063612E+03   1.02169104E+05   1.02169104E+05   0.00000000E+00   0.00000000E+00   0.00000000E+00
   8.00000000E-04   2.22990345E+04   4.90939669E+05   4.90939669E+05   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.00000000E-03   7.15033209E+04   1.57423034E+06   1.57423034E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.20000000E-03   1.77490387E+05   3.90766121E+06   3.90766121E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.40000000E-03   3.69191602E+05   8.12819062E+06   8.12819062E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.60000000E-03   6.74705688E+05   1.48544453E+07   1.48544453E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.80000000E-03   1.11693596E+06   2.45906688E+07   2.45906688E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.00000000E-03   1.71023032E+06   3.76527472E+07   3.76527472E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.20000000E-03   2.45843222E+06   5.41252987E+07   5.41252987E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.40000000E-03   3.35439242E+06   7.38509242E+07   7.38509242E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.60000000E-03   4.38074791E+06   9.64473565E+07   9.64473565E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.80000000E-03   5.51164369E+06   1.21345367E+08   1.21345367E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.00000000E-03   6.71503323E+06   1.47839414E+08   1.47839414E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.20000000E-03   7.95521543E+06   1.75143495E+08   1.75143495E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.40000000E-03   9.19532500E+06   2.02445977E+08   2.02445977E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.60000000E-03   1.03995671E+07   2.28958793E+08   2.28958793E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.80000000E-03   1.15350626E+07   2.53958073E+08   2.53958073E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.00000000E-03   1.25732381E+07   2.76814736E+08   2.76814736E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.20000000E-03   1.34907475E+07   2.97014793E+08   2.97014793E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.40000000E-03   1.42699556E+07   3.14169983E+08   3.14169983E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.60000000E-03   1.48990366E+07   3.28019947E+08   3.28019947E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.80000000E-03   1.53717587E+07   3.38427485E+08   3.38427485E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   5.00000000E-03   1.56870292E+07   3.45368537E+08   3.45368537E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   5.20000000E-03   1.58482730E+07   3.48918511E+08   3.48918511E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   5.40000000E-03   1.58627124E+07   3.49236412E+08   3.49236412E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   5.60000000E-03   1.57406037E+07   3.46548045E+08   3.46548045E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   5.80000000E-03   1.54944777E+07   3.41129288E+08   3.41129288E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   6.00000000E-03   1.51384200E+07   3.33290257E+08   3.33290257E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   6.20000000E-03   1.46874159E+07   3.23360866E+08   3.23360866E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   6.40000000E-03   1.41567756E+07   3.11678191E+08   3.11678191E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   6.60000000E-03   1.35616487E+07   2.98575768E+08   2.98575768E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   6.80000000E-03   1.29166302E+07   2.84374921E+08   2.84374921E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   7.00000000E-03   1.22354542E+07   2.69378024E+08   2.69378024E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   7.20000000E-03   1.15307709E+07   2.53863587E+08   2.53863587E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   7.40000000E-03   1.08139976E+07   2.38082972E+08   2.38082972E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   7.60000000E-03   1.00952338E+07   2.22258536E+08   2.22258536E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   7.80000000E-03   9.38323159E+06   2.06582963E+08   2.06582963E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   8.00000000E-03   8.68540945E+06   1.91219582E+08   1.91219582E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   8.20000000E-03   8.00790178E+06   1.76303447E+08   1.76303447E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   8.40000000E-03   7.35563402E+06   1.61943000E+08   1.61943000E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   8.60000000E-03   6.73241634E+06   1.48222124E+08   1.48222124E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   8.80000000E-03   6.14104896E+06   1.35202470E+08   1.35202470E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
