# TBinMid=0.065 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   8.90254435E-24   4.65346025E-24   4.65346025E-24   7.93250201E-24   2.08901031E-23   2.08901031E-23
   2.00000000E-04   1.82738540E+05   2.19315426E+05   2.19315426E+05   6.21851298E+04   1.50206974E+05   1.50206974E+05
   4.00000000E-04   1.50391651E+06   2.30377796E+06   2.30377796E+06   5.50742529E+05   1.19374471E+06   1.19374471E+06
   6.00000000E-04   5.04705283E+06   8.95349349E+06   8.95349349E+06   2.02407717E+06   3.94590540E+06   3.94590540E+06
   8.00000000E-04   1.17214377E+07   2.30112064E+07   2.30112064E+07   5.15455900E+06   9.10746972E+06   9.10746972E+06
   1.00000000E-03   2.22404178E+07   4.70481275E+07   4.70481275E+07   1.06844227E+07   1.72630087E+07   1.72630087E+07
   1.20000000E-03   3.71258906E+07   8.31569536E+07   8.31569536E+07   1.93792275E+07   2.88840166E+07   2.88840166E+07
   1.40000000E-03   5.67225793E+07   1.32861229E+08   1.32861229E+08   3.19855490E+07   4.43337603E+07   4.43337603E+07
   1.60000000E-03   8.12164863E+07   1.97096239E+08   1.97096239E+08   4.91955971E+07   6.38732226E+07   6.38732226E+07
   1.80000000E-03   1.10654858E+08   2.76234326E+08   2.76234326E+08   7.16195680E+07   8.76678754E+07   8.76678754E+07
   2.00000000E-03   1.44966213E+08   3.70136924E+08   3.70136924E+08   9.97655850E+07   1.15795093E+08   1.15795093E+08
   2.20000000E-03   1.83979617E+08   4.78221317E+08   4.78221317E+08   1.34026599E+08   1.48252022E+08   1.48252022E+08
   2.40000000E-03   2.27442719E+08   5.99533932E+08   5.99533932E+08   1.74673391E+08   1.84963741E+08   1.84963741E+08
   2.60000000E-03   2.75038306E+08   7.32824617E+08   7.32824617E+08   2.21852750E+08   2.25791536E+08   2.25791536E+08
   2.80000000E-03   3.26399257E+08   8.76618198E+08   8.76618198E+08   2.75589877E+08   2.70541166E+08   2.70541166E+08
   3.00000000E-03   3.81121859E+08   1.02928095E+09   1.02928095E+09   3.35794154E+08   3.18970962E+08   3.18970962E+08
   3.20000000E-03   4.38777541E+08   1.18908056E+09   1.18908056E+09   4.02267469E+08   3.70799677E+08   3.70799677E+08
   3.40000000E-03   4.98923062E+08   1.35423894E+09   1.35423894E+09   4.74714384E+08   4.25713984E+08   4.25713984E+08
   3.60000000E-03   5.61109281E+08   1.52297755E+09   1.52297755E+09   5.52753543E+08   4.83375545E+08   4.83375545E+08
   3.80000000E-03   6.24888595E+08   1.69355549E+09   1.69355549E+09   6.35929784E+08   5.43427618E+08   5.43427618E+08
   4.00000000E-03   6.89821162E+08   1.86430058E+09   1.86430058E+09   7.23726537E+08   6.05501151E+08   6.05501151E+08
   4.20000000E-03   7.55480030E+08   2.03363405E+09   2.03363405E+09   8.15578142E+08   6.69220336E+08   6.69220336E+08
   4.40000000E-03   8.21455280E+08   2.20008930E+09   2.20008930E+09   9.10881804E+08   7.34207632E+08   7.34207632E+08
   4.60000000E-03   8.87357294E+08   2.36232553E+09   2.36232553E+09   1.00900898E+09   8.00088237E+08   8.00088237E+08
   4.80000000E-03   9.52819250E+08   2.51913668E+09   2.51913668E+09   1.10931602E+09   8.66494029E+08   8.66494029E+08
   5.00000000E-03   1.01749894E+09   2.66945644E+09   2.66945644E+09   1.21115396E+09   9.33066988E+08   9.33066988E+08
   5.20000000E-03   1.08108001E+09   2.81235993E+09   2.81235993E+09   1.31387738E+09   9.99462123E+08   9.99462123E+08
   5.40000000E-03   1.14327267E+09   2.94706250E+09   2.94706250E+09   1.41685232E+09   1.06534993E+09   1.06534993E+09
