# TBinMid=-0.035 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   4.67585403E-58   1.02944467E-56   1.02944467E-56   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.00000000E-04   3.98250424E+00   8.76795502E+01   8.76795502E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.00000000E-04   2.85005401E+02   6.27473165E+03   6.27473165E+03   0.00000000E+00   0.00000000E+00   0.00000000E+00
   6.00000000E-04   3.18279827E+03   7.00730757E+04   7.00730757E+04   0.00000000E+00   0.00000000E+00   0.00000000E+00
   8.00000000E-04   1.65705595E+04   3.64820504E+05   3.64820504E+05   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.00000000E-03   5.67338919E+04   1.24906386E+06   1.24906386E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.20000000E-03   1.48940705E+05   3.27910611E+06   3.27910611E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.40000000E-03   3.25447604E+05   7.16511466E+06   7.16511466E+06   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.60000000E-03   6.21645676E+05   1.36862662E+07   1.36862662E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.80000000E-03   1.07140037E+06   2.35881488E+07   2.35881488E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.00000000E-03   1.70257939E+06   3.74843028E+07   3.74843028E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.20000000E-03   2.53349418E+06   5.57778766E+07   5.57778766E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.40000000E-03   3.57065497E+06   7.86122005E+07   7.86122005E+07   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.60000000E-03   4.80794478E+06   1.05852602E+08   1.05852602E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.80000000E-03   6.22709657E+06   1.37096910E+08   1.37096910E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.00000000E-03   7.79921854E+06   1.71709039E+08   1.71709039E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.20000000E-03   9.48704810E+06   2.08868606E+08   2.08868606E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.40000000E-03   1.12476079E+07   2.47629416E+08   2.47629416E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.60000000E-03   1.30349696E+07   2.86980302E+08   2.86980302E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   3.80000000E-03   1.48028868E+07   3.25903095E+08   3.25903095E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.00000000E-03   1.65071217E+07   3.63423847E+08   3.63423847E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.20000000E-03   1.81073545E+07   3.98654866E+08   3.98654866E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.40000000E-03   1.95686211E+07   4.30826384E+08   4.30826384E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.60000000E-03   2.08622732E+07   4.59307668E+08   4.59307668E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   4.80000000E-03   2.19664856E+07   4.83618211E+08   4.83618211E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   5.00000000E-03   2.28663657E+07   5.03430140E+08   5.03430140E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   5.20000000E-03   2.35537306E+07   5.18563292E+08   5.18563292E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
   5.40000000E-03   2.40266231E+07   5.28974579E+08   5.28974579E+08   0.00000000E+00   0.00000000E+00   0.00000000E+00
