# TBinMid=0.005 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   2.43640606E-02   1.27353519E-02   1.27353519E-02   7.95197815E-03   2.09413931E-02   2.09413931E-02
   2.00000000E-04   1.60800879E+07   8.41625075E+06   8.41625075E+06   5.24887289E+06   1.38209005E+07   1.38209005E+07
   4.00000000E-04   3.44081052E+07   1.82072932E+07   1.82072932E+07   1.12425549E+07   2.95692706E+07   2.95692706E+07
   6.00000000E-04   5.41723452E+07   2.95788989E+07   2.95788989E+07   1.77496640E+07   4.65323397E+07   4.65323397E+07
   8.00000000E-04   7.49957673E+07   4.34637809E+07   4.34637809E+07   2.47039820E+07   6.43581956E+07   6.43581956E+07
   1.00000000E-03   9.66534428E+07   6.13095548E+07   6.13095548E+07   3.21062315E+07   8.28138603E+07   8.28138603E+07
   1.20000000E-03   1.18998424E+08   8.49231974E+07   8.49231974E+07   3.99923440E+07   1.01724062E+08   1.01724062E+08
   1.40000000E-03   1.41930471E+08   1.16318622E+08   1.16318622E+08   4.84159158E+07   1.20947593E+08   1.20947593E+08
   1.60000000E-03   1.65379190E+08   1.57572764E+08   1.57572764E+08   5.74363369E+07   1.40366246E+08   1.40366246E+08
   1.80000000E-03   1.89293408E+08   2.10698084E+08   2.10698084E+08   6.71102314E+07   1.59878930E+08   1.59878930E+08
   2.00000000E-03   2.13633744E+08   2.77536566E+08   2.77536566E+08   7.74852782E+07   1.79398128E+08   1.79398128E+08
   2.20000000E-03   2.38367089E+08   3.59677336E+08   3.59677336E+08   8.85959231E+07   1.98847464E+08   1.98847464E+08
   2.40000000E-03   2.63462428E+08   4.58397850E+08   4.58397850E+08   1.00460651E+08   2.18159854E+08   2.18159854E+08
   2.60000000E-03   2.88887682E+08   5.74627066E+08   5.74627066E+08   1.13080553E+08   2.37275981E+08   2.37275981E+08
   2.80000000E-03   3.14607432E+08   7.08928101E+08   7.08928101E+08   1.26438951E+08   2.56143012E+08   2.56143012E+08
   3.00000000E-03   3.40581373E+08   8.61497434E+08   8.61497434E+08   1.40501880E+08   2.74713504E+08   2.74713504E+08
   3.20000000E-03   3.66763425E+08   1.03217753E+09   1.03217753E+09   1.55219222E+08   2.92944488E+08   2.92944488E+08
   3.40000000E-03   3.93101375E+08   1.22047987E+09   1.22047987E+09   1.70526340E+08   3.10796738E+08   3.10796738E+08
   3.60000000E-03   4.19536980E+08   1.42561565E+09   1.42561565E+09   1.86346041E+08   3.28234182E+08   3.28234182E+08
   3.80000000E-03   4.46006417E+08   1.64653151E+09   1.64653151E+09   2.02590753E+08   3.45223481E+08   3.45223481E+08
   4.00000000E-03   4.72441005E+08   1.88194833E+09   1.88194833E+09   2.19164797E+08   3.61733727E+08   3.61733727E+08
   4.20000000E-03   4.98768126E+08   2.13040118E+09   2.13040118E+09   2.35966669E+08   3.77736253E+08   3.77736253E+08
   4.40000000E-03   5.24912249E+08   2.39027906E+09   2.39027906E+09   2.52891255E+08   3.93204536E+08   3.93204536E+08
   4.60000000E-03   5.50796029E+08   2.65986318E+09   2.65986318E+09   2.69831917E+08   4.08114163E+08   4.08114163E+08
   4.80000000E-03   5.76341402E+08   2.93736313E+09   2.93736313E+09   2.86682425E+08   4.22442854E+08   4.22442854E+08
   5.00000000E-03   6.01470651E+08   3.22095013E+09   3.22095013E+09   3.03338690E+08   4.36170502E+08   4.36170502E+08
   5.20000000E-03   6.26107412E+08   3.50878716E+09   3.50878716E+09   3.19700283E+08   4.49279249E+08   4.49279249E+08
   5.40000000E-03   6.50177590E+08   3.79905562E+09   3.79905562E+09   3.35671743E+08   4.61753543E+08   4.61753543E+08
   5.60000000E-03   6.73610170E+08   4.08997851E+09   4.08997851E+09   3.51163655E+08   4.73580210E+08   4.73580210E+08
   5.80000000E-03   6.96337924E+08   4.37984020E+09   4.37984020E+09   3.66093521E+08   4.84748496E+08   4.84748496E+08
   6.00000000E-03   7.18298000E+08   4.66700282E+09   4.66700282E+09   3.80386419E+08   4.95250100E+08   4.95250100E+08
   6.20000000E-03   7.39432397E+08   4.94991952E+09   4.94991952E+09   3.93975477E+08   5.05079181E+08   5.05079181E+08
   6.40000000E-03   7.59688331E+08   5.22714486E+09   5.22714486E+09   4.06802161E+08   5.14232346E+08   5.14232346E+08
   6.60000000E-03   7.79018497E+08   5.49734243E+09   5.49734243E+09   4.18816414E+08   5.22708605E+08   5.22708605E+08
   6.80000000E-03   7.97381233E+08   5.75929018E+09   5.75929018E+09   4.29976646E+08   5.30509317E+08   5.30509317E+08
   7.00000000E-03   8.14740598E+08   6.01188354E+09   6.01188354E+09   4.40249606E+08   5.37638105E+08   5.37638105E+08
   7.20000000E-03   8.31066378E+08   6.25413671E+09   6.25413671E+09   4.49610148E+08   5.44100753E+08   5.44100753E+08
   7.40000000E-03   8.46334012E+08   6.48518229E+09   6.48518229E+09   4.58040906E+08   5.49905092E+08   5.49905092E+08
   7.60000000E-03   8.60524472E+08   6.70426963E+09   6.70426963E+09   4.65531904E+08   5.55060870E+08   5.55060870E+08
   7.80000000E-03   8.73624087E+08   6.91076190E+09   6.91076190E+09   4.72080103E+08   5.59579610E+08   5.59579610E+08
   8.00000000E-03   8.85624329E+08   7.10413234E+09   7.10413234E+09   4.77688911E+08   5.63474459E+08   5.63474459E+08
   8.20000000E-03   8.96521564E+08   7.28395970E+09   7.28395970E+09   4.82367664E+08   5.66760041E+08   5.66760041E+08
   8.40000000E-03   9.06316784E+08   7.44992303E+09   7.44992303E+09   4.86131084E+08   5.69452290E+08   5.69452290E+08
   8.60000000E-03   9.15015316E+08   7.60179618E+09   7.60179618E+09   4.88998731E+08   5.71568304E+08   5.71568304E+08
   8.80000000E-03   9.22626517E+08   7.73944183E+09   7.73944183E+09   4.90994461E+08   5.73126182E+08   5.73126182E+08
   9.00000000E-03   9.29163467E+08   7.86280542E+09   7.86280542E+09   4.92145880E+08   5.74144871E+08   5.74144871E+08
   9.20000000E-03   9.34642658E+08   7.97190894E+09   7.97190894E+09   4.92483825E+08   5.74644025E+08   5.74644025E+08
   9.40000000E-03   9.39083676E+08   8.06684471E+09   8.06684471E+09   4.92041854E+08   5.74643855E+08   5.74643855E+08
   9.60000000E-03   9.42508901E+08   8.14776924E+09   8.14776924E+09   4.90855767E+08   5.74164999E+08   5.74164999E+08
   9.80000000E-03   9.44943204E+08   8.21489714E+09   8.21489714E+09   4.88963143E+08   5.73228394E+08   5.73228394E+08
   1.00000000E-02   9.46413652E+08   8.26849523E+09   8.26849523E+09   4.86402918E+08   5.71855156E+08   5.71855156E+08
   1.02000000E-02   9.46949232E+08   8.30887685E+09   8.30887685E+09   4.83214987E+08   5.70066467E+08   5.70066467E+08
   1.04000000E-02   9.46580581E+08   8.33639634E+09   8.33639634E+09   4.79439831E+08   5.67883477E+08   5.67883477E+08
   1.06000000E-02   9.45339726E+08   8.35144386E+09   8.35144386E+09   4.75118191E+08   5.65327212E+08   5.65327212E+08
   1.08000000E-02   9.43259850E+08   8.35444037E+09   8.35444037E+09   4.70290757E+08   5.62418484E+08   5.62418484E+08
   1.10000000E-02   9.40375057E+08   8.34583295E+09   8.34583295E+09   4.64997901E+08   5.59177822E+08   5.59177822E+08
   1.12000000E-02   9.36720162E+08   8.32609038E+09   8.32609038E+09   4.59279433E+08   5.55625401E+08   5.55625401E+08
   1.14000000E-02   9.32330491E+08   8.29569899E+09   8.29569899E+09   4.53174387E+08   5.51780987E+08   5.51780987E+08
   1.16000000E-02   9.27241697E+08   8.25515881E+09   8.25515881E+09   4.46720839E+08   5.47663881E+08   5.47663881E+08
   1.18000000E-02   9.21489589E+08   8.20498004E+09   8.20498004E+09   4.39955747E+08   5.43292881E+08   5.43292881E+08
   1.20000000E-02   9.15109977E+08   8.14567965E+09   8.14567965E+09   4.32914821E+08   5.38686243E+08   5.38686243E+08
   1.22000000E-02   9.08138527E+08   8.07777844E+09   8.07777844E+09   4.25632407E+08   5.33861650E+08   5.33861650E+08
   1.24000000E-02   9.00610632E+08   8.00179822E+09   8.00179822E+09   4.18141407E+08   5.28836191E+08   5.28836191E+08
   1.26000000E-02   8.92561293E+08   7.91825928E+09   7.91825928E+09   4.10473204E+08   5.23626339E+08   5.23626339E+08
   1.28000000E-02   8.84025015E+08   7.82767811E+09   7.82767811E+09   4.02657618E+08   5.18247941E+08   5.18247941E+08
   1.30000000E-02   8.75035710E+08   7.73056535E+09   7.73056535E+09   3.94722869E+08   5.12716209E+08   5.12716209E+08
   1.32000000E-02   8.65626617E+08   7.62742394E+09   7.62742394E+09   3.86695560E+08   5.07045715E+08   5.07045715E+08
   1.34000000E-02   8.55830226E+08   7.51874747E+09   7.51874747E+09   3.78600671E+08   5.01250389E+08   5.01250389E+08
   1.36000000E-02   8.45678211E+08   7.40501874E+09   7.40501874E+09   3.70461572E+08   4.95343525E+08   4.95343525E+08
   1.38000000E-02   8.35201384E+08   7.28670854E+09   7.28670854E+09   3.62300032E+08   4.89337786E+08   4.89337786E+08
   1.40000000E-02   8.24429637E+08   7.16427451E+09   7.16427451E+09   3.54136251E+08   4.83245212E+08   4.83245212E+08
