# TBinMid=-0.055 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   3.86221197E-16   8.50311735E-15   8.50311735E-15   2.93888855E-31   7.73951077E-31   7.73951077E-31
   2.00000000E-04   4.32883555E+05   9.53016095E+06   9.53016095E+06   4.34021446E+00   1.13451845E+01   1.13451845E+01
   4.00000000E-04   1.84468246E+06   4.06104370E+07   4.06104370E+07   3.80927091E+01   9.75786948E+01   9.75786948E+01
   6.00000000E-04   4.01397532E+06   8.83646083E+07   8.83646083E+07   1.26430978E+02   3.14339097E+02   3.14339097E+02
   8.00000000E-04   6.63163611E+06   1.45986546E+08   1.45986546E+08   2.82693075E+02   6.77618505E+02   6.77618505E+02
   1.00000000E-03   9.42094723E+06   2.07384415E+08   2.07384415E+08   5.09422261E+02   1.17234264E+03   1.17234264E+03
   1.20000000E-03   1.21640153E+07   2.67761915E+08   2.67761915E+08   8.00562721E+02   1.76495631E+03   1.76495631E+03
   1.40000000E-03   1.47034080E+07   3.23654045E+08   3.23654045E+08   1.14370395E+03   2.41400621E+03   2.41400621E+03
   1.60000000E-03   1.69352046E+07   3.72773912E+08   3.72773912E+08   1.52228999E+03   3.07767767E+03   3.07767767E+03
   1.80000000E-03   1.87994268E+07   4.13801925E+08   4.13801925E+08   1.91772328E+03   3.71854406E+03   3.71854406E+03
   2.00000000E-03   2.02703512E+07   4.46172471E+08   4.46172471E+08   2.31124278E+03   4.30612286E+03   4.30612286E+03
   2.20000000E-03   2.13477587E+07   4.69881236E+08   4.69881236E+08   2.68546075E+03   4.81784841E+03   4.81784841E+03
   2.40000000E-03   2.20495012E+07   4.85321556E+08   4.85321556E+08   3.02548711E+03   5.23898304E+03   5.23898304E+03
   2.60000000E-03   2.24054430E+07   4.93151065E+08   4.93151065E+08   3.31962634E+03   5.56187621E+03   5.56187621E+03
   2.80000000E-03   2.24526855E+07   4.94186588E+08   4.94186588E+08   3.55967983E+03   5.78487548E+03   5.78487548E+03
   3.00000000E-03   2.22319152E+07   4.89323770E+08   4.89323770E+08   3.74091896E+03   5.91110345E+03   5.91110345E+03
   3.20000000E-03   2.17846992E+07   4.79477564E+08   4.79477564E+08   3.86180969E+03   5.94724377E+03   5.94724377E+03
   3.40000000E-03   2.11515550E+07   4.65539773E+08   4.65539773E+08   3.92357141E+03   5.90242488E+03   5.90242488E+03
   3.60000000E-03   2.03706403E+07   4.48350210E+08   4.48350210E+08   3.92964543E+03   5.78725025E+03   5.78725025E+03
   3.80000000E-03   1.94769243E+07   4.28678491E+08   4.28678491E+08   3.88513523E+03   5.61299565E+03   5.61299565E+03
   4.00000000E-03   1.85017293E+07   4.07213940E+08   4.07213940E+08   3.79626587E+03   5.39097474E+03   5.39097474E+03
   4.20000000E-03   1.74725452E+07   3.84561525E+08   3.84561525E+08   3.66989509E+03   5.13206244E+03   5.13206244E+03
   4.40000000E-03   1.64130429E+07   3.61242160E+08   3.61242160E+08   3.51309552E+03   4.84635825E+03   4.84635825E+03
   4.60000000E-03   1.53432255E+07   3.37696030E+08   3.37696030E+08   3.33281667E+03   4.54296880E+03   4.54296880E+03
   4.80000000E-03   1.42796698E+07   3.14287917E+08   3.14287917E+08   3.13562738E+03   4.22988779E+03   4.22988779E+03
   5.00000000E-03   1.32358228E+07   2.91313723E+08   2.91313723E+08   2.92753360E+03   3.91395282E+03   3.91395282E+03
   5.20000000E-03   1.22223253E+07   2.69007594E+08   2.69007594E+08   2.71386295E+03   3.60086024E+03   3.60086024E+03
   5.40000000E-03   1.12473436E+07   2.47549224E+08   2.47549224E+08   2.49920550E+03   3.29522176E+03   3.29522176E+03
   5.60000000E-03   1.03168948E+07   2.27071013E+08   2.27071013E+08   2.28739987E+03   3.00064903E+03   3.00064903E+03
   5.80000000E-03   9.43515610E+06   2.07664876E+08   2.07664876E+08   2.08155392E+03   2.71985520E+03   2.71985520E+03
   6.00000000E-03   8.60475265E+06   1.89388566E+08   1.89388566E+08   1.88409040E+03   2.45476457E+03   2.45476457E+03
   6.20000000E-03   7.82701905E+06   1.72271445E+08   1.72271445E+08   1.69680915E+03   2.20662378E+03   2.20662378E+03
   6.40000000E-03   7.10223449E+06   1.56319650E+08   1.56319650E+08   1.52095882E+03   1.97610965E+03   1.97610965E+03
   6.60000000E-03   6.42983043E+06   1.41520663E+08   1.41520663E+08   1.35731256E+03   1.76343037E+03   1.76343037E+03
   6.80000000E-03   5.80857179E+06   1.27847299E+08   1.27847299E+08   1.20624350E+03   1.56841798E+03   1.56841798E+03
   7.00000000E-03   5.23671332E+06   1.15261148E+08   1.15261148E+08   1.06779684E+03   1.39061085E+03   1.39061085E+03
   7.20000000E-03   4.71213272E+06   1.03715500E+08   1.03715500E+08   9.41756456E+02   1.22932595E+03   1.22932595E+03
   7.40000000E-03   4.23244285E+06   9.31578224E+07   9.31578224E+07   8.27704901E+02   1.08372074E+03   1.08372074E+03
   7.60000000E-03   3.79508507E+06   8.35318046E+07   8.35318046E+07   7.25075988E+02   9.52845411E+02   9.52845411E+02
   7.80000000E-03   3.39740586E+06   7.47790506E+07   7.47790506E+07   6.33199939E+02   8.35686090E+02   8.35686090E+02
   8.00000000E-03   3.03671893E+06   6.68404418E+07   6.68404418E+07   5.51341278E+02   7.31199813E+02   7.31199813E+02
   8.20000000E-03   2.71035454E+06   5.96572248E+07   5.96572248E+07   4.78729943E+02   6.38342325E+02   6.38342325E+02
   8.40000000E-03   2.41569811E+06   5.31718595E+07   5.31718595E+07   4.14586211E+02   5.56089553E+02   5.56089553E+02
   8.60000000E-03   2.15021951E+06   4.73286642E+07   4.73286642E+07   3.58140162E+02   4.83453705E+02   4.83453705E+02
   8.80000000E-03   1.91149466E+06   4.20742908E+07   4.20742908E+07   3.08646365E+02   4.19494830E+02   4.19494830E+02
   9.00000000E-03   1.69722065E+06   3.73580580E+07   3.73580580E+07   2.65394533E+02   3.63328631E+02   3.63328631E+02
   9.20000000E-03   1.50522560E+06   3.31321675E+07   3.31321675E+07   2.27716787E+02   3.14131222E+02   3.14131222E+02
   9.40000000E-03   1.33347416E+06   2.93518257E+07   2.93518257E+07   1.94992157E+02   2.71141436E+02   2.71141436E+02
   9.60000000E-03   1.18006959E+06   2.59752886E+07   2.59752886E+07   1.66648875E+02   2.33661237E+02   2.33661237E+02
   9.80000000E-03   1.04325305E+06   2.29638479E+07   2.29638479E+07   1.42164927E+02   2.01054654E+02   2.01054654E+02
   1.00000000E-02   9.21400857E+05   2.02817689E+07   2.02817689E+07   1.21067291E+02   1.72745651E+02   1.72745651E+02
   1.02000000E-02   8.13020094E+05   1.78961946E+07   1.78961946E+07   1.02930199E+02   1.48215216E+02   1.48215216E+02
   1.04000000E-02   7.16743062E+05   1.57770240E+07   1.57770240E+07   8.73727130E+01   1.26997948E+02   1.26997948E+02
   1.06000000E-02   6.31320940E+05   1.38967719E+07   1.38967719E+07   7.40558612E+01   1.08678331E+02   1.08678331E+02
   1.08000000E-02   5.55616917E+05   1.22304184E+07   1.22304184E+07   6.26795032E+01   9.28868623E+01   9.28868623E+01
   1.10000000E-02   4.88599042E+05   1.07552511E+07   1.07552511E+07   5.29790839E+01   7.92961615E+01   7.92961615E+01
   1.12000000E-02   4.29332970E+05   9.45070577E+06   9.45070577E+06   4.47223835E+01   6.76171488E+01   6.76171488E+01
   1.14000000E-02   3.76974761E+05   8.29820772E+06   8.29820772E+06   3.77063457E+01   5.75953645E+01   5.75953645E+01
   1.16000000E-02   3.30763835E+05   7.28101685E+06   7.28101685E+06   3.17540442E+01   4.90074757E+01   4.90074757E+01
   1.18000000E-02   2.90016158E+05   6.38407776E+06   6.38407776E+06   2.67118266E+01   4.16580016E+01   4.16580016E+01
   1.20000000E-02   2.54117741E+05   5.59387656E+06   5.59387656E+06   2.24466608E+01   3.53762743E+01   3.53762743E+01
   1.22000000E-02   2.22518473E+05   4.89830525E+06   4.89830525E+06   1.88436952E+01   3.00136444E+01   3.00136444E+01
   1.24000000E-02   1.94726319E+05   4.28653401E+06   4.28653401E+06   1.58040384E+01   2.54409294E+01   2.54409294E+01
   1.26000000E-02   1.70301903E+05   3.74889197E+06   3.74889197E+06   1.32427524E+01   2.15461009E+01   2.15461009E+01
   1.28000000E-02   1.48853468E+05   3.27675635E+06   3.27675635E+06   1.10870541E+01   1.82321991E+01   1.82321991E+01
   1.30000000E-02   1.30032222E+05   2.86244999E+06   2.86244999E+06   9.27471215E+00   1.54154634E+01   1.54154634E+01
   1.32000000E-02   1.13528051E+05   2.49914696E+06   2.49914696E+06   7.75262625E+00   1.30236637E+01   1.30236637E+01
   1.34000000E-02   9.90655831E+04   2.18078607E+06   2.18078607E+06   6.47557493E+00   1.09946177E+01   1.09946177E+01
   1.36000000E-02   8.64006023E+04   1.90199183E+06   1.90199183E+06   5.40511633E+00   9.27487840E+00   9.27487840E+00
   1.38000000E-02   7.53167754E+04   1.65800245E+06   1.65800245E+06   4.50862768E+00   7.81857653E+00   7.81857653E+00
   1.40000000E-02   6.56226834E+04   1.44460453E+06   1.44460453E+06   3.75846902E+00   6.58640285E+00   6.58640285E+00
   1.42000000E-02   5.71491325E+04   1.25807382E+06   1.25807382E+06   3.13125770E+00   5.54471613E+00   5.54471613E+00
   1.44000000E-02   4.97467261E+04   1.09512186E+06   1.09512186E+06   2.60724095E+00   4.66476353E+00   4.66476353E+00
   1.46000000E-02   4.32836770E+04   9.52847745E+05   9.52847745E+05   2.16975495E+00   3.92200092E+00   3.92200092E+00
   1.48000000E-02   3.76438400E+04   8.28694899E+05   8.28694899E+05   1.80475971E+00   3.29550181E+00   3.29550181E+00
   1.50000000E-02   3.27249469E+04   7.20412174E+05   7.20412174E+05   1.50044017E+00   2.76744453E+00   2.76744453E+00
   1.52000000E-02   2.84370256E+04   6.26019082E+05   6.26019082E+05   1.24686495E+00   2.32266808E+00   2.32266808E+00
   1.54000000E-02   2.47009871E+04   5.43774686E+05   5.43774686E+05   1.03569500E+00   1.94828850E+00   1.94828850E+00
   1.56000000E-02   2.14473639E+04   4.72149830E+05   4.72149830E+05   8.59935376E-01   1.63336778E+00   1.63336778E+00
   1.58000000E-02   1.86151862E+04   4.09802407E+05   4.09802407E+05   7.13724266E-01   1.36862898E+00   1.36862898E+00
   1.60000000E-02   1.61509811E+04   3.55555334E+05   3.55555334E+05   5.92153852E-01   1.14621123E+00   1.14621123E+00
   1.62000000E-02   1.40078843E+04   3.08376997E+05   3.08376997E+05   4.91118577E-01   9.59459510E-01   9.59459510E-01
   1.64000000E-02   1.21448515E+04   2.67363882E+05   2.67363882E+05   4.07186782E-01   8.02744521E-01   8.02744521E-01
   1.66000000E-02   1.05259585E+04   2.31725194E+05   2.31725194E+05   3.37492280E-01   6.71308519E-01   6.71308519E-01
   1.68000000E-02   9.11978309E+03   2.00769228E+05   2.00769228E+05   2.79642904E-01   5.61133579E-01   5.61133579E-01
   1.70000000E-02   7.89885744E+03   1.73891328E+05   1.73891328E+05   2.31643476E-01   4.68829166E-01   4.68829166E-01
   1.72000000E-02   6.83918464E+03   1.50563241E+05   1.50563241E+05   1.91830994E-01   3.91536287E-01   3.91536287E-01
   1.74000000E-02   5.91981216E+03   1.30323730E+05   1.30323730E+05   1.58820172E-01   3.26845892E-01   3.26845892E-01
   1.76000000E-02   5.12245577E+03   1.12770293E+05   1.12770293E+05   1.31457725E-01   2.72729465E-01   2.72729465E-01
   1.78000000E-02   4.43116823E+03   9.75518755E+04   9.75518755E+04   1.08784036E-01   2.27480062E-01   2.27480062E-01
   1.80000000E-02   3.83204792E+03   8.43624490E+04   8.43624490E+04   9.00010409E-02   1.89662264E-01   1.89662264E-01
   1.82000000E-02   3.31298244E+03   7.29353745E+04   7.29353745E+04   7.44453532E-02   1.58069746E-01   1.58069746E-01
   1.84000000E-02   2.86342357E+03   6.30384444E+04   6.30384444E+04   6.15657878E-02   1.31689327E-01   1.31689327E-01
   1.86000000E-02   2.47418957E+03   5.44695325E+04   5.44695325E+04   5.09045811E-02   1.09670552E-01   1.09670552E-01
   1.88000000E-02   2.13729189E+03   4.70527784E+04   4.70527784E+04   4.20817117E-02   9.12999648E-02   9.12999648E-02
