channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                 15.9244                0.218952                 88.0282               68.100786
0.005724                 20.7954                0.366003                 143.129               64.704348
0.006221                 26.5397                0.572054                212.1783               61.459938
0.006719                 33.1777                0.839161                286.9401                58.35483
0.007216                 40.7085                 1.16188                354.6698               55.380204
0.007714                 49.1113                 1.52916                401.8363               52.531146
0.008211                 58.3473                 1.92827                419.1138               49.803786
0.008709                 68.3597                  2.3486                405.0925                47.19501
0.009206                 79.0733                 2.78377                366.6546               44.701128
0.009704                  90.396                 3.23132                315.8791               42.318702
0.010200                 102.221                 3.69112                265.2526               40.043808
0.010700                 114.429                 4.16356                223.6305               37.873584
0.011200                 126.896                  4.6484                 194.531               35.804394
0.011690                 139.493                 5.14447                 176.827                33.83298
0.012190                 152.093                 5.64975                166.7899               31.956102
0.012690                 164.574                 6.16161                160.2251               30.170592
0.013190                 176.817                   6.677                153.8971               28.473246
0.013680                 188.715                 7.19261                146.0617               26.860842
0.014180                 200.167                 7.70498                 136.346              25.3303002
0.014680                 211.084                 8.21053                125.3053               23.878431
0.015180                 221.389                 8.70576                113.9302              22.5021132
0.015670                 231.019                 9.18729                103.2504              21.1982778
0.016170                 239.922                 9.65199                 94.0754              19.9638702
0.016670                 248.064                 10.0971                  86.874              18.7958664
0.017170                 255.422                 10.5201                 81.7625                 17.6913
0.017660                 261.984                 10.9191                 78.5605              16.6472874
0.018160                 267.751                 11.2924                 76.8865              15.6609648
0.018660                 272.732                 11.6387                 76.2593               14.729571
0.019160                 276.942                  11.957                 76.1832               13.850388
0.019650                 280.402                 12.2468                 76.2112              13.0208094
0.020150                 283.138                 12.5075                 75.9816              12.2383098
0.020650                 285.179                 12.7391                 75.2341               11.500452
0.021150                 286.555                 12.9416                 73.8101              10.8049086
0.021640                 287.299                 13.1152                 71.6423              10.1494404
0.022140                 287.446                 13.2605                68.74072               9.5319018
0.022640                  287.03                 13.3778                65.17454               8.9502534
0.023140                 286.089                  13.468                61.05602                8.402571
0.023630                 284.656                 13.5319                56.52369               7.8870078
0.024130                 282.769                 13.5704                51.72856               7.4017998
0.024630                 280.463                 13.5843                46.82053               6.9453072
0.025130                 277.771                 13.5749                41.93905               6.5159298
0.025620                 274.728                  13.543                37.20596               6.1121952
0.026120                 271.366                 13.4899                32.71918               5.7326436
0.026620                 267.715                 13.4167                28.55204                5.375961
0.027120                 263.805                 13.3244                24.75261               5.0408316
0.027610                 259.662                 13.2142                21.34566               4.7260458
0.028110                 255.315                 13.0872                18.33572               4.4304426
0.028610                 250.786                 12.9445                15.71094               4.1529042
0.029110                 246.099                 12.7873                13.44747                3.892419
0.029600                 241.277                 12.6167                11.51324               3.6479538
0.030100                 236.338                 12.4336                 9.87178               3.4186032
0.030600                 231.302                 12.2393                 8.48519               3.2034456
0.031100                 226.188                 12.0346                 7.31654               3.0016368
0.031590                 221.011                 11.8207                6.331406               2.8123884
0.032090                 215.787                 11.5985                5.498975               2.6349372
0.032590                 210.532                 11.3691                4.792448              2.46856662
0.033090                 205.258                 11.1333                4.189173              2.31260634
0.033580                 199.979                 10.8921                3.670418              2.16641664
0.034080                 194.708                 10.6464                3.220988              2.02939542
0.034580                 189.454                  10.397                2.828737              1.90098414
0.035080                 184.229                 10.1447                2.484093              1.78064784
0.035570                 179.042                  9.8904                2.179551              1.66788522
0.036070                 173.902                 9.63473                1.909265               1.5622254
0.036570                 168.817                 9.37841                1.668659              1.46322846
0.037070                 163.795                 9.12208                1.454132               1.3704777
0.037560                 158.841                 8.86637                1.262803              1.28358198
0.038060                 153.962                 8.61182                1.092322              1.20217698
0.038560                 149.164                 8.35896                0.940725               1.1259189
0.039060                 144.449                 8.10825                0.806319              1.05448266
0.039550                 139.823                 7.86012               0.6875996               0.9875664
0.040050                 135.289                 7.61497               0.5832072              0.92488626
0.040550                 130.849                 7.37314               0.4917216              0.86617638
0.041050                 126.506                 7.13494               0.4123036              0.81118566
0.041540                 122.261                 6.90064               0.3436368               0.7596828
0.042040                 118.116                 6.67049               0.2846098              0.71144532
0.042540                 114.071                 6.44468               0.2342113              0.66626748
0.043040                 110.127                 6.22341               0.1914786               0.6239574
0.043530                 106.284                 6.00681               0.1555031              0.58433418
0.044030                 102.543                 5.79502               0.1254366               0.5472288
0.044530                 98.9026                 5.58812               0.1004937              0.51248034
0.045030                 95.3624                 5.38621               0.0799564              0.47994084
0.045520                 91.9217                 5.18934               0.0631748              0.44946918
0.046020                 88.5795                 4.99755              0.04956614              0.42093756
0.046520                 85.3348                 4.81087              0.03861543               0.3942198
0.047020                 82.1862                 4.62929              0.02987135              0.36920466
0.047510                 79.1324                 4.45283              0.02294327              0.34577946
0.048010                  76.172                 4.28145              0.01747546              0.32384772
0.048510                 73.3034                 4.11514              0.01323278              0.30331026
0.049010                 70.5249                 3.95385              0.00994992              0.28408266
0.049500                 67.8349                 3.79754              0.00742741              0.26607888
0.050000                 65.2316                 3.64614             0.005504364             0.249221646
0.050500                 62.7133                  3.4996             0.004049724             0.233438004
0.051000                 60.2782                 3.35784             0.002957972             0.218659428
0.051490                 57.9244                 3.22079             0.002144929             0.204821982
0.051990                   55.65                 3.08837             0.001544125              0.19186551
0.052490                 53.4533                 2.96048             0.001103574             0.179733708
0.052990                 51.3322                 2.83705             0.000783015              0.16837407
0.053480                  49.285                 2.71798            0.0005515552              0.15773706
0.053980                 47.3097                 2.60317            0.0003857073              0.14777667
0.054480                 45.4046                 2.49253            0.0002677794             0.138449664
0.054980                 43.5676                 2.38595            0.0001845637             0.129715578
0.055470                  41.797                 2.28333            0.0001262891             0.121536216
0.055970                 40.0908                 2.18458             8.57898e-05              0.11387664
0.056470                 38.4474                 2.08958            5.785692e-05             0.106703262
0.056970                 36.8647                 1.99824            3.873684e-05             0.099984996
0.057460                 35.3412                 1.91045            2.574799e-05             0.093693042
0.057960                 33.8749                  1.8261            1.699077e-05             0.087800112
0.058460                 32.4641                  1.7451            4.738253e-06             0.082280484
0.058960                 31.1071                 1.66733                       0              0.07711065
0.059450                 29.8022                  1.5927                       0             0.072268272
0.059950                 28.5477                 1.52111                       0             0.067732164
0.060450                  27.342                 1.45245                       0              0.06348312
0.060950                 26.1835                 1.38664                       0              0.05950278
0.061440                 25.0706                 1.32356                       0             0.055774008
0.061940                 24.0018                 1.26313                       0             0.052280676
0.062440                 22.9755                 1.20525                       0             0.049008078
0.062940                 21.9902                 1.14983                       0             0.045941904
0.063430                 21.0446                 1.09678                       0             0.043069176
0.063930                 20.1372                 1.04602                       0             0.040377546
0.064430                 19.2667                0.997458                       0             0.037855548
0.064930                 18.4317                 0.95101                       0             0.035492364
0.065420                 17.6309                0.906596                       0             0.033277986
0.065920                 16.8631                0.864137                       0             0.031202838
0.066420                  16.127                0.823557                       0             0.029258316
0.066920                 15.4215                0.784781                       0              0.02743587
0.067410                 14.7455                0.747738                       0             0.025728021
0.067910                 14.0977                0.712357                       0            0.0241273674
0.068410                 13.4771                 0.67857                       0            0.0226271646
0.068910                 12.8826                0.646314                       0            0.0212210478
0.069400                 12.3134                0.615522                       0            0.0199030842
0.069900                 11.7683                0.586136                       0            0.0186676884
0.070400                 11.2464                0.558096                       0            0.0175096278
0.070900                 10.7468                0.531344                       0            0.0164240406
0.071390                 10.2686                0.505826                       0             0.015406353
0.071890                 9.81101                0.481488                       0            0.0144522576
0.072390                 9.37314                0.458281                       0            0.0135577494
0.072890                 8.95421                0.436154                       0            0.0127190898
0.073380                 8.55345                 0.41506                       0              0.01193274
0.073880                 8.17012                0.394955                       0             0.011195433
0.074380                  7.8035                0.375793                       0             0.010504035
0.074880                 7.45291                0.357534                       0            0.0098557128
0.075370                 7.11769                0.340137                       0            0.0092477124
0.075870                 6.79719                0.323563                       0            0.0086775282
0.076370                 6.49079                0.307775                       0            0.0081427662
0.076870                 6.19792                0.292737                       0            0.0076412232
0.077360                 5.91798                0.278415                       0             0.007170795
0.077860                 5.65046                0.264777                       0            0.0067295448
0.078360                 5.39479                 0.25179                       0            0.0063156438
0.078860                  5.1505                0.239426                       0             0.005927382
0.079350                 4.91708                0.227654                       0            0.0055631484
