channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0             0.001333426
0.001246                       0                       0                       0             0.007283931
0.001744                       0                       0                       0              0.02124645
0.002241                       0                       0                       0              0.04564662
0.002739                       0                       0                       0              0.08192877
0.003236                0.144275                       0                       0              0.13048106
0.003734                0.401678                       0                       0                0.190956
0.004231                0.753652                       0                       0               0.2623189
0.004729                 1.33692                       0                       0               0.3430776
0.005226                 2.07359                       0                       0               0.4315305
0.005724                 3.03725                       0                       0               0.5256319
0.006221                  4.2607                       0                       0               0.6235929
0.006719                 5.77482                       0                       0               0.7232409
0.007216                 7.66694                       0                       0               0.8230672
0.007714                 10.0265                       0                       0               0.9210309
0.008211                 12.9047                       0               -0.467666                1.016084
0.008709                 16.3106                       0              -0.2206104               1.1064598
0.009206                 20.2554                       0               0.1503701               1.1916139
0.009704                 24.7287                       0                0.650217               1.2701154
0.010200                 29.7279                       0                1.280155                1.341878
0.010700                  35.259                       0                2.037482               1.4058171
0.011200                 41.4398                       0                2.917488                1.462198
0.011690                 48.3588                       0                  3.9111                1.510328
0.012190                 56.1149                       0                5.009455                1.550645
0.012690                  64.658                       0                  6.1992                1.582835
0.013190                 73.8231                       0                 7.46798                1.607429
0.013680                 83.4109                       0                 8.80067                1.624412
0.014180                 93.2475                       0                10.18345                1.634349
0.014680                 103.146                       0                11.60038                1.637454
0.015180                 112.953                       0                13.03786                1.634287
0.015670                  122.51                       0                14.49326                1.625211
0.016170                 131.709                0.477651                15.98035                 1.61076
0.016670                 140.486                 0.59599                17.50983                1.591383
0.017170                 148.795                0.754133                19.08815                1.567578
0.017660                 156.595                0.904976                20.71651                1.539824
0.018160                 163.851                 1.05344                22.39349                1.508575
0.018660                 170.541                 1.22886                24.11626                1.474299
0.019160                 176.639                  1.4361                25.87545                1.437412
0.019650                 182.135                  1.6294                27.66298                1.398343
0.020150                 187.019                  1.8133                29.46867               1.3574629
0.020650                 191.271                 2.02346                31.27918               1.3151448
0.021150                 194.884                 2.25071                33.08544               1.2717267
0.021640                 197.852                 2.47592                34.87539               1.2275106
0.022140                 200.183                 2.69761                 36.6398               1.1828016
0.022640                 201.879                 2.91991                38.36274               1.1378274
0.023140                 202.965                 3.15172                 40.0356               1.0928728
0.023630                  203.45                 3.38942                41.64471                1.048086
0.024130                 203.371                 3.61144                43.18263               1.0037309
0.024630                  202.74                  3.8134                44.63493               0.9598839
0.025130                 201.614                 4.02084                45.99719               0.9167973
0.025620                 200.013                 4.24604                47.25416               0.8744754
0.026120                 198.009                 4.46572                48.41228               0.8331622
0.026620                 195.605                 4.65175                49.44978               0.7928041
0.027120                 192.876                 4.80937                50.37732               0.7536296
0.027610                 189.819                 4.96032                51.17688               0.7155368
0.028110                 186.511                 5.11581                51.86316               0.6787472
0.028610                 182.936                  5.2545                52.41622               0.6431163
0.029110                 179.175                 5.35971                52.85383               0.6088574
0.029600                 175.208                 5.43209                53.16228               0.5757917
0.030100                 171.112                 5.49538                53.35892                0.544128
0.030600                 166.857                  5.5639                 53.4259               0.5136621
0.031100                 162.526                 5.63651                53.38624               0.4845885
0.031590                 158.081                 5.69314                 53.2211               0.4567013
0.032090                 153.598                 5.72304                52.95382               0.4301586
0.032590                 149.045                 5.72427                52.57027               0.4047793
0.033090                 144.487                 5.70661                52.09377               0.3806781
0.033580                 139.895                 5.67428                51.51175               0.3576991
0.034080                 135.327                 5.63368                50.84947                0.335924
0.034580                 130.758                 5.58508                 50.0966               0.3152169
0.035080                 126.233                 5.53154                49.27286               0.2956318
0.035570                 121.734                 5.47186                48.37337                0.277053
0.036070                   117.3                 5.40557                47.42041               0.2595105
0.036570                 112.913                 5.32857                46.40766               0.2429079
0.037070                 108.605                 5.24144                45.35509                0.227255
0.037560                 104.363                 5.14292                 44.2594               0.2124734
0.038060                  100.21                 5.03456                43.13503               0.1985568
0.038560                 96.1403                 4.91635                41.98178               0.1854415
0.039060                  92.169                 4.79044                40.81134              0.17310894
0.039550                  88.291                 4.65876                39.62291              0.16150905
0.040050                 84.5179                 4.52431                38.46738              0.15061411
0.040550                 80.8477                 4.38846                37.33915              0.14038525
0.041050                 77.2821                 4.25191                36.10946              0.13078781
0.041540                 73.8272                 4.11505                34.88318              0.12179307
0.042040                 70.4783                 3.97733                33.66082              0.11336171
0.042540                 67.2414                 3.83944                32.44835              0.10547284
0.043040                  64.109                 3.70214                31.24536              0.09808447
0.043530                 61.0903                 3.56725                30.05961              0.09118248
0.044030                 58.1749                 3.43508                28.88887              0.08472365
0.044530                 55.3721                 3.30655                27.74056              0.07869906
0.045030                  52.668                 3.17937                26.61015              0.07306552
0.045520                 50.0743                 3.05272                25.50661              0.06781844
0.046020                 47.5747                 2.92452                24.42401              0.06291498
0.046520                 45.1818                 2.79533                23.37162               0.0583545
0.047020                 42.8777                 2.66548                22.34212              0.05409533
