channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0             0.024001668
0.001246                       0                       0                       0             0.131110758
0.001744                       0                       0                       0               0.3824361
0.002241                       0                       0                       0              0.82163916
0.002739                       0                       0                       0              1.47471786
0.003236                0.144275                       0                       0              2.34865908
0.003734                0.401678                       0                       0                3.437208
0.004231                0.753652                       0                       0               4.7217402
0.004729                 1.33692                       0                       0               6.1753968
0.005226                 2.07359                       0                       0                7.767549
0.005724                 3.03725                       0                       0               9.4613742
0.006221                  4.2607                       0                       0              11.2246722
0.006719                 5.77482                       0                       0              13.0183362
0.007216                 7.66694                       0                       0              14.8152096
0.007714                 10.0265                       0                       0              16.5785562
0.008211                 12.9047                       0               -0.467666               18.289512
0.008709                 16.3106                       0              -0.2206104              19.9162764
0.009206                 20.2554                       0               0.1503701              21.4490502
0.009704                 24.7287                       0                0.650217              22.8620772
0.010200                 29.7279                       0                1.280155               24.153804
0.010700                  35.259                       0                2.037482              25.3047078
0.011200                 41.4398                       0                2.917488               26.319564
0.011690                 48.3588                       0                  3.9111               27.185904
0.012190                 56.1149                       0                5.009455                27.91161
0.012690                  64.658                       0                  6.1992                28.49103
0.013190                 73.8231                       0                 7.46798               28.933722
0.013680                 83.4109                       0                 8.80067               29.239416
0.014180                 93.2475                       0                10.18345               29.418282
0.014680                 103.146                       0                11.60038               29.474172
0.015180                 112.953                       0                13.03786               29.417166
0.015670                  122.51                       0                14.49326               29.253798
0.016170                 131.709                0.477651                15.98035                28.99368
0.016670                 140.486                 0.59599                17.50983               28.644894
0.017170                 148.795                0.754133                19.08815               28.216404
0.017660                 156.595                0.904976                20.71651               27.716832
0.018160                 163.851                 1.05344                22.39349                27.15435
0.018660                 170.541                 1.22886                24.11626               26.537382
0.019160                 176.639                  1.4361                25.87545               25.873416
0.019650                 182.135                  1.6294                27.66298               25.170174
0.020150                 187.019                  1.8133                29.46867              24.4343322
0.020650                 191.271                 2.02346                31.27918              23.6726064
0.021150                 194.884                 2.25071                33.08544              22.8910806
0.021640                 197.852                 2.47592                34.87539              22.0951908
0.022140                 200.183                 2.69761                 36.6398              21.2904288
0.022640                 201.879                 2.91991                38.36274              20.4808932
0.023140                 202.965                 3.15172                 40.0356              19.6717104
0.023630                  203.45                 3.38942                41.64471               18.865548
0.024130                 203.371                 3.61144                43.18263              18.0671562
0.024630                  202.74                  3.8134                44.63493              17.2779102
0.025130                 201.614                 4.02084                45.99719              16.5023514
0.025620                 200.013                 4.24604                47.25416              15.7405572
0.026120                 198.009                 4.46572                48.41228              14.9969196
0.026620                 195.605                 4.65175                49.44978              14.2704738
0.027120                 192.876                 4.80937                50.37732              13.5653328
0.027610                 189.819                 4.96032                51.17688              12.8796624
0.028110                 186.511                 5.11581                51.86316              12.2174496
0.028610                 182.936                  5.2545                52.41622              11.5760934
0.029110                 179.175                 5.35971                52.85383              10.9594332
0.029600                 175.208                 5.43209                53.16228              10.3642506
0.030100                 171.112                 5.49538                53.35892                9.794304
0.030600                 166.857                  5.5639                 53.4259               9.2459178
0.031100                 162.526                 5.63651                53.38624                8.722593
0.031590                 158.081                 5.69314                 53.2211               8.2206234
0.032090                 153.598                 5.72304                52.95382               7.7428548
0.032590                 149.045                 5.72427                52.57027               7.2860274
0.033090                 144.487                 5.70661                52.09377               6.8522058
0.033580                 139.895                 5.67428                51.51175               6.4385838
0.034080                 135.327                 5.63368                50.84947                6.046632
0.034580                 130.758                 5.58508                 50.0966               5.6739042
0.035080                 126.233                 5.53154                49.27286               5.3213724
0.035570                 121.734                 5.47186                48.37337                4.986954
0.036070                   117.3                 5.40557                47.42041                4.671189
0.036570                 112.913                 5.32857                46.40766               4.3723422
0.037070                 108.605                 5.24144                45.35509                 4.09059
0.037560                 104.363                 5.14292                 44.2594               3.8245212
0.038060                  100.21                 5.03456                43.13503               3.5740224
0.038560                 96.1403                 4.91635                41.98178                3.337947
0.039060                  92.169                 4.79044                40.81134              3.11596092
0.039550                  88.291                 4.65876                39.62291               2.9071629
0.040050                 84.5179                 4.52431                38.46738              2.71105398
0.040550                 80.8477                 4.38846                37.33915               2.5269345
0.041050                 77.2821                 4.25191                36.10946              2.35418058
0.041540                 73.8272                 4.11505                34.88318              2.19227526
0.042040                 70.4783                 3.97733                33.66082              2.04051078
0.042540                 67.2414                 3.83944                32.44835              1.89851112
0.043040                  64.109                 3.70214                31.24536              1.76552046
0.043530                 61.0903                 3.56725                30.05961              1.64128464
0.044030                 58.1749                 3.43508                28.88887               1.5250257
0.044530                 55.3721                 3.30655                27.74056              1.41658308
0.045030                  52.668                 3.17937                26.61015              1.31517936
0.045520                 50.0743                 3.05272                25.50661              1.22073192
0.046020                 47.5747                 2.92452                24.42401              1.13246964
0.046520                 45.1818                 2.79533                23.37162                1.050381
0.047020                 42.8777                 2.66548                22.34212              0.97371594
0.047510                 40.6761                 2.53873                 21.3452              0.90250812
0.048010                 38.5583                 2.41583                20.37245              0.83604024
0.048510                 36.5386                 2.29928                19.43381              0.77438592
0.049010                 34.5976                 2.18779                18.51999              0.71686692
0.049500                 32.7502                 2.08168                17.64106                0.663579
0.050000                 30.9764                 1.97888                16.78717              0.61388676
0.050500                 29.2914                 1.88015                15.96832              0.56790774
0.051000                 27.6761                 1.78387                15.17494              0.52506108
0.051490                 26.1434                 1.69113                 14.4157              0.48544038
0.051990                 24.6765                 1.60086                13.68187              0.44855802
0.052490                 23.2856                 1.51406                12.98047               0.4144644
0.052990                  21.957                 1.42991                12.30435              0.38276298
