channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                 10.2878               0.0970344                35.81551                 2.04333
0.005724                 13.4307                0.162249                58.29494                1.940052
0.006221                 17.1232                0.253267                 86.5554                1.840936
0.006719                 21.3715                0.370535                117.2558                1.745662
0.007216                 26.1675                0.511001                 145.169                1.654051
0.007714                 31.4901                0.669053                164.6706                1.566032
0.008211                 37.3066                0.838363                  171.79                 1.48157
0.008709                 43.5727                  1.0137                165.7862                1.400634
0.009206                 50.2334                 1.19186                149.3783               1.3231706
0.009704                 57.2234                 1.37156                 127.531               1.2491189
0.010200                 64.4687                 1.55266                105.4902               1.1784099
0.010700                 71.8897                 1.73531                 87.0777               1.1109695
0.011200                 79.4033                  1.9194                  73.926                 1.04672
0.011690                  86.926                 2.10447                65.71404               0.9855786
0.012190                 94.3767                  2.2897                60.98728               0.9274609
0.012690                 101.678                 2.47402                 58.0399               0.8722753
0.013190                 108.758                 2.65627                55.51252               0.8199287
0.013680                  115.55                  2.8352                52.62834               0.7703283
0.014180                 121.997                 3.00952                49.15315                0.723372
0.014680                 128.046                 3.17797                  45.228                0.678963
0.015180                 133.655                 3.33931                41.17689               0.6370001
0.015670                 138.791                 3.49243                37.35395               0.5973815
0.016170                 143.428                 3.63633                34.04398               0.5600072
0.016670                 147.551                 3.77016                31.41555               0.5247749
0.017170                 151.153                 3.89325                29.51484               0.4915874
0.017660                 154.235                 4.00511                28.28307               0.4603456
0.018160                 156.805                 4.10541                27.59038               0.4309537
0.018660                 158.874                 4.19395                27.27029               0.4033166
0.019160                  160.46                 4.27068                27.14992               0.3773438
0.019650                 161.583                 4.33567                27.07236               0.3529473
0.020150                 162.263                 4.38905                26.90994               0.3300406
0.020650                 162.526                 4.43108                26.57027               0.3085411
0.021150                 162.395                 4.46205                25.99646                0.288371
0.021640                 161.896                 4.48232                25.16409               0.2694549
0.022140                 161.055                 4.49232                 24.0761               0.2517196
0.022640                 159.896                 4.49251                22.75695               0.2350984
0.023140                 158.447                 4.48336                21.24651               0.2195252
0.023630                 156.731                 4.46539                 19.5943               0.2049394
0.024130                 154.775                 4.43914                 17.8542               0.1912818
0.024630                 152.601                 4.40513                16.07998               0.1784991
0.025130                 150.233                  4.3639                14.32148               0.1665369
0.025620                 147.693                 4.31599                12.62227               0.1553483
0.026120                 145.002                 4.26194                11.01723              0.14488523
0.026620                  142.18                 4.20225                 9.53229              0.13510437
0.027120                 139.245                 4.13744                8.184284              0.12596377
0.027610                 136.214                 4.06798                6.981554              0.11742415
0.028110                 133.104                 3.99437                5.925133              0.10944843
0.028610                  129.93                 3.91704                5.010147               0.1020012
0.029110                 126.704                 3.83645                4.227385               0.0950495
0.029600                 123.441                   3.753                3.564717              0.08856175
0.030100                 120.152                  3.6671                3.008441              0.08250843
0.030600                 116.846                 3.57913                2.544411              0.07686176
0.031100                 113.536                 3.48946                2.158857               0.0715953
0.031590                 110.228                 3.39844                1.838996              0.06668435
0.032090                 106.932                 3.30639                1.573397              0.06210576
0.032590                 103.656                 3.21363                1.352143              0.05783755
0.033090                 100.406                 3.12045                1.166855              0.05385934
0.033580                 97.1881                 3.02714                1.010623              0.05015178
0.034080                 94.0089                 2.93395                0.877853              0.04669697
0.034580                 90.8733                 2.84113               0.7640844              0.04347786
0.035080                  87.786                 2.74891               0.6658158              0.04047878
0.035570                 84.7513                 2.65748               0.5803187              0.03768494
0.036070                 81.7728                 2.56706               0.5054725               0.0350824
0.036570                 78.8537                  2.4778               0.4396437               0.0326583
0.037070                 75.9968                 2.38987               0.3815539              0.03040063
0.037560                 73.2045                 2.30341               0.3302013              0.02829793
0.038060                 70.4788                 2.21854               0.2847855              0.02633979
0.038560                 67.8212                 2.13536               0.2446539              0.02451631
0.039060                 65.2329                 2.05398               0.2092599              0.02281834
0.039550                 62.7148                 1.97447               0.1781355              0.02123733
0.040050                 60.2674                  1.8969               0.1508664              0.01976541
0.040550                  57.891                 1.82132               0.1270275              0.01839488
0.041050                 55.5856                 1.74777               0.1064018             0.017118944
0.041540                  53.351                 1.67627               0.0886079             0.015931137
0.042040                 51.1867                 1.60686              0.07333664             0.014825438
0.042540                 49.0922                 1.53954              0.06031525             0.013796114
0.043040                 47.0665                 1.47431              0.04928672             0.012838018
0.043530                 45.1087                 1.41117              0.04001066             0.011946235
0.044030                 43.2178                  1.3501              0.03226398             0.011116215
0.044530                 41.3927                  1.2911              0.02584143             0.010343692
0.045030                  39.632                 1.23414              0.02055593             0.009624743
0.045520                 37.9343                 1.17918              0.01623863             0.008955653
0.046020                 36.2984                 1.12621              0.01273882             0.008333007
0.046520                 34.7228                 1.07518              0.00992327             0.007753588
0.047020                 33.2059                 1.02605             0.007675546             0.007214421
0.047510                 31.7463                0.978798             0.005894896             0.006712733
0.048010                 30.3424                 0.93337             0.004488994             0.006245914
0.048510                 28.9927                0.889726             0.003399048             0.005811559
0.049010                 27.6956                0.847819             0.002555793             0.005407438
0.049500                 26.4497                0.807606             0.001907851             0.005031437
0.050000                 25.2533                0.769038             0.001413881             0.004681605
0.050500                 24.1049                0.732069             0.001040234             0.004356137
0.051000                 23.0031                0.696651            0.0007598026             0.004053328
0.051490                 21.9463                0.662738            0.0005509591             0.003771618
0.051990                 20.9331                0.630281            0.0003966324             0.003509519
0.052490                  19.962                0.599233              0.00028347              0.00326569
0.052990                 19.0316                0.569548            0.0002011297              0.00303884
0.053480                 18.1405                0.541178            0.0001416757             0.002827799
0.053980                 17.2874                0.514078             9.90752e-05             0.002631449
0.054480                 16.4708                0.488202            6.878349e-05             0.002448778
0.054980                 15.6895                0.463506            4.740812e-05             0.002278835
0.055470                 14.9421                0.439946            3.243934e-05             0.002120727
0.055970                 14.2275                0.417479            2.203644e-05             0.001973618
0.056470                 13.5445                0.396062            1.486144e-05             0.001836752
0.056970                 12.8917                0.375655             9.95017e-06            0.0017094161
0.057460                 12.2681                0.356217            6.613791e-06            0.0015909397
0.057960                 11.6725                 0.33771            4.364351e-06            0.0014807087
0.058460                 11.1038                0.320094            1.217096e-06            0.0013781422
0.058960                  10.561                0.303333                       0            0.0012827088
0.059450                  10.043                 0.28739                       0            0.0011939103
0.059950                 9.54886                0.272232                       0            0.0011112828
0.060450                 9.07753                0.257823                       0            0.0010343979
0.060950                  8.6281                 0.24413                       0            0.0009628542
0.061440                 8.19965                0.231123                       0            0.0008962795
0.061940                 7.79131                0.218771                       0            0.0008343278
0.062440                 7.40221                0.207043                       0            0.0007766764
0.062940                 7.03154                0.195911                       0             0.000723026
0.063430                 6.67849                0.185348                       0            0.0006730979
0.063930                  6.3423                0.175328                       0            0.0006266334
0.064430                 6.02223                0.165824                       0             0.000583391
0.064930                 5.71758                0.156812                       0            0.0005431457
0.065420                 5.42765                0.148269                       0            0.0005056905
0.065920                 5.15178                0.140172                       0              0.00047083
0.066420                 4.88934                  0.1325                       0            0.0004383848
0.066920                 4.63973                0.125232                       0             0.000408187
0.067410                 4.40236                0.118347                       0            0.0003800787
0.067910                 4.17666                0.111828                       0            0.0003539164
0.068410                  3.9621                0.105655                       0            0.0003295634
0.068910                 3.75817               0.0998124                       0             0.000306896
0.069400                 3.56436               0.0942821                       0            0.0002857956
0.069900                 3.38022                0.089049                       0             0.000266153
0.070400                 3.20527               0.0840978                       0            0.0002478684
0.070900                 3.03908               0.0794141                       0            0.0002308465
0.071390                 2.88125               0.0749842                       0            0.0002149999
0.071890                 2.73137               0.0707949                       0           0.00020024821
0.072390                 2.58906               0.0668338                       0           0.00018651266
0.072890                 2.45397               0.0630891                       0           0.00017372538
0.073380                 2.32573               0.0595493                       0           0.00016181996
0.073880                 2.20402               0.0562037                       0            0.0001507356
0.074380                 2.08852               0.0530421                       0           0.00014041385
0.074880                 1.97893               0.0500548                       0           0.00013080321
0.075370                 1.87496               0.0472324                       0            0.0001218542
0.075870                 1.77633               0.0445662                       0           0.00011352079
0.076370                 1.68278               0.0420477                       0           0.00010576067
0.076870                 1.59406               0.0396693                       0            9.853396e-05
0.077360                 1.50992               0.0374231                       0            9.180372e-05
0.077860                 1.43015               0.0353022                       0            8.553584e-05
