channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0              0.11205549
0.001246                       0                       0                       0             0.133221204
0.001744                       0                       0                       0              0.28521216
0.002241                       0                       0                       0               0.7902783
0.002739                       0                       0                       0              1.45758492
0.003236                0.157016                       0                       0                2.482281
0.003734                0.413305                       0                       0               3.4847838
0.004231                0.751333                       0                       0               4.7037348
0.004729                 1.28019                       0                       0               5.9544612
0.005226                 1.87154                       0                       0               7.0905708
0.005724                 2.57199                       0                       0                 8.13519
0.006221                 3.40319                       0                       0               9.1824678
0.006719                 4.36758                       0                       0               10.159956
0.007216                 5.51775                       0                       0              11.0720106
0.007714                 6.90549                       0                       0              11.9228184
0.008211                 8.55375                       0              -0.3297667              12.7232784
0.008709                 10.3451                       0              -0.1502415               13.340637
0.009206                 12.2604                       0               0.0983662              13.7787732
0.009704                 14.3964                       0               0.4116297              14.1905754
0.010200                 16.7561                       0                0.789557              14.5812762
0.010700                  19.368                       0                1.232433              14.9539968
0.011200                 22.3063                       0                1.740371              15.3091836
0.011690                 25.6491                       0                2.313645              15.6494808
0.012190                 29.4641                       0                2.952553              15.9750432
0.012690                 33.3135                       0                3.617749               16.089615
0.013190                 37.2098                       0                4.308346              16.0843176
0.013680                 41.3378                       0                 5.04378              16.0802136
0.014180                 45.6116                       0                5.801469              16.0405686
0.014680                 49.9821                       0                6.570548              15.9648174
0.015180                 54.4321                       0                 7.37082              15.8903172
0.015670                 58.9341                       0                 8.20934              15.8188194
0.016170                 63.4636                0.302696                 9.10008              15.7486104
0.016670                 68.0287                0.382691                10.05758              15.6809376
0.017170                 72.6295                0.492184                11.09281              15.6145464
0.017660                 77.2733                0.602127                 12.2157              15.5503188
0.018160                  81.857                0.715527                13.41998              15.4690308
0.018660                 84.9098                0.836891                14.49937              15.1277976
0.019160                 87.7379                 0.98171                15.62658              14.7759714
0.019650                 90.4584                 1.12087                16.81825              14.4331146
0.020150                 93.0713                 1.25822                18.07406              14.0984856
0.020650                 95.5712                 1.41943                19.39194              13.7718198
0.021150                 97.9544                 1.59955                20.77224              13.4527806
0.021640                 100.215                 1.78628                22.21303              13.1408532
0.022140                 102.353                 1.97953                23.71404              12.8360322
0.022640                 104.352                 2.18331                25.25537              12.5333442
0.023140                  106.21                 2.40549                26.82514              12.2313204
0.023630                 107.933                  2.6449                28.43825              11.9352294
0.024130                 109.526                 2.88581                30.09207              11.6455518
0.024630                 110.983                 3.12505                31.77982              11.3612724
0.025130                 112.316                 3.38395                33.49865              11.0830086
0.025620                 113.522                 3.67498                35.23994              10.8096228
0.026120                  114.62                 3.97983                37.00608              10.5418944
0.026620                 115.594                 4.27348                38.77984              10.2778488
0.027120                 116.262                 4.53786                40.47212               9.9942696
0.027610                 116.783                 4.80894                42.14029               9.7121412
0.028110                   117.2                  5.1001                43.79761               9.4355802
0.028610                 117.497                 5.39145                45.42824               9.1631664
0.029110                 117.693                 5.66384                47.03398                8.896032
0.029600                 117.774                 5.91666                48.60406               8.6326758
0.030100                 117.756                 6.17262                50.13688                8.374347
0.030600                 117.622                 6.44936                51.61808               8.1195408
0.031100                  117.39                 6.74494                53.04806                7.869411
0.031590                 117.042                  7.0373                 54.4108               7.6226238
0.032090                 116.594                 7.30947                55.70615               7.3801818
0.032590                 116.028                 7.55764                56.92034                7.140933
0.033090                  115.36                 7.78971                58.05324                6.905691
0.033580                 114.573                 8.01087                59.09121               6.6735342
0.034080                  113.68                 8.22636                60.03731               6.4451196
0.034580                 112.668                  8.4369                60.87801               6.2196444
0.035080                 111.545                 8.64387                61.61208               5.9976486
0.035570                 110.299                 8.84573                62.23037               5.7784932
0.036070                 108.946                 9.03847                62.75681               5.5635498
0.036570                 107.521                 9.21463                63.36503               5.3612208
0.037070                 105.988                 9.37112                63.90173               5.1631362
0.037560                  104.33                 9.50402                64.32992               4.9675464
0.038060                 102.552                 9.61191                64.65055               4.7745936
0.038560                 100.646                 9.69252                 64.8569                4.584051
0.039060                 98.7035                 9.75357                64.99296                4.399254
0.039550                 98.3461                 9.94162                65.88322               4.2806088
0.040050                 98.3535                 10.1589                67.00804               4.1789484
0.040550                 98.3114                  10.371                68.15274               4.0785282
0.041050                 98.2186                 10.5781                69.07067               3.9793122
0.041540                  98.078                 10.7792                69.93434               3.8813004
0.042040                 97.8857                 10.9718                70.73868               3.7844208
0.042540                  97.642                 11.1551                71.48195               3.6887004
0.043040                  97.344                 11.3304                72.16145               3.5940438
0.043530                 96.9939                 11.5006                72.77726                3.500514
0.044030                 96.5888                 11.6674                 73.3276                3.407985
0.044530                 96.1294                 11.8312                 73.8106                3.316545
0.045030                 95.6107                 11.9856                 74.2218               3.2260536
0.045520                 95.0351                 12.1225                  74.563               3.1366152
