channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                  11.473                0.131827                 88.4538               44.938674
0.005724                  14.504                0.219949                143.3193               42.447816
0.006221                  17.974                0.343355                211.4929               40.102956
0.006719                 21.8861                0.503269                284.5997               37.891512
0.007216                  26.237                0.696447                 350.124                35.80443
0.007714                 31.0174                0.916342                395.2984               33.835212
0.008211                 36.2106                 1.15548                411.9727                31.97826
0.008709                 41.7911                 1.40779                399.8823               30.227994
0.009206                 47.7233                 1.66992                366.4887               28.578276
0.009704                 53.9633                 1.94106                323.5659                27.02313
0.010200                 60.4604                 2.22198                282.4994              25.5565746
0.010700                 67.1601                 2.51385                250.6662              24.1730298
0.011200                 74.0061                 2.81756                230.2122               22.867335
0.011690                 80.9426                 3.13338                219.0661              21.6347598
0.012190                 87.9141                 3.46096                 213.067               20.470941
0.012690                 94.8664                 3.79946                208.0201              19.3718322
0.013190                 101.746                 4.14759                200.9879              18.3337398
0.013680                 108.502                 4.50375                190.7086              17.3531196
0.014180                 115.085                 4.86606                177.3855               16.426728
0.014680                 121.448                 5.23243                162.1714              15.5514114
0.015180                  127.55                 5.60068                146.6099               14.724306
0.015670                 133.355                 5.96857                132.1801              13.9426236
0.016170                 138.837                 6.33392                119.9957              13.2037902
0.016670                 143.975                 6.69469                110.6724               12.505392
0.017170                 148.757                 7.04895                104.3317               11.845125
0.017660                 153.178                 7.39501                100.6859              11.2208364
0.018160                 157.238                 7.73135                 99.1793               10.630521
0.018660                 160.943                 8.05666                 99.1284              10.0722924
0.019160                 164.301                 8.36984                 99.8414               9.5443362
0.019650                 167.323                 8.66996                100.7014                9.044955
0.020150                 170.018                 8.95628                101.2162               8.5725522
0.020650                   172.4                 9.22821                101.0336               8.1256194
0.021150                 174.479                 9.48533                 99.9402               7.7027094
0.021640                 176.267                 9.72736                 97.8443               7.3024632
0.022140                 177.773                 9.95415                 94.7543               6.9236244
0.022640                  179.01                 10.1657                  90.756               6.5649744
0.023140                 179.987                  10.362                 85.9897               6.2254008
0.023630                 180.713                 10.5433                 80.6281               5.9038254
0.024130                   181.2                 10.7099                 74.8597               5.5992582
0.024630                 181.457                 10.8619                 68.8722               5.3107758
0.025130                 181.495                 10.9998                62.84148               5.0375034
0.025620                 181.325                  11.124                56.92136               4.7786274
0.026120                 180.956                 11.2347                51.23731               4.5333666
0.026620                 180.399                 11.3325                45.88493               4.3010244
0.027120                 179.666                 11.4177                40.92952               4.0808826
0.027610                 178.767                 11.4907                36.40812               3.8723292
0.028110                 177.714                 11.5519                32.33307                3.674754
0.028610                 176.516                 11.6016                28.69688               3.4875846
0.029110                 175.184                 11.6401                25.47705               3.3102468
0.029600                 173.729                 11.6677                22.64096               3.1422798
0.030100                 172.161                 11.6848                20.15016               2.9831472
0.030600                  170.49                 11.6915                17.96404               2.8324044
0.031100                 168.725                 11.6881                16.04264                2.689605
0.031590                 166.876                 11.6748                14.34848              2.55432618
0.032090                 164.951                 11.6519                12.84798              2.42617212
0.032590                  162.96                 11.6194                11.51188               2.3047605
0.033090                  160.91                 11.5777                10.31547               2.1897342
0.033580                  158.81                 11.5269                 9.23835              2.08074474
0.034080                 156.665                 11.4672                 8.26396              1.97747028
0.034580                 154.484                 11.3989                 7.37916               1.8796032
0.035080                 152.273                 11.3222                6.573496              1.78684776
0.035570                 150.037                 11.2373                5.838834               1.6989282
0.036070                 147.782                 11.1447                5.168696              1.61557956
0.036570                 145.512                 11.0445                4.557927              1.53655578
0.037070                 143.233                 10.9372                4.002306              1.46161764
0.037560                 140.947                  10.823                3.498265              1.39054626
0.038060                 138.659                 10.7025                3.042663               1.3231278
0.038560                 136.372                 10.5759                2.632619              1.25916444
0.039060                 134.087                 10.4438                2.265386              1.19846772
0.039550                 131.808                 10.3067                1.938276              1.14086214
0.040050                 129.536                 10.1649                1.648611              1.08618012
0.040550                 127.273                  10.019                1.393513               1.0342629
0.041050                 125.021                  9.8695                 1.17073              0.98496378
0.041540                 122.781                 9.71689                  0.9773              0.93813984
0.042040                 120.553                 9.56169                0.810503              0.89366184
0.042540                 118.339                  9.4044               0.6677206              0.85140378
0.043040                 116.139                  9.2455               0.5463943              0.81124848
0.043530                 113.955                  9.0855               0.4440733              0.77308632
0.044030                 111.787                 8.92486               0.3584349                0.736812
0.044530                 109.636                 8.76404               0.2873073              0.70233066
0.045030                 107.502                 8.60346               0.2286875              0.66954582
0.045520                 105.387                 8.44355               0.1807497              0.63837234
0.046020                 103.291                 8.28467               0.1418527              0.60872742
0.046520                 101.216                 8.12718               0.1105372              0.58053474
0.047020                 99.1614                 7.97141                0.085522               0.5537187
0.047510                  97.129                 7.81765              0.06569604              0.52821036
0.048010                 95.1198                 7.66616              0.05006161              0.50394672
0.048510                 93.1347                 7.51717                 0.03791               0.4808619
0.049010                  91.175                 7.37087              0.02850509               0.4589019
0.049500                 89.2418                 7.22744               0.0212785              0.43800516
0.050000                 87.3362                   7.087               0.0157692              0.41812416
0.050500                 85.4593                 6.94967              0.01160187              0.39920796
0.051000                 83.6123                 6.81552              0.00847417              0.38120508
0.051490                 81.7962                 6.68459             0.006144924              0.36407592
0.051990                 80.0122                 6.55691              0.00442369              0.34777332
0.052490                 78.2611                 6.43248             0.003161576               0.3322593
0.052990                 76.5439                 6.31128             0.002243225              0.31749462
0.053480                 74.8614                 6.19327             0.001580127               0.3034404
0.053980                 73.2145                 6.07838             0.001104997              0.29006442
0.054480                 71.6036                 5.96654             0.000767149              0.27733158
0.054980                 70.0294                 5.85767            0.0005287491               0.2652102
0.055470                 68.4923                 5.75166            0.0003618002             0.253670148
0.055970                 66.9926                 5.64841            0.0002457754              0.24268221
0.056470                 65.5305                 5.54779            0.0001657516             0.232219152
0.056970                  64.106                 5.44969            0.0001109755             0.222254946
0.057460                 62.7191                 5.35398             7.37644e-05              0.21276396
0.057960                 61.3696                 5.26054            4.867616e-05             0.203722938
0.058460                 60.0573                 5.16923            1.357441e-05             0.195108696
0.058960                 58.7817                 5.07994                       0             0.186899958
0.059450                 57.5424                 4.99253                       0             0.179076042
0.059950                 56.3388                 4.90688                       0             0.171617382
0.060450                 55.1702                 4.82288                       0             0.164505276
0.060950                 54.0358                 4.74042                       0              0.15772221
0.061440                 52.9349                 4.65938                       0              0.15125094
0.061940                 51.8665                 4.57968                       0             0.145075788
0.062440                 50.8296                 4.50121                       0             0.139181544
0.062940                 49.8233                 4.42389                       0             0.133553718
0.063430                 48.8466                 4.34765                       0             0.128178612
0.063930                 47.8983                  4.2724                       0             0.123043212
0.064430                 46.9774                  4.1981                       0             0.118135476
0.064930                 46.0828                 4.12467                       0              0.11344338
0.065420                 45.2134                 4.05207                       0             0.108956106
0.065920                  44.368                 3.98025                       0             0.104663376
0.066420                 43.5455                 3.90919                       0             0.100555056
0.066920                 42.7449                 3.83883                       0             0.096621984
0.067410                 41.9651                 3.76917                       0             0.092855376
0.067910                  41.205                 3.70018                       0             0.089246772
0.068410                 40.4637                 3.63184                       0             0.085788576
0.068910                 39.7401                 3.56414                       0             0.082473048
0.069400                 39.0333                 3.49707                       0             0.079293528
0.069900                 38.3423                 3.43064                       0             0.076243266
0.070400                 37.6663                 3.36483                       0             0.073316016
0.070900                 37.0045                 3.29964                       0             0.070506036
0.071390                  36.356                 3.23509                       0             0.067807638
0.071890                 35.7202                 3.17117                       0               0.0652158
0.072390                 35.0963                  3.1079                       0             0.062725428
0.072890                 34.4836                 3.04527                       0             0.060331932
0.073380                 33.8816                  2.9833                       0             0.058031172
0.073880                 33.2897                   2.922                       0             0.055818738
0.074380                 32.7073                 2.86137                       0             0.053690886
0.074880                  32.134                 2.80143                       0             0.051643782
0.075370                 31.5692                 2.74217                       0             0.049674168
0.075870                 31.0127                 2.68362                       0             0.047778768
0.076370                 30.4639                 2.62578                       0             0.045954306
0.076870                 29.9227                 2.56865                       0             0.044197776
0.077360                 29.3886                 2.51225                       0             0.042506838
0.077860                 28.8614                 2.45658                       0             0.040878378
0.078360                 28.3408                 2.40164                       0             0.039310146
0.078860                 27.8266                 2.34745                       0              0.03779973
0.079350                 27.3186                 2.29399                       0              0.03634479
