channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0              0.00542303
0.001246                       0                       0                       0             0.006504354
0.001744                       0                       0                       0              0.01434438
0.002241                       0                       0                       0              0.04047499
0.002739                       0                       0                       0              0.07508865
0.003236                0.145008                       0                       0              0.12708433
0.003734                 0.37881                       0                       0               0.1767662
0.004231                0.691838                       0                       0               0.2391311
0.004729                 1.16913                       0                       0               0.2997559
0.005226                 1.70045                       0                       0               0.3548282
0.005724                 2.32816                       0                       0               0.4057558
0.006221                 3.06159                       0                       0               0.4550609
0.006719                 3.90921                       0                       0                0.500672
0.007216                 4.91879                       0                       0               0.5432193
0.007714                 6.13594                       0                       0               0.5829137
0.008211                 7.57786                       0              -0.2860108               0.6201038
0.008709                 9.08643                       0              -0.1292047               0.6446774
0.009206                  10.747                       0               0.0844117               0.6643971
0.009704                 12.5975                       0               0.3527222               0.6831094
0.010200                 14.6393                       0                0.675673               0.7008538
0.010700                 16.8971                       0                1.053418                0.717785
0.011200                  19.435                       0                1.485952               0.7339143
0.011690                 22.3206                       0                1.973451               0.7493703
0.012190                 25.5693                       0                2.512635               0.7629841
0.012690                 28.6348                       0                3.054141                0.761694
0.013190                 31.9273                       0                3.631036               0.7601284
0.013680                 35.4055                       0                4.241646               0.7584256
0.014180                 38.9848                       0                4.858021               0.7541658
0.014680                 42.6551                       0                5.496596               0.7496889
0.015180                 46.3832                       0                6.160103               0.7452986
0.015670                 50.1461                       0                 6.85433               0.7410797
0.016170                 53.9227                0.259004                 7.59095               0.7369459
0.016670                 57.7203                0.327006                 8.38197               0.7329572
0.017170                 61.5391                 0.42001                 9.23633               0.7290508
0.017660                 65.3854                0.513172                10.16224               0.7252685
0.018160                 68.3971                0.601241                11.04587               0.7130282
0.018660                 70.8099                0.701721                11.91293                0.695982
0.019160                 73.1228                0.822637                12.83047                0.679356
0.019650                 75.3422                0.938653                13.79942               0.6631545
0.020150                 77.4679                 1.05299                14.81945               0.6473403
0.020650                 79.4954                 1.18712                15.88863               0.6319034
0.021150                 81.4217                 1.33686                17.00708               0.6168277
0.021640                 83.2419                  1.4919                18.17306               0.6020866
0.022140                 84.9524                 1.65214                19.38017               0.5875787
0.022640                 86.5349                 1.82091                20.60522               0.5729957
0.023140                 88.0066                 2.00474                21.86614                0.558721
0.023630                 89.3621                 2.20261                23.15935               0.5447266
0.024130                 90.6063                 2.40139                24.48259               0.5310377
0.024630                 91.7326                 2.59843                25.83011               0.5176017
0.025130                 92.7524                 2.81143                27.19926               0.5044504
0.025620                 93.6627                  3.0507                28.58288               0.4915298
0.026120                 94.4782                  3.3009                29.98227               0.4788705
0.026620                 94.9503                 3.52363                31.29544               0.4649825
0.027120                  95.274                 3.73271                32.58355               0.4510836
0.027610                 95.4859                 3.94828                 33.8524               0.4374032
0.028110                 95.6029                 4.17917                35.10369               0.4239932
0.028610                 95.6109                 4.40894                36.32397               0.4107856
0.029110                 95.5263                  4.6219                 37.5145               0.3978326
0.029600                 95.3361                 4.81753                38.66584               0.3850636
0.030100                  95.055                 5.01436                39.77662               0.3725379
0.030600                 94.6672                 5.22651                40.83458                0.360183
0.031100                 94.1889                 5.45225                41.83988               0.3480557
0.031590                 93.6037                  5.6735                42.77896               0.3360896
0.032090                 92.9253                 5.87654                43.65177                0.324334
0.032590                 92.1398                 6.05829                44.44648               0.3127342
0.033090                 91.2586                 6.22513                45.16304               0.3013291
0.033580                 90.2682                 6.38109                45.78997                0.290073
0.034080                   89.18                 6.53032                 46.3295               0.2789968
0.034580                 87.9817                 6.67319                46.77031               0.2680652
0.035080                 86.6801                 6.81068                47.11152               0.2573012
0.035570                 85.2784                 6.94135                47.39024               0.2468095
0.036070                 83.8152                 7.06191                47.72602               0.2369148
0.036570                 82.2392                 7.16633                 47.9675               0.2271562
0.037070                 80.5562                 7.25217                48.11497               0.2175357
0.037560                 78.7577                 7.31624                48.16043               0.2080364
0.038060                 76.8474                 7.35747                48.10462               0.1986657
0.038560                 75.2547                 7.40998                48.15464               0.1903505
0.039060                 75.0528                 7.56666                48.85349               0.1852771
0.039550                 74.8522                 7.71759                49.53066               0.1803692
0.040050                 74.6081                  7.8616                50.21854                0.175523
0.040550                 74.3172                 7.99968                50.91011               0.1707355
0.041050                 73.9786                 8.13189                51.42093               0.1660058
0.041540                 73.5942                 8.25741                51.88003               0.1613332
0.042040                 73.1609                 8.37421                52.28343               0.1567147
0.042540                 72.6788                 8.48158                52.62977               0.1521515
0.043040                 72.1455                 8.58062                52.91655                0.147639
0.043530                 71.5626                 8.67326                 53.1443              0.14318043
0.044030                 70.9276                 8.76081                53.31061              0.13876944
0.044530                  70.241                 8.84338                53.41456              0.13441049
0.045030                 69.4987                 8.91599                53.45225              0.13009651
0.045520                 68.7026                 8.97274                53.42507              0.12583283
0.046020                 67.8475                  9.0078                53.32889              0.12161165
0.046520                 66.9356                 9.01757                53.16527              0.11743926
0.047020                 65.9609                 9.00339                52.92936              0.11330712
0.047510                 64.9267                 8.97263                 52.6236              0.10922229
0.048010                 63.8265                 8.93063                52.24234              0.10517525
0.048510                 62.6645                 8.88275                51.78879              0.10117437
0.049010                 61.4336                 8.82847                51.25672              0.09720923
0.049500                 60.1389                 8.76517                 50.6498               0.0932888
0.050000                 58.7726                 8.68871                49.96133              0.08940232
0.050500                 57.3409                 8.59728                49.19571              0.08555944
0.051000                 55.8364                 8.48785                 48.3466              0.08174886
0.051490                 54.2647                 8.36029                47.41807              0.07797976
0.051990                 52.6182                 8.21321                46.40292               0.0742424
0.052490                 50.9023                 8.04726                45.30497              0.07054456
0.052990                 49.1106                 7.86152                44.11803              0.06687763
0.053480                 47.2483                  7.6582                42.84637              0.06324809
0.053980                 45.3098                 7.44017                41.48446              0.05964907
0.054480                 43.2988                 7.21066                40.03421              0.05608546
0.054980                 41.2104                 6.97074                 38.4908              0.05255187
0.055470                 39.0489                 6.72213                36.85785              0.04905194
0.055970                 36.8098                 6.45874                35.13014              0.04558132
0.056470                 34.7322                  6.2115                33.48141              0.04238813
0.056970                 34.5427                 6.24359                 33.1833              0.04121724
0.057460                 34.5621                 6.28859                33.32709              0.04046862
0.057960                 34.5828                 6.32152                33.53633              0.03978195
0.058460                 34.5926                 6.34608                33.73424              0.03910136
0.058960                 34.5901                 6.36687                33.91856              0.03842632
0.059450                 34.5756                 6.38749                34.08971              0.03775696
0.059950                 34.5493                 6.41176                34.24819              0.03709322
0.060450                 34.5102                  6.4387                34.39205               0.0364349
0.060950                 34.4597                 6.46602                 34.5237              0.03578195
0.061440                  34.396                  6.4895                34.64011              0.03513423
0.061940                 34.3206                 6.50632                34.74359              0.03449184
0.062440                  34.232                 6.51418                34.83162              0.03385434
0.062940                 34.1315                 6.51311                34.90619              0.03322209
0.063430                 34.0177                 6.50622                34.96491               0.0325946
0.063930                 33.8921                 6.49633                35.00999              0.03197232
0.064430                 33.7529                 6.48533                35.03823              0.03135447
0.064930                 33.6025                  6.4765                35.05309              0.03074166
0.065420                 33.4387                 6.46865                35.05088              0.03013317
0.065920                 33.2636                 6.46088                35.03439              0.02952965
0.066420                 33.0754                  6.4504                35.00098              0.02893024
0.066920                 32.8756                 6.43569                34.95207              0.02833578
0.067410                 32.6633                 6.41486                34.88677              0.02774518
0.067910                  32.439                 6.38717                34.80471               0.0271594
0.068410                 32.2027                 6.35268                34.70662              0.02657739
0.068910                 31.9546                 6.31331                 34.5918              0.02600002
0.069400                 31.6937                 6.26999                34.45896              0.02542633
0.069900                  31.422                 6.22436                34.31065              0.02485734
0.070400                 31.1373                 6.17644                34.14361               0.0242917
0.070900                 30.8413                 6.12616                33.95973              0.02373063
0.071390                 30.5331                 6.07258                33.75823              0.02317295
0.071890                 30.2134                 6.01521                33.53904              0.02261961
0.072390                 29.8809                 5.95332                 33.3008              0.02206963
0.072890                 29.5377                 5.88725                33.04608              0.02152381
0.073380                 29.1817                 5.81811                32.77201              0.02098132
0.073880                 28.8141                 5.74733                32.47957              0.02044282
0.074380                  28.434                 5.67623                32.16835              0.01990762
0.074880                  28.042                 5.60608                31.83909              0.01937626
0.075370                 27.6369                 5.53641                31.49011              0.01884817
0.075870                 27.2191                 5.46573                31.12207              0.01832373
0.076370                 26.7882                 5.39191                30.73473              0.01780253
0.076870                 26.3445                 5.31291                30.32843              0.01728487
0.077360                 25.8874                 5.22713                29.90218               0.0167704
0.077860                 25.4172                 5.13417                29.45617              0.01625933
0.078360                 24.9335                 5.03508                28.98992              0.01575144
0.078860                 24.4368                 4.93148                28.50439              0.01524681
0.079350                 23.9266                 4.82485                27.99847              0.01474529
0.079850                  23.329                 4.72577                27.47214             0.014246932
0.080350                 22.7247                 4.62261                26.92514             0.013751649
0.080850                 22.1688                 4.50785                26.35737             0.013259398
0.081340                 21.6015                 4.38969                25.76892              0.01277022
0.081840                 21.0229                 4.26812                25.15985             0.012283946
0.082340                  20.433                 4.14315                24.52975             0.011800679
0.082840                 19.8548                 4.02053                23.90296             0.011333146
0.083330                 19.6704                 3.99563                23.69176             0.011092359
0.083830                 19.5346                 3.98241                23.52719             0.010882087
0.084330                 19.3945                 3.96812                23.35335             0.010673111
0.084830                 19.2498                 3.95272                23.16982             0.010465297
0.085320                 19.1009                 3.93627                22.97713              0.01025877
0.085820                 18.9475                 3.91872                22.77475             0.010053347
0.086320                 18.7898                 3.90012                22.56294             0.009849218
0.086820                 18.6277                 3.88041                22.34105             0.009646144
0.087310                 18.4615                 3.85964                22.10968             0.009444347
0.087810                 18.2907                 3.83776                21.86808             0.009243573
0.088310                 18.1159                 3.81485                21.61687             0.009044069
0.088810                 17.9366                 3.79081                 21.3553              0.00884554
0.089300                 17.7534                 3.76576                21.08403             0.008648259
0.089800                 17.5657                 3.73958                20.80228             0.008451936
0.090300                 17.3741                 3.71239                20.51073             0.008256835
0.090800                 17.1781                 3.68408                20.20854             0.008062655
0.091290                 16.9782                 3.65476                19.89641             0.007869691
0.091790                 16.7751                 3.62433                19.58251             0.007679537
0.092290                 16.5933                 3.59289                19.46478             0.007533375
0.092790                 16.4085                 3.56036                19.34837             0.007389481
0.093280                 16.2202                 3.52682                19.22627             0.007246424
0.093780                  16.028                 3.49219                19.09801             0.007104041
0.094280                 15.8323                 3.45656                18.96388             0.006962489
0.094780                 15.6329                 3.41985                18.82358             0.006821619
0.095270                 15.4299                 3.38214                18.67735             0.006681542
0.095770                 15.2233                 3.34336                18.52486             0.006542147
0.096270                 15.0131                 3.30357                18.36636             0.006403507
0.096770                 14.7994                 3.26274                18.20155             0.006265551
0.097260                 14.5821                  3.2209                18.03059             0.006128322
0.097760                 14.3614                 3.17802                17.85329             0.005991774
0.098260                 14.1371                 3.13414                17.66977             0.005855939
0.098760                 13.9094                 3.08923                17.47984             0.005720773
0.099250                 13.6783                 3.04332                17.28358             0.005586285
0.099750                 13.4438                  2.9964                17.08089             0.005452474
