channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                0.377409             1.78446e-07              0.32944486           0.12906143782
0.005724                0.415773             2.88762e-07             0.536636013           0.11258001964
0.006221                0.455687             4.42684e-07              0.80381717           0.09836605421
0.006719                0.496782             6.42333e-07              1.09983352           0.08613322923
0.007216                0.538373             8.84937e-07               1.3744258          0.075569205654
0.007714                0.579616             1.16435e-06              1.56963431          0.066403666762
0.008211                0.619592             1.47391e-06              1.63944689          0.058416147565
0.008709                0.657349             1.80901e-06              1.56774589          0.051425654269
0.009206                0.691933             2.16834e-06              1.37476297          0.045282233961
0.009704                0.722418             2.55331e-06              1.10845602           0.03986201444
0.010200                0.747935             2.96659e-06              0.82578011          0.035064393994
0.010700                0.767711             3.41065e-06              0.57365133          0.030807391317
0.011200                0.781115             3.88698e-06              0.37804429          0.027023905373
0.011690                0.787698             4.39577e-06              0.24360641          0.023658315338
0.012190                0.787221             4.93617e-06               0.1605632          0.020664250532
0.012690                0.779664             5.50644e-06              0.11350617          0.018001830395
0.013190                 0.76522             6.10422e-06              0.08796105           0.01563694445
0.013680                0.744276             6.72658e-06              0.07344346          0.013539672291
0.014180                 0.71738             7.37025e-06              0.06373875          0.011683603566
0.014680                0.685213             8.03165e-06              0.05583283          0.010045087968
0.015180                0.648554             8.70714e-06              0.04862049          0.008602805226
0.015670                0.608253             9.39314e-06              0.04191547          0.007337351103
0.016170                0.565203             1.00863e-05              0.03585599          0.006231000387
0.016670                0.520315             1.07838e-05              0.03061146          0.005267508892
0.017170                0.474486             1.14832e-05             0.026285192          0.004431877449
0.017660                0.428575             1.21827e-05             0.022868853          0.003710353908
0.018160                0.383381             1.28812e-05             0.020282035          0.003090273135
0.018660                0.339615             1.35783e-05             0.018394409          0.002560025011
0.019160                0.297888             1.42742e-05             0.017054851          0.002108965423
0.019650                0.258694             1.49699e-05             0.016113647           0.00172737328
0.020150                0.222406             1.56667e-05              0.01543691          0.001406417488
0.020650                0.189278             1.63668e-05                0.014914          0.001138091973
0.021150                0.159448             1.70727e-05              0.01445981          0.000915180662
0.021640                0.132949             1.77876e-05              0.01401389          0.000731216588
0.022140                0.109722             1.85149e-05             0.013537566          0.000580429496
0.022640               0.0896296             1.92585e-05               0.0130103           0.00045770873
0.023140               0.0724776             2.00227e-05             0.012425785          0.000358559644
0.023630               0.0580267             2.08121e-05             0.011788082          0.000279056591
0.024130                 0.04601             2.16314e-05             0.011108149          0.000215799631
0.024630                0.036148             2.24859e-05             0.010400704          0.000165865825
0.025130               0.0281594             2.33809e-05             0.009681794          0.000126767341
0.025620               0.0217731             2.43221e-05             0.008967163           9.6404642e-05
0.026120               0.0167341             2.53151e-05             0.008270284           7.3022298e-05
0.026620               0.0128102             2.63661e-05             0.007602095            5.516701e-05
0.027120               0.0097945             2.74811e-05             0.006970606            4.164749e-05
0.027610              0.00750718             2.86666e-05             0.006380874            3.149737e-05
0.028110              0.00579485              2.9929e-05             0.005835218           2.3940304e-05
0.028610              0.00452991             3.12749e-05             0.005333763           1.8359827e-05
0.029110              0.00360759              3.2711e-05             0.004875011           1.4271245e-05
0.029600              0.00294419             3.42443e-05             0.004456195           1.1297572e-05
0.030100               0.0024734             3.58817e-05             0.004073893            9.149049e-06
0.030600              0.00214424             3.76303e-05             0.003724397             7.60513e-06
0.031100              0.00191765             3.94971e-05             0.003404025            6.500044e-06
0.031590              0.00176478             4.14894e-05             0.003109323            5.710407e-06
0.032090              0.00166415             4.36145e-05             0.002837228            5.145573e-06
0.032590              0.00160058             4.58797e-05             0.002585111            4.739507e-06
0.033090              0.00156304             4.82924e-05             0.002350801            4.444806e-06
0.033580              0.00154413             5.08598e-05             0.002132559            4.227683e-06
0.034080              0.00153858             5.35894e-05             0.001929028            4.064386e-06
0.034580              0.00154306             5.64884e-05             0.001739173            3.938352e-06
0.035080              0.00155524             5.95642e-05              0.00156221            3.838164e-06
0.035570               0.0015738             6.28237e-05             0.001397559            3.755978e-06
0.036070               0.0015978              6.6274e-05            0.0012447573            3.686489e-06
0.036570              0.00162681             6.99221e-05            0.0011034474            3.626085e-06
0.037070              0.00166049             7.37744e-05            0.0009732958            3.572355e-06
0.037560              0.00169881             7.78373e-05            0.0008539897            3.523619e-06
0.038060              0.00174167             8.21169e-05            0.0007452026            3.478766e-06
0.038560              0.00178916             8.66189e-05            0.0006465712            3.436999e-06
0.039060               0.0018413             9.13486e-05            0.0005576948            3.397778e-06
0.039550              0.00189819             9.63109e-05            0.0004781207            3.360657e-06
0.040050              0.00195991              0.00010151             0.000407355            3.325358e-06
0.040550              0.00202653              0.00010695            0.0003448351            3.291617e-06
0.041050              0.00209816             0.000112634             0.000290048            3.259246e-06
0.041540              0.00217486             0.000118564            0.0002423607            3.228055e-06
0.042040              0.00225672             0.000124743            0.0002011604            3.197911e-06
0.042540               0.0023438             0.000131171            0.0001658344            3.168682e-06
0.043040              0.00243618             0.000137849            0.0001357777            3.140252e-06
0.043530              0.00253393             0.000144777           0.00011040206            3.112525e-06
0.044030              0.00263708             0.000151952             8.91451e-05            3.085395e-06
0.044530              0.00274571             0.000159374            7.147732e-05              3.0588e-06
0.045030              0.00285984             0.000167039            5.690781e-05            3.032649e-06
0.045520              0.00297951             0.000174943            4.498791e-05            3.006879e-06
0.046020              0.00310475             0.000183082            3.531241e-05            2.981439e-06
0.046520              0.00323559             0.000191449            2.752042e-05            2.956248e-06
0.047020              0.00337202             0.000200038            2.129467e-05            2.931279e-06
0.047510              0.00351404             0.000208842            1.635943e-05            2.906475e-06
0.048010              0.00366165             0.000217853           1.2469564e-05            2.881803e-06
0.048510              0.00381483             0.000227061            9.443125e-06            2.857217e-06
0.049010              0.00397353             0.000236455             7.10043e-06            2.832686e-06
0.049500              0.00413771             0.000246026            5.300327e-06            2.808174e-06
0.050000               0.0043073             0.000255762            3.927999e-06            2.783661e-06
0.050500              0.00448224              0.00026565             2.88995e-06            2.759121e-06
0.051000              0.00466244             0.000275676            2.110857e-06            2.734526e-06
0.051490              0.00484778             0.000285828            1.530658e-06            2.709854e-06
0.051990              0.00503816             0.000296092           1.1019133e-06              2.6851e-06
0.052490              0.00523344             0.000306451            7.875276e-07            2.660221e-06
0.052990              0.00543347             0.000316891            5.587728e-07            2.635224e-06
0.053480              0.00563808             0.000327395            3.935989e-07            2.610094e-06
0.053980              0.00584711             0.000337948            2.752471e-07            2.584811e-06
0.054480              0.00606036             0.000348533            1.910919e-07            2.559364e-06
0.054980              0.00627761             0.000359132            1.317079e-07            2.533757e-06
0.055470              0.00649865             0.000369729            9.012204e-08            2.507967e-06
0.055970              0.00672323             0.000380307            6.122092e-08             2.48199e-06
0.056470              0.00695111             0.000390847            4.128759e-08            2.455823e-06
0.056970              0.00718203             0.000401332            2.764324e-08            2.429465e-06
0.057460               0.0074157             0.000411746            1.837421e-08            2.402912e-06
0.057960              0.00765184             0.000422069           1.2124896e-08            2.376152e-06
0.058460              0.00789015             0.000432285            3.381295e-09           2.3492057e-06
0.058960              0.00813031             0.000442376                       0           2.3220491e-06
0.059450              0.00837202             0.000452325                       0           2.2947019e-06
0.059950              0.00861493             0.000462116                       0           2.2671544e-06
0.060450              0.00885872             0.000471731                       0            2.239407e-06
0.060950              0.00910304             0.000481155                       0            2.211479e-06
0.061440              0.00934755             0.000490372                       0           2.1833687e-06
0.061940              0.00959188             0.000499365                       0           2.1550776e-06
0.062440              0.00983568             0.000508121                       0            2.126619e-06
0.062940               0.0100786             0.000516624                       0           2.0979865e-06
0.063430               0.0103202              0.00052486                       0           2.0691994e-06
0.063930               0.0105603             0.000532815                       0           2.0402642e-06
0.064430               0.0107983             0.000540478                       0           2.0111925e-06
0.064930               0.0110341             0.000547834                       0           1.9819897e-06
0.065420               0.0112671             0.000554873                       0           1.9526614e-06
0.065920                0.011497             0.000561583                       0           1.9232352e-06
0.066420               0.0117235             0.000567954                       0           1.8937196e-06
0.066920               0.0119463             0.000573976                       0           1.8641072e-06
0.067410                0.012165             0.000579639                       0           1.8344316e-06
0.067910               0.0123792             0.000584936                       0           1.8046933e-06
0.068410               0.0125886             0.000589858                       0           1.7749071e-06
