channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                 9.16496                0.096752                105.9743               35.735616
0.005724                 11.5465                0.161146                171.3433               33.853842
0.006221                 14.2696                0.251517                252.1484               32.080158
0.006719                 17.3365                0.369067                338.2844               30.405186
0.007216                 20.7453                0.511863                414.9615                28.82232
0.007714                 24.4897                0.675644                 467.477               27.326754
0.008211                 28.5588                0.855475                486.9381               25.914366
0.008709                 32.9348                 1.04741                473.8531               24.581025
0.009206                  37.593                 1.24935                437.5508              23.3222796
0.009704                 42.5013                 1.46101                391.8756                 22.1337
0.010200                 47.6229                 1.68316                349.6368              21.0108708
0.010700                 52.9173                 1.91688                318.5839              19.9496898
0.011200                 58.3431                 2.16299                300.2965              18.9463662
0.011690                 63.8591                  2.4219                291.6248               17.997363
0.012190                 69.4247                 2.69354                287.2921              17.0994816
0.012690                 75.0003                 2.97746                282.2915              16.2497088
0.013190                 80.5472                 3.27288                273.3315              15.4453086
0.013680                 86.0278                 3.57874                259.2528               14.683644
0.014180                 91.4056                 3.89375                240.7113              13.9623516
0.014680                 96.6463                 4.21643                219.5123              13.2791004
0.015180                 101.719                 4.54516                197.8942              12.6317628
0.015670                 106.596                 4.87829                 177.943              12.0182652
0.016170                 111.255                 5.21416                161.2062               11.436741
0.016670                  115.68                 5.55117                148.5261              10.8853758
0.017170                 119.861                 5.88781                140.0502              10.3625082
0.017660                  123.79                  6.2227                135.3613               9.8665308
0.018160                 127.466                  6.5546                133.6737               9.3959712
0.018660                 130.892                 6.88236                134.0294                8.949429
0.019160                 134.071                 7.20501                135.4645                8.525628
0.019650                  137.01                 7.52168                 137.124               8.1232812
0.020150                 139.714                 7.83161                138.3268               7.7412366
0.020650                 142.192                 8.13416                138.5878               7.3784178
0.021150                 144.449                 8.42878                137.6121                7.033734
0.021640                 146.494                 8.71501                135.2708               6.7062474
0.022140                 148.333                 8.99248                131.5705               6.3950112
0.022640                 149.973                 9.26089                126.6219               6.0991542
0.023140                  151.42                 9.51999                120.6081               5.8178466
0.023630                 152.681                 9.76961                113.7563               5.5503396
0.024130                 153.763                 10.0096                106.3146               5.2958934
0.024630                 154.671                 10.2399                   98.53               5.0538564
0.025130                 155.413                 10.4603                 90.6343               4.8235446
0.025620                 155.995                 10.6709                 82.8322               4.6043982
0.026120                 156.423                 10.8716                 75.2904                4.395834
0.026620                 156.706                 11.0624                 68.1377                4.197348
0.027120                  156.85                 11.2433                61.46341               4.0084146
0.027610                 156.861                 11.4143                 55.3204                3.828555
0.028110                 156.748                 11.5753                49.72941               3.6573444
0.028610                 156.516                 11.7264                44.68513               3.4943256
0.029110                 156.172                 11.8676                40.16294                3.339135
0.029600                 155.724                 11.9989                36.12479               3.1913604
0.030100                 155.179                 12.1203                32.52492               3.0506454
0.030600                 154.542                 12.2318                29.31443               2.9166444
0.031100                  153.82                 12.3336                26.44503               2.7890172
0.031590                  153.02                 12.4255                23.87131               2.6674578
0.032090                 152.147                 12.5078                21.55265              2.55166074
0.032590                 151.208                 12.5804                19.45367                 2.44134
0.033090                 150.209                 12.6435                17.54458              2.33622882
0.033580                 149.154                 12.6971                15.80102              2.23605648
0.034080                 148.048                 12.7415                 14.2032              2.14059042
0.034580                 146.898                 12.7767                12.73555              2.04958224
0.035080                 145.707                 12.8029                11.38581              1.96281828
0.035570                  144.48                 12.8204                10.14432              1.88008182
0.036070                  143.22                 12.8293                 9.00356               1.8011745
0.036570                 141.932                 12.8299                 7.95737              1.72590066
0.037070                 140.619                 12.8225                 7.00065              1.65408336
0.037560                 139.285                 12.8073                6.128912              1.58554908
0.038060                 137.931                 12.7847                5.338028              1.52013438
0.038560                 136.561                  12.755                 4.62404               1.4576841
0.039060                 135.177                 12.7185                 3.98295              1.39805136
0.039550                 133.781                 12.6757                3.410678              1.34110062
0.040050                 132.375                 12.6268                 2.90301              1.28669652
0.040550                 130.961                 12.5723                2.455344              1.23471414
0.041050                 129.539                 12.5125                2.063818              1.18503846
0.041540                 128.112                 12.4479                1.723522              1.13755806
0.042040                  126.68                 12.3789                1.429851              1.09216404
0.042540                 125.246                 12.3058                1.178289              1.04876028
0.043040                 123.808                  12.229                0.964415               1.0072476
0.043530                  122.37                  12.149                0.783962              0.96753978
0.044030                 120.932                 12.0661               0.6328756              0.92955114
0.044530                 119.494                 11.9806               0.5073538              0.89320104
0.045030                 118.058                  11.893               0.4038796              0.85841082
0.045520                 116.625                 11.8035               0.3192449              0.82511046
0.046020                 115.195                 11.7126               0.2505609              0.79323246
0.046520                  113.77                 11.6204               0.1952575              0.76270662
0.047020                 112.351                 11.5272               0.1510765              0.73347606
0.047510                 110.938                 11.4335               0.1160573              0.70548066
0.048010                 109.533                 11.3392               0.0884479                0.678663
0.048510                 108.137                 11.2447               0.0669796              0.65297088
0.049010                 106.751                 11.1502              0.05036295              0.62835426
0.049500                 105.376                 11.0559              0.03759497              0.60476256
0.050000                 104.013                 10.9618               0.0278611               0.5821533
0.050500                 102.663                 10.8681              0.02049826              0.56047914
0.051000                 101.328                 10.7749              0.01497221               0.5397021
0.051490                 100.009                 10.6822              0.01085688              0.51977988
0.051990                 98.7054                 10.5902              0.00781581              0.50067594
0.052490                 97.4195                 10.4989             0.005585891              0.48235392
0.052990                 96.1519                 10.4083             0.003963341              0.46477638
0.053480                 94.9034                 10.3183             0.002791775              0.44791452
0.053980                 93.6748                 10.2291             0.001952314              0.43173594
0.054480                 92.4667                 10.1406             0.001355405              0.41620716
0.054980                 91.2797                 10.0527             0.000934195               0.4013028
0.055470                 90.1143                 9.96534              0.00063923              0.38699388
0.055970                 88.9708                 9.87857            0.0004342371              0.37325484
0.056470                 87.8497                 9.79229            0.0002928506               0.3600612
0.056970                  86.751                 9.70643            0.0001960722              0.34738632
0.057460                 85.6749                 9.62092            0.0001303273              0.33520932
0.057960                 84.6213                 9.53569             8.60013e-05              0.32350734
0.058460                 83.5902                 9.45067            2.398335e-05              0.31225842
0.058960                 82.5814                 9.36578                       0              0.30144456
0.059450                 81.5946                 9.28095                       0              0.29104524
0.059950                 80.6294                  9.1961                       0              0.28104282
0.060450                 79.6854                 9.11117                       0              0.27141912
0.060950                  78.762                 9.02608                       0              0.26215794
0.061440                 77.8588                 8.94078                       0             0.253242846
0.061940                  76.975                  8.8552                       0             0.244658898
0.062440                   76.11                 8.76928                       0             0.236391336
0.062940                  75.263                 8.68298                       0             0.228426768
0.063430                 74.4332                 8.59626                       0             0.220751424
0.063930                 73.6199                 8.50907                       0             0.213353334
0.064430                 72.8221                 8.42138                       0             0.206220096
0.064930                 72.0391                 8.33316                       0              0.19934046
0.065420                 71.2699                 8.24439                       0             0.192703266
0.065920                 70.5138                 8.15505                       0             0.186298704
0.066420                 69.7697                 8.06513                       0             0.180116604
0.066920                 69.0368                 7.97462                       0              0.17414784
0.067410                 68.3144                 7.88352                       0             0.168383286
0.067910                 67.6014                 7.79184                       0             0.162814734
0.068410                 66.8971                 7.69957                       0             0.157434102
0.068910                 66.2007                 7.60672                       0             0.152233902
0.069400                 65.5114                 7.51332                       0             0.147206664
0.069900                 64.8284                 7.41938                       0             0.142345674
0.070400                  64.151                 7.32492                       0             0.137644308
0.070900                 63.4785                 7.22996                       0             0.133096392
0.071390                 62.8102                 7.13452                       0             0.128696274
0.071890                 62.1455                 7.03864                       0              0.12443805
0.072390                 61.4839                 6.94234                       0             0.120316644
0.072890                 60.8247                 6.84566                       0               0.1163268
0.073380                 60.1675                 6.74861                       0             0.112463838
0.073880                 59.5118                 6.65125                       0             0.108723168
0.074380                 58.8571                 6.55359                       0             0.105100434
0.074880                  58.203                 6.45568                       0             0.101591568
0.075370                 57.5492                 6.35755                       0             0.098192502
0.075870                 56.8954                 6.25924                       0             0.094899798
0.076370                 56.2411                 6.16077                       0             0.091709496
0.076870                 55.5863                  6.0622                       0              0.08861823
0.077360                 54.9307                 5.96354                       0              0.08562285
0.077860                  54.274                 5.86485                       0              0.08272026
0.078360                 53.6161                 5.76615                       0             0.079907598
0.078860                 52.9569                 5.66748                       0             0.077181696
0.079350                 52.2962                 5.56888                       0             0.074540016
