channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                0.027078             2.85165e-08             0.012978132           0.00784764579
0.005724               0.0303931             4.33484e-08             0.021157094          0.006810566763
0.006221               0.0332432             6.28191e-08             0.031540785          0.005880327074
0.006719               0.0354442             8.62425e-08             0.042918137          0.005049585146
0.007216                0.036891             1.12229e-07             0.053357333          0.004310990849
0.007714                0.037573             1.39218e-07              0.06070776          0.003658834292
0.008211               0.0375579             1.66145e-07              0.06335816          0.003088178902
0.008709               0.0369595             1.92906e-07              0.06086893          0.002593771751
0.009206               0.0359076             2.20369e-07              0.05413549          0.002169665116
0.009704                0.034528             2.50018e-07             0.044995875          0.001809149167
0.010200               0.0329332             2.83466e-07             0.035507193          0.001505150757
0.010700               0.0312195             3.22109e-07             0.027267619          0.001250546243
0.011200               0.0294661             3.67016e-07             0.021068475           0.00103846236
0.011690               0.0277332             4.19013e-07             0.016932415          0.000862519125
0.012190                0.026062             4.78821e-07             0.014400027          0.000716967676
0.012690               0.0244743             5.47189e-07              0.01286176          0.000596745909
0.013190               0.0229751             6.24949e-07              0.01179481          0.000497480461
0.013680               0.0215565             7.13027e-07               0.0108639          0.000415451767
0.014180               0.0202021             8.12418e-07             0.009918022          0.000347538146
0.014680               0.0188926             9.24146e-07             0.008936648           0.00029114548
0.015180                 0.01761             1.04923e-06             0.007967772          0.000244154304
0.015670               0.0163405             1.18863e-06             0.007079397          0.000204842187
0.016170               0.0150771             1.34327e-06             0.006329165          0.000171825528
0.016670               0.0138188             1.51394e-06             0.005750396          0.000144000747
0.017170               0.0125709             1.70134e-06              0.00534998          0.000120488978
0.017660               0.0113429             1.90605e-06             0.005111918          0.000100589772
0.018160               0.0101468             2.12851e-06             0.005005441           8.3740984e-05
0.018660              0.00899585             2.36905e-06             0.004992701            6.948628e-05
0.019160               0.0079026             2.62784e-06             0.005035387           5.7450197e-05
0.019650              0.00687812             2.90498e-06             0.005099292           4.7317712e-05
0.020150              0.00593113             3.20046e-06             0.005156907           3.8821589e-05
0.020650              0.00506776             3.51421e-06             0.005188205           3.1730714e-05
0.021150              0.00429134             3.84608e-06             0.005180441           2.5844588e-05
0.021640              0.00360264             4.19594e-06             0.005127193           2.0986837e-05
0.022140              0.00300007             4.56363e-06             0.005027162           1.7003071e-05
0.022640              0.00248007             4.94902e-06              0.00488295           1.3757559e-05
0.023140              0.00203751             5.35201e-06              0.00469992           1.1131591e-05
0.023630              0.00166616             5.77261e-06             0.004485171            9.021871e-06
0.024130              0.00135903             6.21086e-06             0.004246682            7.339051e-06
0.024630              0.00110881             6.66697e-06             0.003992562            6.006426e-06
0.025130             0.000908125             7.14123e-06             0.003730509            4.958722e-06
0.025620             0.000749888             7.63409e-06             0.003467429            4.140882e-06
0.026120             0.000627413             8.14617e-06             0.003209029            3.506827e-06
0.026620             0.000534616             8.67825e-06             0.002959822            3.018451e-06
0.027120             0.000466071             9.23132e-06             0.002723058            2.644488e-06
0.027610             0.000417061             9.80654e-06              0.00250081            2.359562e-06
0.028110             0.000383562             1.04053e-05             0.002294114            2.143309e-06
0.028610             0.000362223             1.10292e-05             0.002103164            1.979521e-06
0.029110             0.000350295             1.16801e-05             0.001927509            1.855452e-06
0.029600              0.00034558               1.236e-05             0.001766261            1.761201e-06
0.030100             0.000346339             1.30713e-05             0.001618263            1.689129e-06
0.030600             0.000351236             1.38163e-05             0.001482242            1.633424e-06
0.031100             0.000359253             1.45977e-05             0.001356928            1.589709e-06
0.031590             0.000369641             1.54186e-05            0.0012411238            1.554721e-06
0.032090             0.000381849             1.62818e-05            0.0011337626            1.526053e-06
0.032590             0.000395493             1.71907e-05            0.0010339318             1.50195e-06
0.033090             0.000410307             1.81486e-05            0.0009408771            1.481142e-06
0.033580              0.00042612             1.91591e-05            0.0008539932           1.4627201e-06
0.034080             0.000442824             2.02256e-05            0.0007728095           1.4460379e-06
0.034580             0.000460366             2.13518e-05            0.0006969687           1.4306426e-06
0.035080             0.000478723             2.25414e-05            0.0006261998           1.4162142e-06
0.035570             0.000497904             2.37981e-05             0.000560296           1.4025291e-06
0.036070              0.00051793             2.51255e-05            0.0004991004           1.3894327e-06
0.036570             0.000538842             2.65274e-05            0.0004424789           1.3768119e-06
0.037070             0.000560685             2.80071e-05            0.0003903135           1.3645883e-06
0.037560             0.000583516             2.95682e-05             0.000342485           1.3527059e-06
0.038060             0.000607394             3.12139e-05            0.0002988663           1.3411208e-06
0.038560             0.000632384             3.29474e-05            0.0002593157           1.3297987e-06
0.039060             0.000658551             3.47715e-05            0.0002236737           1.3187147e-06
0.039550             0.000685967             3.66891e-05            0.0001917614           1.3078434e-06
0.040050               0.0007147             3.87025e-05            0.0001633799           1.2971696e-06
0.040550             0.000744823              4.0814e-05            0.0001383062           1.2866732e-06
0.041050             0.000776406             4.30256e-05           0.00011633251           1.2763404e-06
0.041540             0.000809522             4.53387e-05            9.720614e-05           1.2661557e-06
0.042040              0.00084424             4.77548e-05            8.068135e-05           1.2561064e-06
0.042540             0.000880629             5.02747e-05            6.651294e-05           1.2461792e-06
0.043040             0.000918756              5.2899e-05            5.445774e-05           1.2363622e-06
0.043530             0.000958685              5.5628e-05            4.428014e-05           1.2266439e-06
0.044030              0.00100048             5.84615e-05            3.575437e-05            1.217013e-06
0.044530              0.00104419              6.1399e-05            2.866817e-05           1.2074583e-06
0.045030              0.00108989             6.44394e-05            2.282466e-05           1.1979708e-06
0.045520               0.0011376             6.75816e-05             1.80438e-05           1.1885395e-06
0.046020              0.00118739             7.08236e-05            1.416314e-05           1.1791547e-06
0.046520              0.00123929             7.41635e-05           1.1037923e-05           1.1698082e-06
0.047020              0.00129333             7.75986e-05            8.540892e-06           1.1604892e-06
0.047510              0.00134954              8.1126e-05            6.561466e-06           1.1511889e-06
0.048010              0.00140795             8.47424e-05            5.001291e-06           1.1419005e-06
0.048510              0.00146857             8.84441e-05            3.787462e-06           1.1326152e-06
0.049010               0.0015314             9.22271e-05            2.847847e-06           1.1233237e-06
0.049500              0.00159645             9.60868e-05            2.125863e-06           1.1140201e-06
0.050000              0.00166371             0.000100019            1.575447e-06           1.1046962e-06
0.050500              0.00173317             0.000104017           1.1591023e-06           1.0953461e-06
0.051000               0.0018048             0.000108078            8.466247e-07           1.0859613e-06
0.051490              0.00187859             0.000112194            6.139171e-07           1.0765364e-06
0.051990              0.00195448              0.00011636            4.419556e-07           1.0670661e-06
0.052490              0.00203245             0.000120571            3.158625e-07           1.0575442e-06
0.052990              0.00211243             0.000124818             2.24113e-07           1.0479645e-06
0.053480              0.00219436             0.000129096            1.578651e-07           1.0383245e-06
0.053980              0.00227819             0.000133399           1.1039641e-07           1.0286178e-06
0.054480              0.00236383             0.000137718            7.664329e-08           1.0188404e-06
0.054980              0.00245121             0.000142047            5.282554e-08           1.0089906e-06
0.055470              0.00254023              0.00014638            3.614622e-08            9.990628e-07
0.055970              0.00263081             0.000150708            2.455458e-08            9.890548e-07
0.056470              0.00272285             0.000155024            1.655968e-08            9.789646e-07
0.056970              0.00281623             0.000159321           1.1087174e-08            9.687904e-07
0.057460              0.00291084             0.000163592            7.369538e-09            9.585299e-07
0.057960              0.00300657             0.000167829            4.863066e-09            9.481825e-07
0.058460              0.00310329             0.000172026            1.356172e-09            9.377476e-07
0.058960              0.00320088             0.000176174                       0            9.272244e-07
0.059450               0.0032992             0.000180266                       0            9.166138e-07
0.059950              0.00339811             0.000184297                       0            9.059155e-07
0.060450              0.00349749             0.000188258                       0             8.95131e-07
0.060950              0.00359717             0.000192143                       0            8.842615e-07
0.061440              0.00369703             0.000195945                       0            8.733076e-07
0.061940              0.00379691             0.000199659                       0            8.622738e-07
0.062440              0.00389666             0.000203276                       0            8.511592e-07
0.062940              0.00399613             0.000206792                       0              8.3997e-07
0.063430              0.00409518               0.0002102                       0            8.287067e-07
0.063930              0.00419364             0.000213496                       0            8.173737e-07
0.064430              0.00429137             0.000216672                       0            8.059736e-07
0.064930              0.00438821             0.000219725                       0             7.94512e-07
0.065420              0.00448402             0.000222649                       0            7.829925e-07
0.065920              0.00457864              0.00022544                       0            7.714189e-07
