channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0             0.124122906
0.001246                       0                       0                       0             0.149308182
0.001744                       0                       0                       0              0.33340554
0.002241                       0                       0                       0              0.89926056
0.002739                       0                       0                       0              1.63624104
0.003236                0.171863                       0                       0                2.734029
0.003734                0.447506                       0                       0               3.7883268
0.004231                0.816573                       0                       0               5.1147954
0.004729                 1.38347                       0                       0               6.4230678
0.005226                 2.01544                       0                       0               7.6114836
0.005724                 2.76517                       0                       0               8.7165324
0.006221                 3.65703                       0                       0                9.823014
0.006719                 4.69081                       0                       0               10.849887
0.007216                 5.92357                       0                       0                  11.808
0.007714                 7.41085                       0                       0              12.7017882
0.008211                 9.17548                       0              -0.3481982               13.540653
0.008709                 11.0593                       0              -0.1579958              14.1438762
0.009206                 13.1301                       0               0.1035258              14.6248668
0.009704                 15.4431                       0               0.4337281              15.0810804
0.010200                 18.0014                       0                0.832824              15.5140776
0.010700                 20.8355                       0                1.301214              15.9270354
0.011200                 24.0263                       0                1.839104              16.3207206
0.011690                 27.6582                       0                2.446848              16.6978332
0.012190                 31.8055                       0                3.124835              17.0586828
0.012690                 35.7413                       0                3.808077              17.0786502
0.013190                  39.964                       0                4.536732              17.0826966
0.013680                 44.4417                       0                5.311993              17.0855964
0.014180                  49.072                       0                6.100687              17.0343036
0.014680                 53.8358                       0                 6.91859              16.9728822
0.015180                 58.6946                       0                 7.77136              16.9121556
0.015670                 63.6184                       0                 8.66645                16.85403
0.016170                 68.5811                0.323383                  9.6188              16.7967522
0.016670                 73.5909                0.408873                10.64389              16.7415966
0.017170                 78.6481                0.525894                11.75359              16.6873806
0.017660                 83.7602                 0.64341                12.95862               16.634952
0.018160                 88.1029                0.757656                14.15406              16.4379456
0.018660                 91.4886                0.886297                15.30756              16.0898958
0.019160                 94.7713                 1.04143                16.53331              15.7503672
0.019650                 97.9585                 1.19112                 17.8333               15.419502
0.020150                  101.05                 1.33942                19.20798               15.096582
0.020650                  104.04                 1.51374                20.65574               14.781294
0.021150                 106.925                 1.70893                22.17768               14.473404
0.021640                 109.698                 1.91197                23.77256              14.1723414
0.022140                 112.356                 2.12282                25.43687              13.8768984
0.022640                 114.866                 2.34585                 27.1276              13.5757476
0.023140                 117.255                 2.58964                28.87501              13.2800778
0.023630                 119.518                 2.85308                30.67816              12.9902454
0.024130                 121.659                 3.11931                32.53495              12.7066914
0.024630                 123.671                 3.38496                34.43889              12.4283628
0.025130                 125.568                 3.67319                36.38742              12.1559742
0.025620                 127.346                 3.99778                38.37217              11.8883286
0.026120                 129.025                 4.33905                40.39623              11.6262468
0.026620                 130.164                 4.64777                42.30957              11.3291244
0.027120                 130.929                 4.93178                44.14791              11.0147382
0.027610                 131.557                 5.22568                45.97241              10.7053182
0.028110                 132.071                 5.54126                 47.7856               10.402002
0.028610                 132.451                 5.85694                49.57035              10.1032398
0.029110                 132.721                 6.15189                 51.3286               9.8102574
0.029600                 132.862                 6.42544                53.04853               9.5214582
0.030100                 132.895                 6.70229                 54.7286               9.2381346
0.030600                 132.798                 7.00154                56.35305               8.9586594
0.031100                 132.594                 7.32108                57.92236               8.6843538
0.031590                  132.26                 7.63693                59.41903               8.4136788
0.032090                 131.816                 7.93069                60.84313                8.147781
0.032590                 131.243                 8.19821                62.17948               7.8853968
0.033090                 130.555                 8.44808                63.42773               7.6273974
0.033580                 129.737                 8.68589                64.57379               7.3727946
0.034080                 128.802                 8.91736                 65.6201               7.1222616
0.034580                 127.735                 9.14321                66.55252               6.8749704
0.035080                 126.544                 9.36493                67.36965               6.6314952
0.035570                 125.219                 9.58086                 68.0614               6.3911574
0.036070                 123.827                 9.78662                 68.8495               6.1653294
0.036570                 122.304                  9.9741                 69.5404               5.9433264
0.037070                 120.652                   10.14                 70.1218               5.7244446
0.037560                 118.862                   10.28                 70.5833               5.5083222
0.038060                 116.938                 10.3926                 70.9263               5.2951356
0.038560                 114.878                 10.4757                 71.1456               5.0847768
0.039060                  114.69                 10.7023                 72.2456               4.9537116
0.039550                 114.689                 10.9378                 73.4122               4.8338496
0.040050                 114.634                 11.1653                 74.6062               4.7154942
0.040550                 114.518                 11.3861                 75.8185               4.5985968
0.041050                 114.341                 11.6006                 76.7739               4.4830782
0.041540                 114.105                 11.8075                  77.665               4.3689708
0.042040                 113.807                  12.004                 78.4856               4.2561972
0.042540                 113.446                 12.1892                 79.2341               4.1447484
0.043040                  113.02                 12.3647                 79.9072               4.0345542
0.043530                  112.53                 12.5334                 80.5051                3.925665
0.044030                 111.973                 12.6973                 81.0255                3.817944
0.044530                 111.351                 12.8565                 81.4664                3.711492
0.045030                 110.656                 13.0042                 81.8228               3.6061398
0.045520                 109.893                 13.1316                 82.0963               3.5020188
0.046020                 109.053                 13.2303                 82.2819               3.3989274
0.046520                 108.139                 13.2947                 82.3811               3.2970366
0.047020                 107.144                 13.3269                 82.3877               3.1961196
0.047510                 106.071                 13.3375                 82.3047               3.0963618
0.048010                 104.912                 13.3345                 82.1247               2.9975292
0.048510                 103.672                 13.3259                  81.852               2.8998198
0.049010                 102.341                 13.3114                 81.4781               2.8029852
0.049500                 100.926                 13.2869                 81.0081               2.7072432
0.050000                 99.4165                 13.2467                 80.4323               2.6123274
0.050500                 97.8208                 13.1877                 79.7577              2.51847648
0.051000                 96.1287                 13.1056                  78.975               2.4254145
0.051490                  94.348                      13                 78.0903              2.33336862
0.051990                 92.4677                 12.8688                  77.093              2.24209206
0.052490                 90.4954                 12.7129                 75.9889              2.15178462
0.052990                 88.4219                 12.5308                 74.7694               2.0622276
0.053480                 86.2548                 12.3257                 73.4403              1.97359128
0.053980                 83.9861                 12.1026                 71.9945               1.8856926
0.054480                 81.6207                 11.8666                 70.4338               1.7986662
0.054980                 79.1518                 11.6201                68.75177              1.71236394
0.055470                 76.5856                 11.3662                 66.9543              1.62689004
0.055970                 73.9153                 11.0955                65.03355               1.5421284
0.056470                 71.1439                 10.7992                62.99059              1.45815336
0.056970                 70.1078                 10.7394                62.15056              1.40805378
0.057460                 70.3903                 10.8493                 62.4119              1.38464802
0.057960                 70.7163                 10.9396                63.00814              1.36591902
0.058460                 71.0275                 11.0167                63.59114              1.34735634
0.058960                 71.3212                 11.0883                64.15635              1.32894666
0.059450                 71.5978                 11.1609                64.70509               1.3106916
0.059950                 71.8579                 11.2412                 65.2381              1.29258846
0.060450                 72.0994                 11.3276                65.75157              1.27463418
0.060950                  72.325                  11.416                66.25058              1.25682372
0.061440                 72.5313                 11.4992                 66.7292              1.23915816
0.061940                  72.721                 11.5721                67.19178              1.22163588
0.062440                 72.8915                 11.6306                67.63396               1.2042504
0.062940                 73.0449                 11.6745                 68.0594              1.18700586
0.063430                 73.1787                 11.7094                 68.4638              1.16989434
0.063930                 73.2956                 11.7402                 68.8511              1.15291746
0.064430                 73.3924                 11.7705                 69.2156              1.13606622
0.064930                 73.4735                 11.8062                 69.5638              1.11935286
0.065420                 73.5348                 11.8453                 69.8888              1.10275596
0.065920                 73.5802                 11.8862                  70.196              1.08629586
0.066420                 73.6066                 11.9239                 70.4804              1.06994718
0.066920                 73.6163                 11.9556                 70.7446              1.05373134
0.067410                 73.6082                 11.9777                 70.9875              1.03762314
0.067910                 73.5828                 11.9888                  71.208              1.02164688
0.068410                 73.5404                 11.9888                 71.4078               1.0057716
0.068910                 73.4813                 11.9813                 71.5854              0.99002592
0.069400                 73.4035                 11.9681                 71.7383              0.97437762
0.069900                  73.311                 11.9522                 71.8722              0.95885478
0.070400                 73.1996                 11.9337                 71.9803              0.94342824
0.070900                 73.0723                 11.9125                  72.066              0.92812392
