channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0             0.006346954
0.001246                       0                       0                       0             0.007632213
0.001744                       0                       0                       0              0.01697395
0.002241                       0                       0                       0              0.04745668
0.002739                       0                       0                       0              0.08674321
0.003236                0.165644                       0                       0               0.1453184
0.003734                 0.43141                       0                       0               0.2011679
0.004231                0.781192                       0                       0               0.2694141
0.004729                  1.3168                       0                       0               0.3366024
0.005226                 1.91221                       0                       0               0.3976271
0.005724                 2.61548                       0                       0               0.4537797
0.006221                 3.43948                       0                       0               0.5081024
0.006719                 4.39203                       0                       0               0.5584309
0.007216                  5.5266                       0                       0               0.6053752
0.007714                 6.89447                       0                       0               0.6491732
0.008211                 8.51593                       0              -0.3177871               0.6902694
0.008709                 10.2338                       0              -0.1437407               0.7185675
0.009206                 12.1069                       0               0.0938182               0.7399983
0.009704                 14.1944                       0               0.3916922               0.7603392
0.010200                  16.498                       0                0.749739               0.7796234
0.010700                 19.0457                       0                1.168067               0.7980271
0.011200                 21.9097                       0                1.646606               0.8155529
0.011690                 25.1663                       0                2.185515               0.8323518
0.012190                  28.881                       0                2.784932                0.848414
0.012690                 32.4024                       0                3.387696               0.8478848
0.013190                 36.1443                       0                4.026163               0.8459888
0.013680                 40.1022                       0                4.703816               0.8441769
0.014180                 44.1843                       0                5.392415               0.8399189
0.014680                 48.3708                       0                6.104017                0.835185
0.015180                  52.627                       0                 6.84392                0.830537
0.015670                 56.9266                       0                 7.61858               0.8260727
0.016170                 61.2457                0.278123                 8.44099                0.821696
0.016670                 65.5925                0.350886                 9.32454               0.8174725
0.017170                 69.9672                 0.45036                10.27932                0.813336
0.017660                 74.3767                0.549873                11.31446               0.8093307
0.018160                 78.2042                0.647349                12.35362               0.7994543
0.018660                 81.1426                0.756765                13.35024               0.7819188
0.019160                 83.9834                0.888635                14.40809               0.7648135
0.019650                 86.7334                 1.01567                15.52878               0.7481463
0.020150                 89.3925                 1.14134                16.71244                0.731877
0.020650                 91.9556                 1.28898                17.95744               0.7159947
0.021150                  94.419                 1.45416                19.26457               0.7004836
0.021640                  96.777                 1.62575                20.63247               0.6853164
0.022140                 99.0289                 1.80371                22.05998               0.6704722
0.022640                 101.147                 1.99172                23.51176               0.6554276
0.023140                 103.152                 2.19704                25.01022               0.6406573
0.023630                  105.04                 2.41866                26.55459               0.6261772
0.024130                 106.814                 2.64226                28.14288               0.6120113
0.024630                 108.469                 2.86497                 29.7692               0.5981079
0.025130                 110.016                 3.10637                31.43122               0.5844995
0.025620                 111.452                 3.37803                33.12148               0.5711281
0.026120                 112.796                 3.66324                 34.8425               0.5580356
0.026620                 113.808                 3.92616                36.50564               0.5439406
0.027120                  114.53                 4.16899                38.11338               0.5291349
0.027610                 115.135                 4.42063                39.71186               0.5145624
0.028110                 115.642                 4.69111                41.30338               0.5002785
0.028610                 116.036                 4.96223                42.87333               0.4862084
0.029110                 116.335                 5.21635                44.42346               0.4724115
0.029600                 116.525                 5.45292                45.94385               0.4588097
0.030100                 116.623                 5.69286                47.43309               0.4454672
0.030600                  116.61                  5.9525                48.87795                0.432305
0.031100                 116.506                 6.23013                50.27875               0.4193873
0.031590                 116.292                 6.50543                51.62064               0.4066401
0.032090                 115.983                 6.76274                52.90371               0.3941179
0.032590                 115.565                 6.99855                54.11502               0.3817605
0.033090                  115.05                 7.22015                55.25447               0.3696111
