channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                 15.2272                0.109374                156.4465               52.008606
0.005724                 19.0707                0.182063                252.9626               49.339404
0.006221                 23.4391                 0.28409                372.2816               46.815732
0.006719                 28.3302                0.416855                499.4879               44.425332
0.007216                 33.7361                0.578254                612.7416               42.159834
0.007714                 39.6448                0.763586                 690.323               40.013838
0.008211                 46.0386                0.967416                 719.076               37.982466
0.008709                 52.8901                 1.18543                 699.723               36.061056
0.009206                 60.1596                 1.41543                 646.028               34.243974
0.009704                  67.795                 1.65722                578.4398               32.525442
0.010200                 75.7344                 1.91179                515.8893               30.899646
0.010700                 83.9099                 2.18046                469.8517               29.361024
0.011200                 92.2515                 2.46426                442.6877               27.904446
0.011690                 100.691                 2.76371                429.7666               26.525106
0.012190                 109.163                 3.07879                423.3055               25.218504
0.012690                 117.608                 3.40907                415.9113                23.98068
0.013190                  125.97                 3.75371                402.7177                 22.8078
0.013680                 134.197                 4.11156                382.0011              21.6963666
0.014180                 142.241                  4.4812                 354.718               20.642976
0.014680                 150.058                 4.86099                323.5207              19.6445232
0.015180                 157.611                 5.24915                291.7034               18.698004
0.015670                 164.865                 5.64383                262.3359              17.8005654
0.016170                 171.793                 6.04317                237.6981              16.9494732
0.016670                 178.376                 6.44537                219.0291              16.1422218
0.017170                 184.598                 6.84873                206.5474              15.3763416
0.017660                 190.451                 7.25166                199.6379               14.649561
0.018160                 195.934                 7.65274                197.1441                13.95972
0.018660                 201.047                 8.05066                197.6548               13.304763
0.019160                 205.795                 8.44428                199.7497               12.682782
0.019650                 210.184                 8.83254                202.1699               12.091995
0.020150                 214.223                 9.21455                203.9116              11.5306506
0.020650                 217.921                  9.5895                204.2607              10.9971684
0.021150                 221.287                 9.95669                202.7828                10.49004
0.021640                 224.331                 10.3155                199.2885              10.0078254
0.022140                 227.064                 10.6654                193.7893               9.5492088
0.022640                 229.496                  11.006                186.4487               9.1129212
0.023140                 231.639                 11.3368                177.5374               8.6978034
0.023630                 233.502                 11.6575                167.3922               8.3027502
0.024130                 235.099                 11.9679                156.3788               7.9267032
0.024630                 236.439                 12.2676                 144.864                7.568703
0.025130                 237.536                 12.5564                133.1897               7.2278478
0.025620                   238.4                 12.8342                121.6576               6.9032808
0.026120                 239.043                 13.1007                110.5148               6.5941668
0.026620                 239.477                 13.3557                 99.9513               6.2997786
0.027120                 239.713                 13.5992                  90.099               6.0193692
0.027610                 239.762                  13.831                 81.0358               5.7522744
0.028110                 239.635                 14.0509                 72.7914               5.4978156
0.028610                 239.344                 14.2588                 65.3584               5.2554168
0.029110                 238.897                 14.4547                58.69944                5.024457
0.029600                 238.305                 14.6385                52.75824               4.8043962
0.030100                 237.577                   14.81                47.46664                4.594698
0.030600                 236.723                 14.9693                 42.7521               4.3948512
0.031100                 235.751                 15.1163                38.54274               4.2043806
0.031590                 234.669                  15.251                34.77123                4.022829
0.032090                 233.486                 15.3734                  31.377               3.8497446
0.032590                 232.209                 15.4837                28.30759               3.6846972
0.033090                 230.845                 15.5818                25.51871               3.5273232
0.033580                   229.4                 15.6679                22.97392               3.3772356
0.034080                 227.882                 15.7422                 20.6439               3.2340438
0.034580                 226.296                 15.8048                18.50528               3.0974418
0.035080                 224.648                 15.8559                 16.5398               2.9670858
0.035570                 222.942                 15.8958                14.73309               2.8426662
0.036070                 221.183                 15.9248                13.07375                2.723895
0.036570                 219.376                 15.9431                11.55269               2.6104914
0.037070                 217.525                 15.9511                10.16224               2.5021908
0.037560                 215.633                 15.9492                 8.89572               2.3987412
0.038060                 213.703                 15.9377                   7.747              2.29991076
0.038560                 211.738                 15.9171                 6.71019              2.20546602
0.039060                  209.74                 15.8878                5.779405              2.11520052
0.039550                 207.713                 15.8502                4.948698              2.02891446
0.040050                 205.658                 15.8048                4.211866              1.94641002
0.040550                 203.577                  15.752                 3.56219              1.86751134
0.041050                 201.472                 15.6924                2.994051              1.79204454
0.041540                 199.344                 15.6263                2.500291              1.71984816
0.042040                 197.196                 15.5544                 2.07421              1.65077118
0.042540                 195.028                  15.477                1.709244              1.58466564
0.043040                 192.843                 15.3946                1.398968              1.52139438
0.043530                 190.642                 15.3078                1.137189              1.46082852
0.044030                 188.427                 15.2168                0.918016              1.40284206
0.044530                 186.199                 15.1223                0.735932              1.34732052
0.045030                 183.961                 15.0245               0.5858353              1.29414978
0.045520                 181.713                 14.9239               0.4630681              1.24322508
0.046020                 179.459                 14.8209               0.3634393               1.1944467
0.046520                   177.2                 14.7159               0.2832202              1.14771888
0.047020                 174.938                  14.609               0.2191353              1.10294982
0.047510                 172.675                 14.5008               0.1683396              1.06005528
0.048010                 170.414                 14.3913               0.1282911              1.01894922
0.048510                 168.156                  14.281               0.0971521              0.97955838
0.049010                 165.904                   14.17               0.0730501              0.94180392
0.049500                  163.66                 14.0585              0.05453048              0.90561438
0.050000                 161.427                 13.9467              0.04041178               0.8709246
0.050500                 159.206                 13.8348              0.02973217               0.8376678
0.051000                 156.999                 13.7228              0.02171677              0.80578188
0.051490                  154.81                 13.6109               0.0157476              0.77520834
0.051990                 152.639                 13.4992              0.01133662              0.74588922
0.052490                 150.489                 13.3876              0.00810219               0.7177716
0.052990                 148.361                 13.2763             0.005748712              0.69080166
0.053480                 146.258                 13.1653             0.004049395              0.66493116
0.053980                  144.18                 13.0546              0.00283178              0.64011294
0.054480                 142.129                 12.9441             0.001965977              0.61629912
0.054980                 140.106                 12.8339             0.001355026              0.59344848
0.055470                 138.112                 12.7239             0.000927187              0.57151944
0.055970                 136.149                  12.614              0.00062985              0.55046916
0.056470                 134.217                 12.5043            0.0004247721               0.5302629
0.056970                 132.316                 12.3946            0.0002843973              0.51085962
0.057460                 130.447                 12.2849            0.0001890362              0.49223016
0.057960                  128.61                 12.1751            0.0001247424              0.47433546
0.058460                 126.806                 12.0652            3.478719e-05              0.45714438
0.058960                 125.034                 11.9551                       0              0.44062902
0.059450                 123.294                 11.8447                       0              0.42475914
0.059950                 121.586                  11.734                       0               0.4095036
0.060450                 119.909                 11.6229                       0                0.394839
0.060950                 118.263                 11.5113                       0                0.380736
0.061440                 116.646                 11.3992                       0                0.367173
0.061940                  115.06                 11.2866                       0              0.35412804
0.062440                 113.502                 11.1733                       0              0.34157286
0.062940                 111.971                 11.0594                       0              0.32949126
0.063430                 110.467                 10.9448                       0                0.317862
0.063930                 108.989                 10.8296                       0              0.30666402
0.064430                 107.536                 10.7136                       0              0.29587932
0.064930                 106.106                 10.5969                       0              0.28549062
0.065420                 104.698                 10.4794                       0              0.27548082
0.065920                 103.311                 10.3612                       0              0.26583444
0.066420                 101.945                 10.2423                       0               0.2565351
0.066920                 100.598                 10.1226                       0               0.2475693
0.067410                 99.2685                 10.0022                       0             0.238922802
0.067910                 97.9559                  9.8811                       0             0.230582502
0.068410                 96.6591                 9.75933                       0             0.222535584
0.068910                 95.3771                  9.6369                       0              0.21477078
0.069400                 94.1088                 9.51385                       0             0.207276048
0.069900                 92.8533                 9.39021                       0              0.20004102
0.070400                 91.6097                 9.26602                       0              0.19305549
0.070900                 90.3771                 9.14131                       0             0.186309648
0.071390                 89.1547                 9.01612                       0             0.179794044
0.071890                 87.9419                  8.8905                       0             0.173500182
0.072390                 86.7378                 8.76449                       0             0.167419206
0.072890                 85.5418                 8.63813                       0              0.16154361
0.073380                 84.3533                 8.51147                       0             0.155865474
0.073880                 83.1718                 8.38456                       0             0.150377724
0.074380                 81.9968                 8.25744                       0             0.145073448
0.074880                 80.8278                 8.13015                       0             0.139946004
0.075370                 79.6644                 8.00275                       0             0.134989002
0.075870                 78.5064                 7.87527                       0             0.130196772
0.076370                 77.3534                 7.74778                       0             0.125563266
0.076870                 76.2053                  7.6203                       0             0.121083102
0.077360                 75.0616                 7.49289                       0             0.116751186
0.077860                 73.9224                  7.3656                       0             0.112562424
0.078360                 72.7875                 7.23846                       0              0.10851192
0.078860                 71.6569                 7.11153                       0             0.104595426
0.079350                 70.5304                 6.98484                       0               0.1008081
0.079850                  69.408                 6.85844                       0              0.09714618
0.080350                 68.2899                 6.73236                       0             0.093605112
0.080850                  67.176                 6.60666                       0             0.090181584
