channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0             0.121688154
0.001246                       0                       0                       0             0.147542364
0.001744                       0                       0                       0              0.35476596
0.002241                       0                       0                       0              0.96384672
0.002739                       0                       0                       0              1.79753004
0.003236                0.193438                       0                       0               2.9282724
0.003734                0.525419                       0                       0                4.113612
0.004231                0.961434                       0                       0               5.5182528
0.004729                 1.61924                       0                       0               6.8757282
0.005226                 2.35026                       0                       0               8.1090108
0.005724                 3.22031                       0                       0               9.2548152
0.006221                 4.24946                       0                       0              10.3707486
0.006719                   5.441                       0                       0              11.4044328
0.007216                 6.86123                       0                       0              12.3686046
0.007714                 8.57422                       0                       0              13.2681024
0.008211                 10.6066                       0              -0.3481983              14.1123492
0.008709                 12.8009                       0              -0.1579957              14.7167172
0.009206                 15.1251                       0               0.1035259              15.1565634
0.009704                 17.7134                       0               0.4337281              15.5739024
0.010200                 20.5674                       0                0.832825              15.9694812
0.010700                 23.7216                       0                1.301214              16.3469448
0.011200                 27.2657                       0                1.839103              16.7063256
0.011690                 31.2942                       0                2.446846              17.0507322
0.012190                 35.8876                       0                3.124834              17.3799828
0.012690                 40.5282                       0                3.808078              17.4195576
0.013190                 45.5471                       0                4.536732              17.4445416
0.013680                 50.8811                       0                5.311992              17.4651714
0.014180                 55.9444                       0                6.100686              17.3693718
0.014680                 60.9917                       0                 6.91859              17.2499382
0.015180                 66.0879                       0                 7.77138              17.1329184
0.015670                 71.2013                       0                 8.66644              17.0203302
0.016170                 76.3016                 0.25164                 9.61879               16.910082
0.016670                 81.4005                0.316755                10.64389              16.8036192
0.017170                 86.4979                0.405656                11.75358              16.6994712
0.017660                 91.6038                0.494227                12.95864              16.5985056
0.018160                 96.1252                0.580164                14.15406              16.3782396
0.018660                 99.9313                0.677255                15.30757              16.0333884
0.019160                 103.635                0.794113                16.53331              15.6969882
0.019650                 107.245                0.906292                17.83328              15.3691794
0.020150                 110.761                  1.0169                19.20797              15.0492006
0.020650                 114.177                 1.14668                20.65575              14.7368466
0.021150                 117.487                  1.2916                 22.1777              14.4317844
0.021640                 120.685                 1.44171                23.77256              14.1334812
0.022140                 123.735                 1.59692                25.43687              13.8393144
0.022640                 126.303                 1.76045                27.12758              13.5252702
0.023140                 128.691                 1.93864                  28.875              13.2156252
0.023630                 130.925                  2.1305                30.67816              12.9120696
0.024130                 133.011                 2.32335                32.53496              12.6151092
0.024630                  134.94                 2.51462                34.43889               12.323628
0.025130                 136.728                 2.72147                36.38744              12.0383424
0.025620                  138.37                 2.95387                38.37215              11.7580446
0.026120                  139.89                 3.19707                40.39621              11.4835518
0.026620                 140.965                 3.41956                42.30958              11.1823038
0.027120                 141.723                 3.62617                44.14792              10.8686682
0.027610                  142.33                 3.83967                 45.9724              10.5599736
0.028110                 142.809                 4.06871                47.78562              10.2573846
0.028610                  143.14                 4.29736                49.57033                9.959328
0.029110                 143.348                 4.51035                51.32856               9.6670548
0.029600                 143.413                 4.70719                53.04853               9.3789306
0.030100                 143.357                 4.90595                 54.7285               9.0962784
0.030600                 143.157                 5.12058                56.35303               8.8174764
0.031100                 142.837                 5.34945                 57.9223                8.543817
0.031590                 142.374                 5.57498                59.41912               8.2738062
0.032090                 141.786                 5.78369                60.84304               8.0085456
0.032590                 141.056                 5.97258                62.17948               7.7467698
0.033090                 140.197                  6.1479                63.42804               7.4894148
0.033580                 139.193                  6.3137                64.57372               7.2354024
0.034080                 138.059                 6.47411                65.62016               6.9854814
