channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0             0.006711144
0.001246                       0                       0                       0             0.008144367
0.001744                       0                       0                       0              0.01971384
0.002241                       0                       0                       0              0.05394969
0.002739                       0                       0                       0              0.09988423
0.003236                0.191584                       0                       0               0.1620036
0.003734                0.515819                       0                       0               0.2260044
0.004231                0.934712                       0                       0               0.2999954
0.004729                 1.56507                       0                       0               0.3714069
0.005226                 2.26326                       0                       0               0.4362723
0.005724                 3.09053                       0                       0               0.4960618
0.006221                  4.0577                       0                       0               0.5526148
0.006719                 5.17491                       0                       0               0.6049118
0.007216                 6.50516                       0                       0               0.6536808
0.007714                 8.10861                       0                       0               0.6991829
0.008211                 10.0094                       0              -0.3295543               0.7418825
0.008709                 12.0529                       0              -0.1491003               0.7715459
0.009206                 14.1985                       0               0.0973508               0.7919005
0.009704                 16.5833                       0               0.4065708               0.8112272
0.010200                 19.2075                       0                0.778444                0.829523
0.010700                 22.1033                       0                1.213102                0.846993
0.011200                 25.3526                       0                1.710506               0.8636084
0.011690                 29.0425                       0                2.270828               0.8795411
0.012190                 33.2458                       0                2.894235                0.894758
0.012690                 37.4975                       0                3.523189               0.8956936
0.013190                 42.0647                       0                4.189714               0.8952773
0.013680                 46.9212                       0                4.897831               0.8948613
0.014180                 51.5441                       0                5.618006               0.8888627
0.014680                 56.1324                       0                6.362665               0.8815603
0.015180                 60.7561                       0                 7.13749               0.8744174
0.015670                 65.3864                       0                 7.94934               0.8675403
0.016170                 69.9955                 0.22976                 8.81176               0.8608156
0.016670                 74.5944                0.288601                 9.73876               0.8543182
0.017170                 79.1829                0.368833                  10.741                0.847966
0.017660                 83.7704                0.448453                11.82811                0.841809
0.018160                 87.9178                 0.52631                12.92321               0.8307801
0.018660                 91.3831                0.613878                13.97402               0.8130863
0.019160                 94.7534                 0.71919                15.09035               0.7958265
0.019650                 98.0363                0.820076                16.27404               0.7790073
0.020150                 101.232                0.919346                 17.5254               0.7625905
0.020650                 104.334                 1.03574                 18.8429                0.746564
0.021150                 107.338                 1.16557                20.22754               0.7309112
0.021640                 110.238                 1.29981                21.67809               0.7156069
0.022140                 113.022                 1.43836                23.19354               0.7006003
0.022640                  115.32                 1.58409                24.72734               0.6844018
0.023140                 117.437                 1.74267                26.30997               0.6683806
0.023630                 119.408                 1.91316                27.94188                0.652673
0.024130                 121.241                 2.08413                29.62105               0.6373076
0.024630                 122.926                 2.25326                31.34143               0.6222256
0.025130                 124.479                  2.4359                33.10052               0.6074645
0.025620                 125.895                 2.64089                34.89067                 0.59296
0.026120                 127.195                 2.85498                36.71457               0.5787569
0.026620                 128.194                 3.05374                38.46953               0.5637222
0.027120                 128.922                  3.2387                40.15335               0.5480663
0.027610                 129.514                 3.42989                 41.8261               0.5326562
0.028110                 129.992                 3.63502                 43.4902               0.5175518
0.028610                 130.337                 3.83991                45.13011               0.5026726
0.029110                 130.571                 4.03088                46.74765               0.4880823
0.029600                 130.678                 4.20751                48.33229               0.4736996
0.030100                 130.677                 4.38596                49.88249               0.4595904
0.030600                 130.547                 4.57869                51.38425               0.4456728
0.031100                  130.31                 4.78427                52.83783               0.4320111
0.031590                 129.944                 4.98699                54.22765               0.4185323
0.032090                 129.468                  5.1748                55.55335               0.4052904
0.032590                 128.863                   5.345                56.80173               0.3922235
0.033090                 128.144                  5.5032                57.97234               0.3793761
0.033580                 127.295                 5.65302                59.05213               0.3666964
0.034080                  126.33                 5.79816                60.04388               0.3542197
0.034580                 125.233                 5.93906                60.93446               0.3419052
0.035080                 124.013                 6.07665                61.72249               0.3297805
0.035570                 122.658                 6.20979                62.39897               0.3178105
0.036070                 121.778                 6.33562                63.13304               0.3070305
0.036570                 120.939                 6.44884                63.80463               0.2966466
0.037070                 119.999                 6.54728                64.37904                0.286409
0.037560                 118.949                 6.62815                64.84619                0.276301
0.038060                 117.792                 6.69047                65.20774                0.266329
0.038560                 116.524                 6.73264                65.45692                0.256481
0.039060                 116.224                 6.85719                66.33799               0.2494483
0.039550                 116.207                 7.00595                67.40166               0.2433744
0.040050                 116.133                 7.14939                68.49004               0.2373763
0.040550                 115.997                 7.28844                69.59418               0.2314525
0.041050                 115.798                 7.42319                70.46266               0.2255989
0.041540                  115.54                 7.55293                 71.2709               0.2198161
0.042040                 115.217                 7.67584                 72.0142               0.2140995
0.042540                  114.83                 7.79129                 72.6905               0.2084524
0.043040                 114.376                 7.90032                 73.2969                0.202868
0.043530                 113.858                 8.00476                 73.8341               0.1973498
0.044030                  113.27                 8.10588                 74.2995               0.1918908
0.044530                 112.615                 8.20384                 74.6911               0.1864961
0.045030                 111.887                  8.2941                 75.0045               0.1811571
0.045520                 111.088                 8.37118                 75.2413               0.1758804
0.046020                  110.21                 8.42967                 75.3964               0.1706562
0.046520                 109.258                 8.46608                 75.4718               0.1654926
0.047020                 108.222                 8.48165                 75.4614               0.1603784
0.047510                 107.106                 8.48321                 75.3684               0.1553232
0.048010                 105.902                 8.47585                 75.1854               0.1503143
0.048510                 104.615                 8.46467                 74.9167               0.1453629
0.049010                 103.236                 8.44934                 74.5542               0.1404555
0.049500                  101.77                 8.42741                 74.1029               0.1356038
0.050000                 100.208                 8.39505                 73.5541               0.1307936
0.050500                 98.5581                 8.35049                 72.9134               0.1260375
0.051000                 96.8093                 8.29088                  72.173               0.1213214
0.051490                   94.97                 8.21599                 71.3383                0.116657
0.051990                 93.0289                 8.12454                70.39915              0.11203149
0.052490                 90.9938                 8.01701                69.36161              0.10745489
0.052990                 88.8553                 7.89256                 68.2169               0.1029166
0.053480                 86.6211                 7.75323                66.97139              0.09842479
0.053980                 84.2833                 7.60204                 65.6174              0.09397038
0.054480                 81.8465                 7.44228                64.15745              0.08956019
0.054980                 79.3041                 7.27537                62.58536              0.08518683
0.055470                 76.6622                 7.10327                60.90639              0.08085525
0.055970                 73.9141                    6.92                59.11354              0.07655996
0.056470                 71.0627                 6.72012                57.20785              0.07230447
0.056970                 68.8776                 6.61736                55.97363              0.06899981
0.057460                 68.0763                 6.69092                56.04225              0.06733357
0.057960                 68.2738                 6.75264                56.53287              0.06636337
0.058460                 68.4564                 6.80638                57.01044              0.06540325
0.058960                 68.6189                 6.85703                57.47102              0.06445109
0.059450                  68.762                 6.90846                57.91457              0.06350692
0.059950                  68.886                 6.96486                58.34243              0.06257066
0.060450                 68.9891                 7.02528                58.75109              0.06164206
0.060950                 69.0737                 7.08727                59.14503              0.06072101
0.061440                 69.1367                 7.14626                59.51875              0.05980727
0.061940                 69.1805                 7.19911                59.87645              0.05890106
0.062440                 69.2027                 7.24323                  60.214              0.05800194
0.062940                 69.2055                 7.27853                60.53469               0.0571101
0.063430                 69.1863                 7.30844                60.83446              0.05622503
0.063930                 69.1479                 7.33607                61.11718              0.05534702
0.064430                 69.0869                  7.3636                61.37767              0.05447553
0.064930                 69.0078                 7.39475                 61.6215              0.05361117
0.065420                 68.9066                 7.42833                61.84282              0.05275281
0.065920                  68.787                 7.46333                62.04606              0.05190153
0.066420                  68.646                 7.49662                62.22682              0.05105597
0.066920                 68.4861                  7.5264                 62.3878              0.05021734
0.067410                 68.3058                 7.55048                62.52742              0.04938419
0.067910                 68.1058                 7.56786                62.64496               0.0485579
0.068410                 67.8864                  7.5786                62.74222              0.04773685
0.068910                 67.6479                 7.58484                62.81726              0.04692252
0.069400                 67.3883                 7.58776                62.86854              0.04611332
0.069900                 67.1115                 7.58922                 62.9003              0.04531056
0.070400                 66.8133                 7.58937                62.90697              0.04451273
0.070900                 66.4969                 7.58805                62.89164              0.04372126
0.071390                 66.1608                 7.58422                62.85338              0.04293458
0.071890                 65.8059                 7.57717                62.79189                0.042154
0.072390                 65.4302                 7.56602                62.70507              0.04137819
0.072890                 65.0375                 7.55108                 62.5971              0.04060828
0.073380                 64.6241                 7.53383                62.46357              0.03984297
0.073880                 64.1916                 7.51608                62.30559              0.03908335
0.074380                 63.7388                 7.49967                 62.1228              0.03832843
0.074880                 63.2667                 7.48637                61.91665              0.03757885
0.075370                 62.7726                  7.4758                61.68425              0.03683387
0.075870                 62.2576                 7.46606                61.42644              0.03609409
0.076370                 61.7206                 7.45435                61.14333               0.0353589
0.076870                  61.162                 7.43784                60.83504              0.03462872
0.077360                 60.5808                 7.41423                60.50057              0.03390297
0.077860                 59.9774                 7.38272                60.13967              0.03318205
0.078360                 59.3508                 7.34465                59.75169              0.03246556
0.078860                 58.7019                 7.30223                59.33883              0.03175367
0.079350                 58.0298                 7.25759                58.89863              0.03104617
0.079850                 57.1531                 7.22693                58.43123              0.03034321
0.080350                  56.266                 7.19302                57.93642               0.0296445
0.080850                  55.506                 7.14394                 57.4137              0.02895014
0.081340                 54.7268                 7.09217                56.86361              0.02826011
0.081840                 53.9285                 7.03776                 56.2864              0.02757414
0.082340                 53.1112                 6.98067                55.68111              0.02689239
0.082840                 52.2746                 6.92086                55.04706              0.02621461
0.083330                 51.4381                 6.86208                54.42104              0.02555444
0.083830                 50.7667                 6.83699                54.12721              0.02502788
0.084330                 50.1002                  6.8141                 53.8546              0.02451899
0.084830                 49.4178                 6.78932                53.56271              0.02401294
0.085320                 48.7203                 6.76278                53.25259              0.02350999
0.085820                 48.0071                 6.73439                52.92327              0.02300979
0.086320                 47.2791                 6.70421                52.57516               0.0225126
0.086820                 46.5352                 6.67215                52.20699              0.02201814
0.087310                 45.7768                 6.63833                51.81988               0.0215267
0.087810                 45.0027                 6.60261                51.41241              0.02103777
0.088310                 44.2143                 6.56515                50.98584               0.0205519
0.088810                 43.4102                  6.5258                50.53857              0.02006845
0.089300                 42.5922                 6.48472                50.07203              0.01958802
0.089800                 41.7586                 6.44174                49.58446               0.0191099
0.090300                 40.9114                 6.39706                49.07746              0.01863477
0.090800                 40.0487                 6.35049                48.54917              0.01816193
0.091290                 39.1725                 6.30221                48.00116              0.01769197
0.091790                 38.2811                 6.25204                47.43147              0.01722426
0.092290                  37.424                 6.20018                46.87111              0.01677272
0.092790                 37.0009                 6.14648                 46.5656              0.01644777
0.093280                 36.6356                 6.09107                46.28645              0.01614284
0.093780                 36.2623                 6.03383                45.99281              0.01583937
0.094280                 35.8817                 5.97488                 45.6854              0.01553763
0.094780                 35.4932                 5.91412                45.36342              0.01523735
0.095270                 35.0975                 5.85166                45.02744              0.01493877
0.095770                 34.6941                  5.7874                44.67672              0.01464162
0.096270                 34.2835                 5.72144                 44.3118              0.01434612
0.096770                 33.8653                 5.65371                43.93206              0.01405204
0.097260                   33.44                 5.58427                43.53783              0.01375955
0.097760                 33.0072                 5.51309                43.12867             0.013468479
0.098260                 32.5674                  5.4402                42.70479             0.013178953
0.098760                 32.1203                 5.36558                42.26587             0.012890827
0.099250                 31.6661                 5.28927                41.81198             0.012604178
0.099750                 31.2047                 5.21125                41.34295             0.012318957
