channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                 11.4377               0.0204632                13.82603               1.1525312
0.005724                 14.0367               0.0341602                22.45017               1.0783427
0.006221                 16.9158               0.0532434                 33.2484               1.0079541
0.006719                 20.0506                0.077772                44.91877               0.9411794
0.007216                 23.4124                0.107059                55.46824                 0.87789
0.007714                   26.97                0.139875                62.79766                0.818026
0.008211                 30.6872                0.174846                65.47932               0.7615422
0.008709                   34.52                0.210851                63.32534               0.7083634
0.009206                 38.4143                0.247234                 57.4309               0.6583779
0.009704                 42.3068                0.283779                49.67914               0.6114459
0.010200                 46.1289                0.320554                41.99371               0.5674211
0.010700                 49.8118                0.357717                35.71872               0.5261574
0.011200                 53.2914                0.395403                31.36544                0.487513
0.011690                 56.5135                0.433669                28.73051               0.4513625
0.012190                 59.4354                0.472501                27.21903               0.4175845
0.012690                  62.028                0.511826                26.17635               0.3860721
0.013190                 64.2743                0.551534                25.10718               0.3567192
0.013680                 66.1685                0.591481                23.75558              0.32942585
0.014180                 67.7138                0.631502                22.08237              0.30409059
0.014680                 68.9199                0.671417                20.19385              0.28061504
0.015180                 69.8019                0.711037                18.26229              0.25889447
0.015670                 70.3783                0.750173                16.46207               0.2388285
0.016170                 70.6703                 0.78864                14.92822              0.22031214
0.016670                 70.7013                0.826265                 13.7374              0.20324389
0.017170                 70.4956                0.862888                  12.907              0.18752274
0.017660                 70.0785                0.898364                12.40479              0.17305117
0.018160                 69.4748                0.932563                 12.1657              0.15973501
0.018660                 68.7087                 0.96537                 12.1085              0.14748585
0.019160                 67.8029                0.996683                12.15031              0.13621803
0.019650                 66.7781                 1.02641                12.21666              0.12585278
0.020150                  65.653                 1.05449                12.24764              0.11631599
0.020650                 64.4436                 1.08086                12.20014              0.10753926
0.021150                 63.1637                 1.10548                12.04744               0.0994589
0.021640                  61.825                 1.12832                11.77766              0.09201685
0.022140                 60.4368                 1.14939                11.39113              0.08515936
0.022640                 59.0073                  1.1687                10.89757              0.07883743
0.023140                 57.5427                 1.18628                10.31343              0.07300616
0.023630                 56.0486                 1.20218                 9.65933               0.0676249
0.024130                 54.5298                 1.21645                 8.95783              0.06265648
0.024630                 52.9904                 1.22917                 8.23152               0.0580672
0.025130                 51.4344                 1.24041                7.501398              0.05382653
0.025620                 49.8658                 1.25026                6.786076               0.0499064
0.026120                 48.2885                 1.25881                6.100534              0.04628186
0.026620                 46.7067                 1.26613                5.456269              0.04292992
0.027120                 45.1246                 1.27233                4.860996               0.0398295
0.027610                 43.5467                 1.27747                4.319024              0.03696167
0.028110                 41.9774                 1.28164                3.831672              0.03430909
0.028610                 40.4216                  1.2849                3.397849              0.03185555
0.029110                 38.8838                 1.28733                3.014659              0.02958662
0.029600                 37.3687                 1.28897                2.677977              0.02748858
0.030100                 35.8808                 1.28987                2.383009              0.02554892
0.030600                 34.4245                 1.29008                2.124708             0.023756168
0.031100                 33.0038                 1.28962                 1.89813             0.022099518
0.031590                 31.6224                 1.28853                1.698668             0.020569073
0.032090                 30.2837                 1.28682                1.522194             0.019155446
0.032590                 28.9906                 1.28452                1.365142             0.017850019
0.033090                 27.7456                 1.28162                1.224505             0.016644659
0.033580                 26.5507                 1.27814                1.097825             0.015531873
0.034080                 25.4075                 1.27409                0.983115             0.014504629
0.034580                  24.317                 1.26947                0.878812             0.013556329
0.035080                 23.2798                 1.26428                0.783693             0.012680901
0.035570                 22.2959                 1.25854               0.6968038             0.011872616
0.036070                 21.3652                 1.25225               0.6174064             0.011126151
0.036570                 20.4868                 1.24541               0.5449162             0.010436563
0.037070                 19.6596                 1.23805               0.4788622             0.009799265
0.037560                 18.8821                 1.23017               0.4188473             0.009210002
0.038060                 18.1528                 1.22179               0.3645233              0.00866483
0.038560                 17.4694                 1.21294               0.3155697             0.008160104
0.039060                   16.83                 1.20363               0.2716785             0.007692434
0.039550                 16.2321                  1.1939               0.2325448             0.007258739
0.040050                 15.6733                 1.18377               0.1978615             0.006856161
0.040550                  15.151                 1.17328               0.1672951             0.006482072
0.041050                 14.6629                 1.16246                0.140585             0.006134086
0.041540                 14.2062                 1.15135               0.1173824             0.005809984
0.042040                 13.7786                 1.13999               0.0973663              0.00550778
0.042540                 13.3776                 1.12841               0.0802257             0.005225629
0.043040                 13.0009                 1.11665               0.0656565             0.004961876
0.043530                 12.6463                 1.10475              0.05336677             0.004715008
0.044030                 12.3117                 1.09275               0.0430787             0.004483643
0.044530                 11.9952                 1.08069              0.03453258             0.004266526
0.045030                 11.6951                  1.0686              0.02748838             0.004062541
0.045520                 11.4096                 1.05652              0.02172721             0.003870667
0.046020                 11.1374                 1.04447              0.01705217             0.003689956
0.046520                 10.8771                  1.0325              0.01328809             0.003519577
0.047020                 10.6275                 1.02063              0.01028119             0.003358774
0.047510                 10.3875                 1.00887               0.0078979             0.003206849
0.048010                 10.1564                0.997267             0.006018718             0.003063181
0.048510                 9.93319                0.985825              0.00455781             0.002927202
0.049010                 9.71733                0.974564             0.003427087             0.002798388
0.049500                 9.50821                0.963499             0.002558251             0.002676282
0.050000                 9.30535                 0.95264             0.001895886             0.002560445
0.050500                 9.10835                0.941996             0.001394861             0.002450488
0.051000                 8.91689                0.931572             0.001018824             0.002346042
0.051490                  8.7307                0.921372            0.0007387846             0.002246797
0.051990                 8.54956                0.911397            0.0005318476              0.00215243
0.052490                 8.37331                0.901646            0.0003801073             0.002062667
0.052990                 8.20179                0.892115            0.0002696965             0.001977253
0.053480                 8.03492                0.882798            0.0001899742            0.0018959345
0.053980                 7.87259                 0.87369            0.0001328504             0.001818499
0.054480                 7.71474                0.864782             9.22321e-05            0.0017447211
0.054980                  7.5613                0.856065             6.35699e-05            0.0016744251
0.055470                 7.41224                0.847527             4.34982e-05            0.0016074038
0.055970                 7.26749                0.839159            2.954886e-05            0.0015435017
0.056470                   7.127                0.830947            1.992784e-05            0.0014825507
0.056970                 6.99074                0.822879            1.334225e-05             0.001424396
0.057460                 6.85864                0.814942             8.86849e-06            0.0013688922
0.057960                 6.73064                0.807124            5.852186e-06            0.0013159064
0.058460                 6.60669                0.799411            1.632013e-06            0.0012653057
0.058960                  6.4867                0.791791                       0            0.0012169685
0.059450                 6.37059                0.784251                       0            0.0011707805
0.059950                 6.25829                0.776778                       0            0.0011266308
0.060450                 6.14969                0.769361                       0            0.0010844153
0.060950                 6.04469                0.761989                       0            0.0010440353
0.061440                  5.9432                 0.75465                       0            0.0010053959
0.061940                 5.84509                0.747335                       0            0.0009684114
0.062440                 5.75024                0.740034                       0            0.0009329962
0.062940                 5.65853                 0.73274                       0            0.0008990703
0.063430                 5.56985                0.725443                       0            0.0008665578
0.063930                 5.48405                0.718136                       0            0.0008353887
0.064430                   5.401                0.710814                       0            0.0008054939
0.064930                 5.32058                0.703471                       0            0.0007768106
0.065420                 5.24264                0.696101                       0            0.0007492785
0.065920                 5.16707                  0.6887                       0             0.000722839
0.066420                 5.09371                0.681265                       0            0.0006974395
0.066920                 5.02245                0.673793                       0            0.0006730278
0.067410                 4.95315                0.666281                       0            0.0006495569
0.067910                 4.88569                0.658729                       0            0.0006269798
0.068410                 4.81995                0.651133                       0            0.0006052554
0.068910                  4.7558                0.643494                       0            0.0005843415
0.069400                 4.69313                0.635812                       0            0.0005641999
0.069900                 4.63183                0.628086                       0            0.0005447963
0.070400                 4.57179                0.620317                       0            0.0005260954
0.070900                 4.51292                0.612506                       0            0.0005080653
0.071390                 4.45511                0.604654                       0            0.0004906756
0.071890                 4.39827                0.596762                       0            0.0004738995
0.072390                 4.34232                0.588832                       0            0.0004577091
0.072890                 4.28717                0.580867                       0            0.0004420791
0.073380                 4.23275                0.572867                       0            0.0004269853
0.073880                 4.17899                0.564835                       0            0.0004124064
0.074380                 4.12582                0.556774                       0             0.000398321
0.074880                 4.07318                0.548686                       0             0.000384708
0.075370                 4.02101                0.540573                       0            0.0003715508
0.075870                 3.96926                0.532438                       0            0.0003588295
0.076370                 3.91789                0.524284                       0            0.0003465277
0.076870                 3.86685                0.516113                       0            0.0003346302
0.077360                  3.8161                0.507929                       0            0.0003231213
0.077860                 3.76561                0.499733                       0            0.0003119877
