channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0             0.005782664
0.001246                       0                       0                       0             0.007340714
0.001744                       0                       0                       0             0.020339203
0.002241                       0                       0                       0              0.07402057
0.002739                       0                       0                       0              0.17377984
0.003236                0.568339                       0                       0              0.27203705
0.003734                 1.75942                       0                       0              0.43424941
0.004231                 3.30237                       0                       0              0.59946002
0.004729                 5.57198                       0                       0              0.74941683
0.005226                 8.07611                       0                       0              0.88405959
0.005724                 10.4242                       0                       0               0.9596704
0.006221                 12.9921                       0                       0               1.0261213
0.006719                 15.8948                       0                       0               1.0875775
0.007216                 19.3048                       0                       0               1.1447194
0.007714                 23.3815                       0                       0               1.1980926
0.008211                 28.1618                       0              -0.2885611               1.2480004
0.008709                 32.5304                       0             -0.12727436               1.2526504
0.009206                 35.8587                       0              0.08011648               1.2159105
0.009704                 39.2851                       0               0.3234614               1.1813191
0.010200                 42.7393                       0               0.5999234               1.1478279
0.010700                 46.2814                       0               0.9075574               1.1161615
0.011200                 49.9994                       0                 1.24421               1.0854328
0.011690                 54.0197                       0                1.608707               1.0562192
0.012190                 58.3566                       0                1.990804               1.0255341
0.012690                 62.9669                       0                2.353613               0.9870321
0.013190                 67.6321                       0                2.722268               0.9495832
0.013680                 72.0582                       0                3.093434               0.9120011
0.014180                 75.0865                       0                3.445839               0.8657536
0.014680                 77.5571                       0                3.793741               0.8206811
0.015180                 79.4277                       0                4.135796               0.7768925
0.015670                 80.6821                       0                4.475442               0.7345728
0.016170                 81.2764                0.143073                4.818408                0.693416
0.016670                  81.251                0.171293                5.170808               0.6535364
0.017170                 80.5992                0.208355                5.535232               0.6147143
0.017660                 79.3515                0.240795                5.911254                0.576926
0.018160                 77.5022                0.271494                6.217136               0.5377106
0.018660                 75.0733                0.307591                 6.49646               0.4988793
0.019160                 72.0589                0.349507                   6.767               0.4610136
0.019650                  68.472                0.385906                 7.02542               0.4241063
0.020150                 64.3102                0.418157                 7.26715               0.3880868
0.020650                 59.5729                 0.45445                 7.48687               0.3529234
0.021150                 54.2601                0.492256                 7.67999               0.3185786
0.021640                 48.3694                0.527089                 7.84076               0.2850033
0.022140                  44.614                0.558521                 8.05406               0.2602869
0.022640                 44.4529                0.587178                  8.3748               0.2475094
0.023140                   44.17                0.614491                 8.68204               0.2350143
0.023630                 43.7612                0.639166                 8.97136               0.2227682
0.024130                 43.2317                0.656712                 9.23982               0.2107857
0.024630                 42.5769                0.666052                 9.48231                0.199029
0.025130                 41.8055                0.671293                 9.69598                0.187518
0.025620                 40.9139                0.673421                 9.87504               0.1762135
0.026120                 39.9127                0.675745                10.05045               0.1655718
0.026620                 38.7946                0.708433                10.34963               0.1571487
0.027120                 37.5705                0.740018                10.64053               0.1490241
0.027610                 36.2319                0.771224                10.90812               0.1410302
0.028110                 34.7895                 0.80362                11.15248               0.1331919
0.028610                 33.2328                0.833793                11.36782               0.1254734
0.029110                 31.5726                0.858749                11.55424              0.11790172
0.029600                 29.7981                0.878371                11.70719              0.11044031
0.030100                 27.9197                0.896061                11.82594              0.10311768
0.030600                  25.925                 0.91405                11.90505              0.09589762
0.031100                 23.8251                0.931753                11.94447              0.08880796
0.031590                 21.6072                0.945701                11.93841              0.08181518
0.032090                  19.281                0.953573                11.88678              0.07494294
0.032590                 16.8352                0.954794                11.78448              0.06816355
0.033090                 14.2778                0.950459                11.63152              0.06149616
0.033580                 11.5985                0.941024               11.422969               0.0549176
0.034080                 8.80415                0.927031               11.159388              0.04844316
0.034580                 5.88561                0.908224               10.836228               0.0420539
0.035080                 2.84796                0.884557               10.453186               0.0357616
0.035570                 1.53869                0.855462               10.154907              0.03184071
0.036070                 1.53283                0.820312                9.916128              0.02960661
0.036570                 1.52573                0.778083                9.631595              0.02740127
0.037070                 1.51749                 0.72841                 9.30198              0.02522714
0.037560                 1.50799                0.670779                8.924628              0.02308071
