channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                 19.0963               0.0423181                12.93885              23.1090912
0.005724                  22.378               0.0706137                 21.0176              21.1045392
0.006221                 25.6848                0.109595                31.13321               19.249623
0.006719                 28.9208                0.158863                42.06973              17.5349232
0.007216                 32.0173                0.216332                51.96075              15.9529734
0.007714                 34.9403                0.278776                58.83674                14.49864
0.008211                 37.6813                0.342793                61.35575              13.1674716
0.008709                 40.2432                0.405709                 59.3357              11.9540988
0.009206                 42.6258                0.466023                53.79912              10.8517968
0.009704                 44.8199                0.523294                46.51195               9.8527176
0.010200                 46.8069                 0.57771                39.28129               8.9484336
0.010700                 48.5627                0.629643                 33.3733               8.1303858
0.011200                 50.0627                0.679389                29.27354               7.3902906
0.011690                 51.2856                0.727083                26.79574                6.720453
0.012190                 52.2158                0.772744                  25.384               6.1138116
0.012690                 52.8448                0.816331                24.42407                5.564079
0.013190                 53.1711                0.857791               23.449271               5.0656068
0.013680                 53.2001                0.897081               22.216412               4.6134072
0.014180                 52.9433                0.934173               20.685125               4.2030738
0.014680                 52.4176                0.969053                18.95153               3.8306124
0.015180                 51.6447                 1.00172               17.174121                3.492486
0.015670                 50.6503                 1.03218               15.514236                3.185541
0.016170                 49.4633                 1.06046               14.097187                2.906874
0.016670                  48.115                 1.08655               12.994389               2.6538966
0.017170                 46.6378                 1.11048               12.222353               2.4242508
0.017660                 45.0642                 1.13223               11.751496               2.2157928
0.018160                 43.4256                  1.1518               11.521595              2.02656366
0.018660                 41.7511                 1.16913               11.457185              1.85478516
0.019160                 40.0667                 1.18419               11.481268              1.69882686
0.019650                 38.3946                 1.19691               11.524446              1.55719422
0.020150                 36.7527                  1.2072               11.530996              1.42852806
0.020650                 35.1548                 1.21501               11.460764              1.31158404
0.021150                 33.6104                 1.22028               11.289136                1.205226
0.021640                 32.1255                 1.22299               11.005506              1.10842326
0.022140                 30.7027                 1.22312               10.610739              1.02023784
0.022640                 29.3419                  1.2207               10.114663               0.9398214
0.023140                 28.0409                 1.21581                9.533483               0.8664084
0.023630                 26.7961                 1.20854                8.887405              0.79931196
0.024130                 25.6028                 1.19903                8.198381              0.73791324
0.024630                  24.456                 1.18743                7.488328              0.68165982
0.025130                 23.3505                 1.17393                6.777708              0.63005868
0.025620                 22.2816                 1.15873                6.084441              0.58267278
0.026120                 21.2451                 1.14203                5.423012              0.53910864
0.026620                 20.2374                 1.12404                4.804403              0.49901832
0.027120                 19.2558                 1.10498                4.235874              0.46209204
0.027610                 18.2985                 1.08505               3.7214587               0.4280544
0.028110                 17.3644                 1.06444               3.2621762              0.39665844
0.028610                 16.4531                 1.04332               2.8567163               0.3676824
0.029110                 15.5648                 1.02186               2.5020019              0.34092936
0.029600                 14.7001                 1.00019               2.1937724              0.31621914
0.030100                 13.8603                0.978439                1.927095              0.29339118
0.030600                 13.0463                  0.9567               1.6968231              0.27229806
0.031100                 12.2598                0.935054               1.4979099               0.2528064
0.031590                  11.502                0.913564               1.3256506              0.23479308
0.032090                 10.7743                0.892272               1.1758244              0.21814578
0.032590                 10.0779                0.871207               1.0447722              0.20276172
0.033090                 9.41372                0.850382              0.92939795               0.1885446
0.033580                 8.78254                0.829799              0.82715172               0.1754064
0.034080                 8.18487                0.809452              0.73597218             0.163264572
0.034580                 7.62093                0.789327              0.65420775             0.152044146
0.035080                 7.09069                0.769403              0.58056531             0.141673896
0.035570                 6.59385                0.749658              0.51403471             0.132088068
0.036070                 6.12984                0.730069              0.45381939             0.123226434
0.036570                  5.6979                0.710612               0.3992919             0.115031808
0.037070                 5.29702                0.691267              0.34995688             0.107452296
0.037560                 4.92604                0.672013              0.30540116             0.100438524
0.038060                 4.58363                0.652838              0.26527468             0.093946554
0.038560                 4.26834                0.633731              0.22926982              0.08793324
0.039060                 3.97862                0.614688              0.19710414             0.082360962
0.039550                 3.71288                0.595707              0.16851183             0.077193882
0.040050                 3.46946                0.576795              0.14323491             0.072399186
0.040550                 3.24672                0.557961             0.120999322             0.067946778
0.041050                   3.043                0.539221             0.101609116             0.063808776
0.041540                 2.85669                0.520592             0.084790297               0.0599598
0.042040                 2.68623                0.502098             0.070297889             0.056376504
0.042540                 2.53012                0.483763             0.057899002             0.053037504
0.043040                 2.38694                0.465614             0.047368815             0.049923288
0.043530                 2.25537                0.447682             0.038491553             0.047016036
0.044030                 2.13415                0.429995             0.031064092             0.044299458
0.044530                 2.02215                0.412585             0.024896881             0.041758722
0.045030                 1.91832                0.395481             0.019815242              0.03938031
0.045520                 1.82173                0.378712              0.01566037             0.037151874
0.046020                 1.73151                0.362307              0.01228953              0.03506229
0.046520                 1.64693                0.346292            0.0095759866              0.03310128
0.047020                 1.56732                 0.33069            0.0074085988             0.031259592
0.047510                 1.49209                0.315525            0.0056909286             0.029528676
0.048010                 1.42075                0.300814            0.0043361585             0.027900918
0.048510                 1.35286                0.286575            0.0032835878             0.026369154
0.049010                 1.28806                0.272821            0.0024689778            0.0249269796
0.049500                 1.22605                0.259564            0.0018430444            0.0235684836
0.050000                 1.16656                 0.24681           0.00136585418            0.0222882462
0.050500                 1.10938                0.234565           0.00100489884            0.0210812922
0.051000                 1.05435                0.222831           0.00073399236            0.0199430262
0.051490                 1.00131                0.211607           0.00053224183            0.0188692416
0.051990                0.950169                0.200892           0.00038315923            0.0178560414
0.052490                0.900829                0.190678           0.00027384088            0.0168997806
0.052990                0.853224                0.180959           0.00019429742             0.015997122
0.053480                  0.8073                0.171725          0.000136863176            0.0151449138
0.053980                0.763017                0.162965           9.5709461e-05            0.0143402472
0.054480                0.720342                0.154665           6.6446787e-05            0.0135804186
0.054980                 0.67925                0.146811           4.5797619e-05            0.0128628558
0.055470                0.639721                0.139389           3.1337424e-05            0.0121851594
0.055970                0.601736                0.132381           2.1287888e-05            0.0115450884
0.056470                 0.56528                0.125769           1.4356628e-05            0.0109405152
0.056970                0.530337                0.119537           9.6121645e-06             0.010369476
0.057460                 0.49689                0.113667           6.3891384e-06             0.009830061
0.057960                0.464922                0.108139           4.2161003e-06              0.00932049
0.058460                0.434412                0.102935          1.17575235e-06            0.0088391142
0.058960                0.405341               0.0980375                       0            0.0083843424
0.059450                0.377683                0.093428                       0             0.007954659
0.059950                0.351412               0.0890888                       0             0.007548624
0.060450                0.326501               0.0850026                       0            0.0071649522
0.060950                0.302917               0.0811529                       0             0.006802344
0.061440                0.280628               0.0775234                       0            0.0064595934
0.061940                0.259598               0.0740988                       0            0.0061355682
0.062440                0.239789               0.0708644                       0            0.0058291956
0.062940                0.221163               0.0678064                       0            0.0055394568
0.063430                0.203679               0.0649116                       0            0.0052653942
0.063930                0.187295               0.0621677                       0            0.0050061006
0.064430                0.171969               0.0595634                       0            0.0047607174
0.064930                0.157658               0.0570878                       0           0.00452843928
0.065420                0.144317               0.0547311                       0           0.00430850466
0.065920                0.131902               0.0524843                       0           0.00410019282
0.066420                0.120369               0.0503389                       0            0.0039028329
0.066920                0.109675               0.0482873                       0           0.00371577978
0.067410               0.0997754               0.0463227                       0            0.0035384445
0.067910               0.0906277               0.0444386                       0            0.0033702534
0.068410               0.0821894               0.0426295                       0            0.0032106879
0.068910               0.0744195               0.0408902                       0           0.00305924544
0.069400               0.0672775               0.0392161                       0           0.00291545568
0.069900               0.0607244               0.0376032                       0            0.0027788877
0.070400               0.0547222               0.0360478                       0           0.00264912534
0.070900               0.0492344               0.0345467                       0           0.00252578754
0.071390               0.0442258                0.033097                       0           0.00240850944
0.071890               0.0396628               0.0316963                       0           0.00229695534
0.072390                0.035513               0.0303423                       0           0.00219080718
0.072890               0.0317459               0.0290331                       0           0.00208976742
0.073380               0.0283321               0.0277669                       0            0.0019935603
0.073880               0.0252443               0.0265422                       0           0.00190192104
0.074380               0.0224561               0.0253577                       0          0.001814608836
0.074880               0.0199432               0.0242122                       0          0.001731391416
0.075370               0.0176823               0.0231047                       0           0.00165206061
0.075870                0.015652               0.0220341                       0          0.001576408374
0.076370               0.0138317               0.0209996                       0            0.0015042483
0.076870               0.0122031               0.0200005                       0          0.001435404564
0.077360               0.0107482               0.0190359                       0          0.001369711098
