channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                 17.6874                0.130599                134.1273                 2.75753
0.005724                 21.8486                0.217537                216.8564                2.604763
0.006221                 26.5041                0.339532                319.1112                2.460957
0.006719                 31.6328                0.498186                428.0999                2.325364
0.007216                 37.2118                0.690862                525.1091                2.197448
0.007714                   43.22                0.911779                591.5439                2.076853
0.008211                 49.6349                 1.15425                616.1675                1.963253
0.008709                 56.4265                 1.41292                599.6442                 1.85633
0.009206                 63.5511                 1.68497                553.7871                1.755722
0.009704                 70.9499                    1.97                 496.114                1.661051
0.010200                  78.551                 2.26905                442.8192               1.5719435
0.010700                 86.2747                 2.58356                403.6868               1.4880334
0.011200                 94.0398                 2.91469                380.6938               1.4089793
0.011690                  101.77                 3.26295                369.8378               1.3344712
0.012190                 109.396                 3.62827                364.4333               1.2642192
0.012690                 116.861                 4.01005                358.1421                1.197962
0.013190                 124.118                 4.40726                346.8036               1.1354627
0.013680                 131.128                 4.81847                328.9565               1.0764993
0.014180                 137.863                 5.24195                305.4412               1.0208652
0.014680                 144.299                 5.67572                278.5518               0.9683687
0.015180                 150.417                 6.11763                  251.13               0.9188249
0.015670                 156.205                 6.56546                225.8242               0.8720613
0.016170                  161.65                 7.01699                204.5981               0.8279127
0.016670                 166.745                 7.47007                188.5199               0.7862205
0.017170                 171.486                 7.92268                177.7759               0.7468368
0.017660                 175.871                 8.37296                171.8367               0.7096182
0.018160                 179.901                 8.81923                 169.704               0.6744349
0.018660                 183.579                 9.25996                170.1617                0.641161
0.019160                 186.909                 9.69382                171.9863               0.6096798
0.019650                 189.898                 10.1196                174.0926               0.5798819
0.020150                 192.554                 10.5363                175.6155               0.5516656
0.020650                 194.886                 10.9431                175.9402               0.5249375
0.021150                 196.904                 11.3391                174.6921               0.4996085
0.021640                  198.62                 11.7237                 171.708               0.4755971
0.022140                 200.047                 12.0965                166.9973                0.452827
0.022640                 201.198                 12.4569                160.7008               0.4312275
0.023140                 202.087                 12.8046                153.0511               0.4107325
0.023630                  202.73                 13.1394                144.3372               0.3912813
0.024130                 203.142                  13.461                134.8742               0.3728169
0.024630                 203.339                 13.7693                124.9777               0.3552859
0.025130                 203.335                 14.0641                114.9408                0.338638
0.025620                 203.147                 14.3453                105.0238                0.322827
0.026120                 202.789                 14.6129                 95.4393               0.3078082
0.026620                 202.274                 14.8668                 86.3501               0.2935406
0.027120                 201.618                  15.107                77.87062               0.2799844
0.027610                 200.831                 15.3335                70.06728               0.2671049
0.028110                 199.927                 15.5462                62.96651               0.2548644
0.028610                 198.916                 15.7452                56.56148               0.2432312
0.029110                 197.808                 15.9303                50.82112               0.2321738
0.029600                 196.613                 16.1017                45.69675               0.2216624
0.030100                  195.34                 16.2593                41.13013               0.2116674
0.030600                 193.997                 16.4032                37.05903                0.202164
0.031100                 192.591                 16.5335                33.42194               0.1931251
0.031590                 191.128                 16.6501                30.16116               0.1845266
0.032090                 189.615                 16.7531                27.22475               0.1763457
0.032590                 188.058                 16.8427                24.56776               0.1685604
0.033090                 186.461                 16.9189                22.15228               0.1611502
0.033580                 184.828                  16.982                19.94706               0.1540952
0.034080                 183.164                 17.0321                17.92702               0.1473769
0.034580                 181.471                 17.0694                 16.0722               0.1409776
0.035080                 179.754                 17.0941                14.36695              0.13488072
0.035570                 178.013                 17.1066                12.79897              0.12907051
0.036070                 176.252                 17.1072                11.35853                0.123532
0.036570                 174.472                 17.0961                10.03779              0.11825095
0.037070                 172.673                 17.0738                 8.83025               0.1132144
0.037560                 170.858                 17.0406                7.730188              0.10840947
0.038060                 169.026                  16.997                6.732313              0.10382456
0.038560                 167.178                 16.9435                5.831526              0.09944825
0.039060                 165.315                 16.8804                5.022818              0.09527016
0.039550                 163.436                 16.8084                4.300985              0.09128031
0.040050                 161.542                  16.728                3.660685              0.08746925
0.040550                 159.632                 16.6396                3.096099              0.08382827
0.041050                 157.707                 16.5438                2.602343              0.08034894
0.041540                 155.767                 16.4411                2.173215              0.07702341
0.042040                 153.812                 16.3322                 1.80289              0.07384416
0.042540                 151.842                 16.2175                1.485682              0.07080445
0.043040                 149.858                 16.0976                1.215998              0.06789746
0.043530                 147.861                  15.973                0.988465              0.06511696
0.044030                 145.851                 15.8443                 0.79796              0.06245706
0.044530                  143.83                  15.712               0.6396922              0.05991227
0.045030                 141.798                 15.5765               0.5092249              0.05747725
0.045520                 139.757                 15.4383               0.4025133              0.05514695
0.046020                 137.709                 15.2979               0.3159134              0.05291675
0.046520                 135.655                 15.1558               0.2461849                0.050782
0.047020                 133.598                 15.0122               0.1904803              0.04873849
0.047510                 131.538                 14.8675               0.1463273              0.04678221
0.048010                 129.479                 14.7222               0.1115161              0.04490921
0.048510                 127.423                 14.5764              0.08444871              0.04311591
0.049010                 125.371                 14.4305               0.0634983              0.04139881
0.049500                 123.326                 14.2847              0.04740014              0.03975437
0.050000                 121.291                 14.1393              0.03512758              0.03817971
0.050500                 119.266                 13.9943              0.02584444               0.0366716
0.051000                 117.256                 13.8501              0.01887713              0.03522717
0.051490                 115.262                 13.7066              0.01368848              0.03384366
0.051990                 113.285                 13.5639              0.00985425              0.03251833
0.052490                 111.329                 13.4223              0.00704276              0.03124882
0.052990                 109.394                 13.2817             0.004997025               0.0300326
0.053480                 107.483                 13.1421             0.003519901              0.02886721
0.053980                 105.597                 13.0035             0.002461499              0.02775064
0.054480                 103.737                  12.866             0.001708907              0.02668072
0.054980                 101.906                 12.7295             0.001177843               0.0256553
0.055470                 100.103                  12.594            0.0008059479              0.02467244
0.055970                 98.3312                 12.4595            0.0005474908              0.02373026
0.056470                 96.5898                 12.3258            0.0003692294              0.02282706
0.056970                 94.8801                 12.1929            0.0002472097               0.0219611
0.057460                 93.2023                 12.0608            0.0001643181               0.0211306
0.057960                 91.5571                 11.9293            0.0001084314              0.02033408
0.058460                 89.9444                 11.7984            3.023848e-05              0.01957006
0.058960                 88.3644                  11.668                       0              0.01883706
0.059450                 86.8169                 11.5381                       0              0.01813366
0.059950                 85.3018                 11.4084                       0              0.01745856
0.060450                 83.8187                 11.2791                       0              0.01681049
0.060950                  82.367                   11.15                       0              0.01618826
0.061440                 80.9463                  11.021                       0              0.01559071
0.061940                 79.5559                  10.892                       0              0.01501672
0.062440                  78.195                 10.7631                       0              0.01446524
0.062940                 76.8628                 10.6342                       0              0.01393531
0.063430                 75.5584                 10.5052                       0              0.01342589
0.063930                 74.2809                  10.376                       0              0.01293614
0.064430                 73.0292                 10.2468                       0              0.01246515
0.064930                 71.8024                 10.1174                       0             0.012012107
0.065420                 70.5994                 9.98776                       0             0.011576214
0.065920                 69.4192                 9.85798                       0             0.011156732
0.066420                 68.2606                 9.72802                       0             0.010752932
0.066920                 67.1226                 9.59787                       0             0.010364153
0.067410                 66.0041                 9.46755                       0             0.009989714
0.067910                 64.9042                 9.33707                       0              0.00962904
0.068410                 63.8217                 9.20645                       0             0.009281525
0.068910                 62.7557                 9.07571                       0             0.008946635
0.069400                 61.7052                 8.94487                       0             0.008623808
0.069900                 60.6694                 8.81397                       0             0.008312577
0.070400                 59.6472                 8.68305                       0             0.008012457
0.070900                 58.6379                 8.55213                       0             0.007722989
0.071390                 57.6407                 8.42126                       0             0.007443752
0.071890                 56.6548                 8.29047                       0             0.007174343
0.072390                 55.6796                 8.15981                       0             0.006914372
0.072890                 54.7144                 8.02931                       0             0.006663462
0.073380                 53.7585                 7.89902                       0             0.006421275
0.073880                 52.8116                 7.76899                       0             0.006187475
0.074380                 51.8731                 7.63925                       0             0.005961748
0.074880                 50.9425                 7.50985                       0             0.005743787
0.075370                 50.0195                 7.38083                       0             0.005533315
0.075870                 49.1037                 7.25223                       0             0.005330064
0.076370                  48.195                  7.1241                       0             0.005133758
0.076870                  47.293                 6.99647                       0             0.004944165
0.077360                 46.3975                 6.86938                       0             0.004761045
0.077860                 45.5084                 6.74288                       0             0.004584165
0.078360                 44.6257                 6.61699                       0             0.004413317
0.078860                 43.7492                 6.49176                       0             0.004248295
0.079350                 42.8788                 6.36723                       0             0.004088898
0.079850                 42.0147                 6.24341                       0              0.00393494
