channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0             0.109986048
0.001246                       0                       0                       0             0.135477054
0.001744                       0                       0                       0              0.38649276
0.002241                       0                       0                       0              1.04464926
0.002739                       0                       0                       0              2.06576658
0.003236                0.252601                       0                       0                3.243645
0.003734                0.727697                       0                       0               4.7164104
0.004231                 1.33076                       0                       0                  6.3612
0.004729                 2.21419                       0                       0               7.9127064
0.005226                  3.1898                       0                       0               9.3242448
0.005724                 4.37649                       0                       0              10.6783704
0.006221                 5.77586                       0                       0               12.010023
0.006719                 7.39493                       0                       0              13.2446016
0.007216                 9.32472                       0                       0              14.3968662
0.007714                 11.6523                       0                       0               15.472242
0.008211                 14.4154                       0              -0.3474929              16.4831328
0.008709                 17.4754                       0              -0.1574565              17.2581462
0.009206                 20.5345                       0               0.1029932              17.7537096
0.009704                 23.9288                       0               0.4308285              18.2240784
0.010200                 27.6572                       0                0.826099              18.6697584
0.010700                 31.7658                       0                1.289071              19.0951164
0.011200                 36.3706                       0                1.819837               19.499985
0.011690                 41.5955                       0                2.418658              19.8880614
0.012190                 47.5424                       0                3.085825              20.2589442
0.012690                   54.23                       0                  3.7616              20.4294816
0.013190                  61.561                       0                4.480316               20.577915
0.013680                 69.4222                       0                 5.24532                20.71665
0.014180                 76.0556                       0                6.024678              20.5910028
0.014680                 82.3084                       0                6.832352              20.4004422
0.015180                 88.5336                       0                 7.67447              20.2140918
0.015670                 94.6917                       0                 8.55834                20.03454
0.016170                 100.741                0.361669                 9.49876              19.8590292
0.016670                 106.701                0.458434                10.51097              19.6892964
0.017170                 112.571                0.591075                11.60679              19.5234354
0.017660                 118.367                0.724855                12.79668              19.3625406
0.018160                 124.087                0.856787                13.99562               19.127367
0.018660                 129.746                 1.00567                 15.1558              18.7978752
0.019160                 135.342                 1.18576                16.39087               18.476343
0.019650                 140.885                 1.36091                17.70322               18.163026
0.020150                 146.373                 1.53573                 19.0937              17.8571394
0.020650                 151.799                 1.74179                20.56107               17.558487
0.021150                 157.155                 1.97347                 22.1069              17.2667826
0.021640                 162.433                   2.216                23.73043              16.9815042
0.022140                  167.54                 2.46948                25.42942               16.697817
0.022640                 170.803                 2.73917                 27.1419               16.329996
0.023140                 173.647                 3.03532                28.91136              15.9599196
0.023630                 176.258                   3.357                30.73981               15.597072
0.024130                 178.646                 3.68461                32.62532               15.242085
0.024630                 180.798                 4.01428                 34.5617              14.8936428
0.025130                 182.735                 4.37365                36.54658              14.5525572
0.025620                 184.453                 4.77964                38.57182               14.217408
0.026120                 185.982                  5.2092                40.64079               13.889187
0.026620                 187.305                 5.59896                42.61807              13.5388008
0.027120                 188.453                  5.9527                 44.5121              13.1741136
0.027610                 189.408                  6.3202                46.39751               12.815118
0.028110                 190.199                 6.71593                48.27686              12.4632522
0.028610                 190.801                 7.11399                50.13354              12.1166226
0.029110                 191.246                 7.48911                51.96946              11.7766728
0.029600                 191.509                 7.84052                53.77324              11.4415506
0.030100                 191.617                  8.1983                55.54326              11.1127896
0.030600                 191.543                 8.58615                57.26424              10.7884458
0.031100                 191.316                  9.0018                58.93668              10.4701266
0.031590                 190.906                 9.41617                60.54338               10.156005
0.032090                 190.338                  9.8066                62.08424               9.8474058
0.032590                 189.588                 10.1681                63.54438               9.5428728
0.033090                 188.676                 10.5111                 64.9241                9.243423
0.033580                 187.578                 10.8428                66.20834               8.9478954
0.034080                 186.315                 11.1705                67.40066               8.6570946
0.034580                 184.864                 11.4953                68.48656               8.3700576
0.035080                 183.239                 11.8193                69.46462               8.0874144
0.035570                 181.422                 12.1408                70.32498               7.8084108
0.036070                 181.595                 12.4546                71.24976               7.5803724
0.036570                 182.112                 12.7506                 72.1005                7.364835
0.037070                 182.545                 13.0247                72.84816               7.1523504
0.037560                 182.882                 13.2715                73.48266               6.9425262
0.038060                 183.131                 13.4893                74.00528               6.7355388
0.038560                 183.285                 13.6748                 74.4087               6.5311398
0.039060                  183.35                 13.9655                75.48068               6.3652572
0.039550                 183.317                 14.2755                 76.6948               6.2108712
0.040050                 183.194                 14.5752                 77.9369               6.0584076
0.040550                 182.974                 14.8666                 79.1979               5.9077944
0.041050                 182.654                 15.1498                 80.1901               5.7589938
0.041540                  182.24                 15.4234                 81.1147               5.6119806
0.042040                 181.725                 15.6837                 81.9657               5.4666738
0.042540                 181.108                 15.9295                 82.7405               5.3230914
0.043040                 180.385                 16.1629                 83.4362               5.1811164
0.043530                 179.559                 16.3876                 84.0532                5.040819
0.044030                 178.625                 16.6064                 84.5889               4.9020318
0.044530                 177.584                 16.8195                 85.0411               4.7648646
0.045030                 176.427                 17.0177                 85.4043               4.6291086
0.045520                 175.158                 17.1897                  85.681               4.4949528
0.046020                 173.765                 17.3245                  85.865               4.3621128
0.046520                 172.254                 17.4149                 85.9585               4.2307992
0.047020                  170.61                 17.4633                 85.9548               4.1007708
0.047510                 168.841                 17.4838                 85.8572               3.9722076
0.048010                 166.932                 17.4868                 85.6575               3.8448396
0.048510                 164.893                 17.4829                 85.3608              3.71893878
0.049010                 162.706                 17.4716                 84.9578               3.5941338
0.049500                 160.384                 17.4478                 84.4543              3.47075298
0.050000                  157.91                 17.4036                 83.8396              3.34842714
0.050500                 155.296                 17.3353                  83.121              3.22747326
0.051000                 152.526                 17.2372                 82.2896              3.10753566
0.051490                 149.613                 17.1086                 81.3507              2.98890558
0.051990                  146.54                 16.9469                 80.2939              2.87126874
0.052490                 143.317                 16.7531                 79.1248                2.754873
0.052990                 139.932                 16.5254                 77.8347              2.63944962
0.053480                 136.395                  16.268                76.42966               2.5252029
0.053980                 132.694                 15.9874                74.90194              2.41191108
0.054480                 128.837                 15.6903                73.25416              2.29974048
0.054980                 124.813                 15.3801                71.47912              2.18850282
0.055470                 120.632                 15.0608                69.58278              2.07833202
0.055970                 116.283                 14.7201                67.55706              1.96907742
