channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0              0.05589099
0.001246                       0                       0                       0               0.2644704
0.001744                       0                       0                       0              0.70470594
0.002241                       0                       0                       0               1.4208975
0.002739                       0                       0                       0              2.43145512
0.003236                0.231138                       0                       0               3.7318248
0.003734                0.624224                       0                       0               5.3023536
0.004231                 1.14155                       0                       0                7.111899
0.004729                 1.98084                       0                       0               9.1205334
0.005226                 3.01417                       0                       0              11.2874814
0.005724                 4.34152                       0                       0              13.5647856
0.006221                 6.00097                       0                       0              15.9131988
0.006719                 8.02736                       0                       0              18.2844342
0.007216                 10.5333                       0                       0               20.646873
0.007714                  13.631                       0                       0              22.9564332
0.008211                 17.3788                       0               -0.645016               25.191828
0.008709                 21.7793                       0              -0.3034449               27.315288
0.009206                 26.8389                       0               0.2064639               29.316276
0.009704                 32.5388                       0                0.891965               31.164138
0.010200                 38.8698                       0                1.755766                32.85783
0.010700                 45.8386                       0                2.795778               34.374006
0.011200                 53.5933                       0                4.007354                35.71866
0.011690                 62.2471                       0                5.380331               36.876708
0.012190                 71.9206                       0                 6.90472               37.857726
0.012690                 82.5486                       0                  8.5646               38.654496
0.013190                  93.917                       0                10.34508               39.278358
0.013680                 105.777                       0                12.22752               39.728592
0.014180                  117.91                       0                14.19455               40.017258
0.014680                 130.091                       0                16.22575               40.148514
0.015180                 142.128                       0                18.30357               40.134384
0.015670                 153.834                       0                20.42541               39.982428
0.016170                  165.08                0.744766                22.61193               39.704184
0.016670                 175.795                0.934661                24.87949               39.309138
0.017170                 185.928                 1.18965                27.23878               38.808216
0.017660                 195.434                 1.43617                29.69285                38.21175
0.018160                 204.275                 1.68199                32.24142               37.529784
0.018660                 212.428                 1.97423                34.88159                36.77265
0.019160                 219.866                 2.32167                37.60135               35.949654
0.019650                 226.579                 2.65095                40.38986               35.070408
0.020150                 232.556                 2.96917                43.23346                 34.1433
0.020650                 237.776                 3.33492                46.11313               33.176934
0.021150                  242.23                 3.73392                49.01588                32.17905
0.021640                 245.912                 4.13495                51.92412                31.15665
0.022140                 248.832                 4.53553                54.82392               30.116952
0.022640                 250.991                 4.94272                 57.6912               29.065356
0.023140                  252.42                 5.37172                60.51199                28.00863
0.023630                 253.129                  5.8169                63.26526                 26.9505
0.024130                 253.162                 6.24121                65.93767                25.89732
0.024630                 252.532                  6.6367                 68.5066               24.851196
0.025130                 251.308                 7.04736                 70.9624                23.81823
0.025620                 249.512                 7.49539                 73.2806              22.7989152
0.026120                  247.23                 7.93991                 75.4676              21.7991754
0.026620                 244.465                 8.33078                 77.4891              20.8181394
0.027120                 241.307                 8.67591                 79.3566              19.8615168
0.027610                  237.75                 9.01417                 81.0419              18.9271926
0.028110                 233.888                 9.36542                  82.562              18.0207504
0.028610                 229.699                 9.69114                 83.8863              17.1390186
0.029110                  225.28                 9.95912                  85.036              16.2874368
0.029600                 220.605                 10.1699                 85.9903              15.4620162
0.030100                 215.768                 10.3662                 86.7697              14.6680002
0.030600                  210.73                 10.5758                 87.3474              13.9008042
0.031100                 205.591                 10.7957                 87.7524              13.1653872
0.031590                 200.305                 10.9885                 87.9559              12.4570314
0.032090                 194.962                 11.1316                 87.9889              11.7798084
0.032590                 189.524                  11.221                 87.8292              11.1295332
0.033090                 184.069                 11.2738                 87.5086              10.5092676
0.033580                 178.561                 11.2983                  87.008               9.9153738
0.034080                  173.07                  11.306                 86.3626               9.3500838
0.034580                 167.566                 11.2977                 85.5566                8.810271
0.035080                 162.103                 11.2786                 84.6176                8.297397
0.035570                 156.658                 11.2466                 83.5382               7.8088212
0.036070                 151.281                 11.1998                 82.3522               7.3454472
0.036570                 145.948                 11.1297                 81.0488               6.9050196
0.037070                   140.7                 11.0367                 79.6593               6.4879254
0.037560                  135.52                 10.9178                 78.1784                6.092334
0.038060                 130.436                 10.7754                 76.6283               5.7182256
0.038560                 125.441                 10.6091                75.00914               5.3641062
0.039060                 120.556                 10.4229                73.33962                5.029641
0.039550                 115.774                 10.2207                 71.6182               4.7136474
0.040050                  111.11                 10.0085                69.93596               4.4155224
0.040550                 106.561                 9.78931                 68.2841                4.134366
0.041050                 102.131                 9.56453                66.42573               3.8693718
0.041540                 97.8268                 9.33482                64.55121                3.619881
0.042040                 93.6439                 9.09894                 62.6619               3.3849612
0.042540                   89.59                 8.85823                60.76777               3.1641354
0.043040                 85.6564                 8.61452                58.86895               2.9563794
0.043530                 81.8551                 8.37179                56.97924              2.76139062
0.044030                 78.1738                 8.13112                55.09551              2.57808078
0.044530                 74.6246                 7.89445                53.23079              2.40628536
0.045030                 71.1909                 7.65679                51.37828              2.24489322
0.045520                 67.8875                 7.41573                49.55385              2.09385162
0.046020                 64.6948                 7.16653                47.74861              1.95204438
0.046520                 61.6291                 6.90995                45.97889              1.81950606
0.047020                 58.6682                 6.64714                44.23305              1.69514244
0.047510                 55.8304                 6.38688                42.52856              1.57906296
0.048010                  53.092                 6.13176                40.85185              1.47019464
0.048510                 50.4722                 5.88778                39.22087              1.36870092
0.049010                 47.9465                  5.6525                37.62047              1.27356174
0.049500                 45.5347                 5.42643                36.06889              1.18497042
0.050000                 43.2115                 5.20505                34.54982              1.10195982
0.050500                 40.9971                 4.98986                 33.0816              1.02475098
0.051000                 38.8674                 4.77741                31.64826              0.95245434
0.051490                 36.8397                 4.57009                30.26596              0.88524774
0.051990                 34.8925                 4.36574                28.91975              0.82237662
0.052490                 33.0398                 4.16674                 27.6231              0.76395204
0.052990                 31.2639                 3.97142                26.36375               0.7093521
0.053480                 29.5759                 3.78247                25.15289              0.65863044
0.053980                 27.9611                 3.60022                23.98044              0.61127838
0.054480                  26.427                 3.42724                22.85404                0.567297
0.054980                 24.9618                 3.26307                21.76558              0.52627986
0.055470                 23.5712                 3.10917                20.72183               0.4881915
0.055970                 22.2454                 2.96203                19.71577               0.4527036
0.056470                 20.9874                 2.81993                18.75125              0.41975676
0.056970                 19.7901                 2.68041                 17.8239              0.38908602
0.057460                  18.655                 2.54274                 16.9361              0.36061704
0.057960                 17.5761                 2.40716                 16.0836              0.33413958
