channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0             0.001382777
0.001246                       0                       0                       0             0.007751296
0.001744                       0                       0                       0              0.02296217
0.002241                       0                       0                       0              0.04981342
0.002739                       0                       0                       0              0.08995393
0.003236                0.164878                       0                       0              0.14377369
0.003734                0.459416                       0                       0               0.2107699
0.004231                0.861239                       0                       0               0.2896263
0.004729                 1.52439                       0                       0               0.3784747
0.005226                 2.35668                       0                       0               0.4752285
0.005724                 3.43759                       0                       0               0.5774031
0.006221                 4.79899                       0                       0               0.6828701
0.006719                 6.46877                       0                       0               0.7890615
0.007216                 8.53696                       0                       0               0.8942494
0.007714                 11.0922                       0                       0               0.9961024
0.008211                 14.1788                       0              -0.4952354               1.0934953
0.008709                  17.792                       0              -0.2325211               1.1844919
0.009206                 21.9294                       0               0.1577119               1.2685962
0.009704                 26.5639                       0                0.678477               1.3443241
0.010200                 31.6775                       0                1.328737                1.411725
0.010700                 37.2607                       0                 2.10329                1.469766
0.011200                 43.4213                       0                2.994894                1.518885
0.011690                 50.2323                       0                3.991941                1.558522
0.012190                 57.7736                       0                5.083208                1.589304
0.012690                 65.9704                       0                 6.25321                1.611094
0.013190                 74.6322                       0                 7.48772                1.624596
0.013680                 83.5425                       0                 8.77021                1.629998
0.014180                  92.515                       0                10.08557                1.628015
0.014680                 101.361                       0                11.41734                1.619061
0.015180                 109.927                       0                12.75139                1.603814
0.015670                 118.066                       0                14.08499                1.582819
0.016170                 125.681                0.483661                15.43091                1.556703
0.016670                 132.724                0.600407                 16.7992                1.526065
0.017170                 139.165                0.755749                18.19498                1.491464
0.017660                  144.98                 0.90208                 19.6189                1.453497
0.018160                 150.152                 1.04436                21.06856                1.412655
0.018660                  154.68                 1.21155                 22.5408               1.3694868
0.019160                 158.555                 1.40792                24.02601               1.3244266
0.019650                  161.79                 1.58836                25.51643               1.2779491
0.020150                  164.39                 1.75746                27.00231               1.2304316
0.020650                  166.36                 1.94975                28.47138               1.1822596
0.021150                 167.709                 2.15598                29.91565               1.1337648
0.021640                 168.453                 2.35765                31.32441               1.0852376
0.022140                 168.617                 2.55342                32.69026               1.0369742
0.022640                  168.22                 2.74721                33.99933               0.9891646
0.023140                 167.302                 2.94737                35.24555               0.9420804
0.023630                 165.885                 3.15035                36.41739                 0.89582
0.024130                 164.019                 3.33621                37.51059               0.8506308
0.024630                 161.724                 3.50113                38.51319               0.8065342
0.025130                 159.066                 3.66887                39.42418               0.7637554
0.025620                 156.066                 3.85038                40.23105               0.7222479
0.026120                 152.801                 4.02456                40.94274                0.682223
0.026620                 149.272                 4.16615                41.54113               0.6435748
0.027120                 145.558                 4.28062                42.03917               0.6065038
0.027610                 141.652                 4.38747                42.42178               0.5708565
0.028110                 137.632                 4.49694                42.70576               0.5368245
0.028610                 133.479                 4.59006                42.87406               0.5042169
0.029110                  129.27                 4.65297                42.94638                0.473218
0.029600                  124.98                 4.68646                 42.9103               0.4436124
0.030100                 120.685                 4.71178                42.78536               0.4155732
0.030600                 116.348                 4.74094                 42.5557               0.3888719
0.031100                 112.046                 4.77327                42.24505               0.3636667
0.031590                 107.739                 4.79147                41.83681               0.3397347
0.032090                 103.494                 4.78718                41.35456               0.3171986
0.032590                 99.2767                 4.75886                40.78565               0.2958644
0.033090                 95.1419                 4.71536                40.15255               0.2758188
0.033580                 91.0595                 4.66014                39.44475               0.2568934
0.034080                 87.0763                 4.59892                  38.685               0.2391454
0.034580                 83.1661                 4.53179                37.86456               0.2224341
0.035080                  79.364                 4.46155                37.00151               0.2067888
0.035570                 75.6496                 4.38712                36.09122              0.19209238
0.036070                 72.0519                 4.30838                35.15287              0.17835505
0.036570                  68.552                 4.22201                34.18101              0.16548029
0.037070                 65.1718                 4.12875                33.19215              0.15346276
0.037560                 61.8974                 4.02761                32.18337               0.1422238
0.038060                 58.7427                 3.92004                31.16633              0.13174642
0.038560                 55.6989                 3.80608                30.14044              0.12196751
0.039060                 52.7746                 3.68755                29.11489              0.11286186
0.039550                 49.9624                 3.56597                28.08873              0.10437936
0.040050                 47.2669                  3.4437                27.09815              0.09648893
0.040550                 44.6838                 3.32178                26.13854              0.08915212
0.041050                 42.2112                 3.20073                25.11981              0.08233376
0.041540                 39.8499                 3.08083                24.11574              0.07600454
0.042040                 37.5939                 2.96163                23.12621              0.07012782
0.042540                 35.4445                 2.84368                22.15547              0.06468167
0.043040                 33.3939                 2.72745                 21.2025              0.05962879
0.043530                 31.4457                 2.61431                20.27277              0.05495347
0.044030                 29.5901                 2.50436                19.36388              0.05061877
0.044530                 27.8311                 2.39829                18.48103              0.04661392
0.045030                 26.1574                  2.2943                17.62006              0.04290332
0.045520                 24.5744                 2.19186                16.78735              0.03948016
0.046020                 23.0695                 2.08935                15.97775              0.03631025
0.046520                  21.649                 1.98727                15.19773              0.03338981
0.047020                 20.2995                 1.88573                14.44116              0.03068701
0.047510                 19.0282                 1.78746                 13.7148              0.02820026
0.048010                 17.8215                 1.69284                13.01187              0.02589979
0.048510                 16.6868                 1.60366                12.33922              0.02378604
0.049010                 15.6107                 1.51883               11.689564             0.021831412
0.049500                 14.6008                 1.43859               11.069724             0.020037626
0.050000                 13.6439                 1.36137               10.472178              0.01837953
0.050500                 12.7475                 1.28773                9.903654             0.016859756
0.051000                 11.8994                 1.21642                9.356916             0.015455811
0.051490                 11.1058                 1.14822                8.837694             0.014169671
0.051990                 10.3562                 1.08228                8.339488             0.012982798
0.052490                 9.65521                 1.01932                7.866878             0.011895793
0.052990                 8.99431                0.958679                 7.41454             0.010893812
0.053480                 8.37686                0.901071                6.986076             0.009976374
0.053980                 7.79588                0.846358                6.577139             0.009131603
0.054480                 7.25339                0.795154                6.190033             0.008358278
0.054980                  6.7438                 0.74714                5.821308             0.007646958
0.055470                 6.26839                0.702628                5.472827             0.006995904
0.055970                 5.82264                0.660647                5.141666              0.00639766
0.056470                 5.40689                0.620795                4.828756             0.005850206
0.056970                  5.0178                0.582422                4.532125             0.005347657
0.057460                 4.65518                0.545372                4.252158             0.004887823
0.057960                 4.31628                0.509625                3.987122             0.004466119
0.058460                 4.00068                0.475619                3.737272             0.004080297
0.058960                 3.70624                 0.44359                3.501231             0.003726807
0.059450                 3.43212                0.413728                3.278763             0.003403414
0.059950                 3.17684                0.386095                3.069074             0.003107398
0.060450                 2.93928                0.360469                2.871496             0.002836601
0.060950                 2.71843                0.336578                2.685661             0.002588956
0.061440                   2.513                0.314089                2.510651            0.0023624143
0.061940                 2.32232                0.292834                2.346294            0.0021554187
0.062440                 2.14504                0.272645                2.191617            0.0019660733
0.062940                 1.98074                0.253545                2.046578            0.0017932157
0.063430                 1.82805                0.235572                1.910158            0.0016350917
0.063930                 1.68676                0.218825                1.782445            0.0014908624
0.064430                 1.55551                0.203229                1.662353            0.0013589231
0.064930                 1.43425                0.188864                1.550123            0.0012386769
0.065420                 1.32168                0.175536               1.4446436            0.0011286734
0.065920                 1.21781                 0.16321               1.3461874            0.0010285007
0.066420                 1.12143                0.151678               1.2537156            0.0009368554
0.066920                 1.03261                0.140929               1.1674906             0.000853468
0.067410                0.950244                0.130809               1.0865674            0.0007771733
0.067910                0.874432                0.121344               1.0111874             0.000707808
0.068410                0.804155                0.112434               0.9404848            0.0006443387
0.068910                0.739561                0.104154                0.874722            0.0005866776
0.069400                0.679684               0.0964129               0.8130214            0.0005339111
0.069900                0.624735               0.0892662               0.7557398            0.0004860108
0.070400                0.573814               0.0826089               0.7020127            0.0004421777
0.070900                 0.52712               0.0764668               0.6521614            0.0004024065
0.071390                0.483898               0.0707374               0.6054698             0.000366028
0.071890                0.444267               0.0654363               0.5621493            0.0003330154
0.072390                 0.40762               0.0604851               0.5216073             0.000302841
0.072890                0.374033               0.0559019               0.4840198           0.00027545611
0.073380                 0.34301               0.0516403               0.4488883            0.0002504421
0.073880                0.314572               0.0477172               0.4163013           0.00022773723
0.074380                0.288338                0.044094               0.3858888           0.00020701351
0.074880                 0.26429               0.0407761               0.3576902           0.00018819939
0.075370                0.242125               0.0377185                0.331399           0.00017103917
0.075870                0.221804               0.0349048               0.3070177           0.00015545717
0.076370                0.203095               0.0322915               0.2843166           0.00014125503
0.076870                0.185944               0.0298631               0.2632706            0.0001283568
0.077360                0.170169               0.0275916               0.2436933           0.00011660879
0.077860                0.155707                0.025472               0.2255417           0.00010593714
0.078360                 0.14242               0.0234958               0.2086752            9.622371e-05
0.078860                 0.13024               0.0216647               0.1930428            8.739857e-05
0.079350                0.119061               0.0199724              0.17853358             7.93713e-05
0.079850                 0.10847               0.0184513              0.16508176             7.20765e-05
0.080350               0.0988046               0.0170416              0.15260884             6.54456e-05
0.080850               0.0902096                0.015709              0.14104562            5.941838e-05
0.081340               0.0823466               0.0144783              0.13033588            5.394337e-05
0.081840               0.0751475               0.0133408              0.12040954            4.896571e-05
0.082340               0.0685681               0.0122912              0.11122444            4.444696e-05
0.082840                0.062544               0.0113209              0.10270918            4.033766e-05
0.083330               0.0570441               0.0104265              0.09483768            3.660966e-05
0.083830               0.0520085              0.00959971              0.08754008            3.321868e-05
0.084330               0.0474158              0.00883823              0.08080098           3.0144324e-05
0.084830               0.0432106              0.00813424               0.0745531           2.7347176e-05
0.085320               0.0393793              0.00748653              0.06878924           2.4812759e-05
0.085820               0.0358714              0.00688771              0.06344605            2.250631e-05
0.086320               0.0326782              0.00633722              0.05852075           2.0417791e-05
0.086820               0.0297545              0.00582822              0.05395419           1.8516637e-05
0.087310               0.0270957              0.00536071              0.04974865           1.6796165e-05
0.087810               0.0246611               0.0049284              0.04584929            1.522966e-05
0.088310               0.0224492              0.00453168              0.04226162           1.3812881e-05
0.088810               0.0204238               0.0041648              0.03893473           1.2522544e-05
0.089300               0.0185853               0.0038284              0.03587645           1.1356226e-05
0.089800               0.0169018              0.00351727              0.03304033           1.0293721e-05
0.090300                0.015375              0.00323223              0.03043571            9.333923e-06
0.090800               0.0139773              0.00296868              0.02802067            8.459566e-06
0.091290                 0.01271              0.00272724              0.02580301            7.669675e-06
0.091790               0.0115507              0.00250415              0.02374837            6.950451e-06
0.092290               0.0104994              0.00229976             0.021861436            6.300516e-06
0.092790              0.00953865              0.00211107             0.020114902            5.709081e-06
0.093280              0.00866732              0.00193817              0.01851054            5.174459e-06
0.093780              0.00787171              0.00177867             0.017026856            4.688253e-06
0.094280              0.00715007               0.0016325             0.015663766            4.248619e-06
0.094780              0.00649173              0.00149777              0.01440425            3.849022e-06
0.095270              0.00589452              0.00137427             0.013246916           3.4875865e-06
0.095770              0.00535017              0.00126053              0.01217845           3.1592668e-06
0.096270              0.00485629              0.00115625              0.01119648           2.8622138e-06
0.096770              0.00440652               0.0010603             0.010290693           2.5925269e-06
0.097260               0.0039984             0.000972302             0.009458067           2.3484448e-06
0.097760              0.00362704             0.000891396             0.008690658           2.1269782e-06
0.098260              0.00329002             0.000817189             0.007985136           1.9264721e-06
0.098760              0.00298362             0.000749012             0.007335374           1.7446478e-06
0.099250               0.0027055             0.000686469             0.006737918           1.5799811e-06
0.099750              0.00245286             0.000629051             0.006188119           1.4307403e-06
