channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                 9.98559               0.0814973                24.20588                1.716516
0.005724                 12.8909                0.136264                39.42585                1.621717
0.006221                  16.251                0.212496                58.60756                1.530877
0.006719                 20.0557                0.310312                 79.4971                1.443738
0.007216                 24.2817                0.426807                 98.5402                1.360176
0.007714                 28.8949                0.556887                111.8755               1.2801597
0.008211                 33.8521                0.694889                116.7312               1.2036781
0.008709                 39.1018                0.836152                112.5204               1.1307177
0.009206                 44.5854                0.977835                101.0401               1.0612368
0.009704                 50.2374                  1.1188                 85.6697               0.9951719
0.010200                 55.9879                 1.25892                70.03836               0.9324506
0.010700                 61.7643                 1.39836                56.83893               0.8729922
0.011200                 67.4943                 1.53711                47.27703               0.8167051
0.011690                 73.1079                 1.67484                41.20512               0.7634941
0.012190                 78.5397                 1.81094                 37.6729               0.7132567
0.012690                 83.7304                 1.94466                35.52822               0.6658878
0.013190                 88.6271                 2.07513                33.83198               0.6212799
0.013680                 93.1843                 2.20146                 32.0251               0.5793188
0.014180                 97.3638                 2.32276                  29.909               0.5398922
0.014680                 101.135                 2.43813                27.53602               0.5028845
0.015180                 104.476                 2.54677                 25.0854               0.4681849
0.015670                 107.372                 2.64794                22.76354               0.4356773
0.016170                 109.815                   2.741                20.74019                0.405251
0.016670                 111.807                 2.82547                19.11781               0.3767973
0.017170                 113.356                 2.90099                17.92664               0.3502073
0.017660                 114.474                 2.96734                17.13418               0.3253779
0.018160                 115.179                 3.02443                16.66518               0.3022069
0.018660                 115.494                 3.07228                16.42197               0.2805964
0.019160                 115.442                 3.11101                16.30236                0.260454
0.019650                 115.049                 3.14081                16.21301               0.2416881
0.020150                 114.341                 3.16193                16.07764               0.2242133
0.020650                 113.344                  3.1747                 15.8406               0.2079476
0.021150                 112.084                 3.17948                15.46741                0.192813
0.021640                 110.588                 3.17664                 14.9429               0.1787372
0.022140                  108.88                 3.16661                14.26841               0.1656487
0.022640                 106.984                 3.14984                13.45824              0.15348363
0.023140                 104.924                 3.12675                12.53611              0.14218002
0.023630                 102.722                 3.09783                11.53153              0.13168022
0.024130                 100.399                 3.06351                 10.4768              0.12193033
0.024630                 97.9741                 3.02426                9.404178              0.11287926
0.025130                 95.4665                 2.98052                8.343558               0.1044798
0.025620                 92.8931                 2.93273                7.321046              0.09668742
0.026120                 90.2698                 2.88131                6.357498              0.08946044
0.026620                 87.6108                 2.82666                5.468372              0.08276006
0.027120                 84.9295                 2.76916                4.663592              0.07654957
0.027610                 82.2376                  2.7092                3.947946              0.07079506
0.028110                 79.5459                  2.6471                3.321823              0.06546437
0.028610                 76.8638                 2.58321                2.782022              0.06052768
0.029110                 74.1998                 2.51784                2.322728              0.05595711
0.029600                 71.5614                 2.45127                1.936382              0.05172638
0.030100                 68.9552                 2.38378                1.614492              0.04781121
0.030600                 66.3868                 2.31564                1.348318              0.04418869
0.031100                 63.8613                 2.24707               1.1293756              0.04083773
0.031590                  61.383                 2.17831               0.9498076              0.03773831
0.032090                 58.9555                 2.10956               0.8025912              0.03487198
0.032590                 56.5821                 2.04103               0.6816398              0.03222175
0.033090                 54.2653                 1.97288               0.5818346              0.02977157
0.033580                 52.0075                 1.90529               0.4989513              0.02750656
0.034080                 49.8102                  1.8384               0.4295779              0.02541294
0.034580                 47.6751                 1.77237               0.3710097               0.0234778
0.035080                 45.6031                 1.70731               0.3211229              0.02168944
0.035570                 43.5949                 1.64333               0.2782729              0.02003687
0.036070                 41.6512                 1.58055               0.2411922              0.01850968
0.036570                 39.7719                 1.51904                0.208907             0.017098588
0.037070                 37.9572                 1.45888                0.180666              0.01579478
0.037560                 36.2066                 1.40015               0.1558868             0.014590143
0.038060                 34.5197                 1.34289               0.1341104             0.013477182
0.038560                 32.8957                 1.28716               0.1149698             0.012448948
0.039060                 31.3339                 1.23297              0.09816384             0.011499038
0.039550                 29.8332                 1.18038              0.08343966             0.010621476
0.040050                 28.3924                 1.12938              0.07057914             0.009810806
0.040550                 27.0102                 1.07999              0.05935757             0.009061937
0.041050                 25.6854                 1.03221              0.04967712             0.008370163
0.041540                 24.4164                0.986039              0.04134144              0.00773114
0.042040                 23.2018                 0.94147              0.03419679             0.007140879
0.042540                   22.04                0.898487              0.02811148             0.006595652
0.043040                 20.9293                 0.85707              0.02296221             0.006092041
0.043530                 19.8682                0.817197              0.01863445             0.005626873
0.044030                 18.8549                0.778842              0.01502246             0.005197229
0.044530                 17.8879                0.741976             0.012029382             0.004800395
0.045030                 16.9655                0.706567             0.009567214             0.004433886
0.045520                 16.0861                0.672582             0.007556734             0.004095381
0.046020                 15.2479                0.639986             0.005927376             0.003782747
0.046520                 14.4495                0.608742             0.004616863             0.003494018
0.047020                 13.6893                0.578813             0.003570818             0.003227359
0.047510                 12.9658                0.550161             0.002742263             0.002981089
0.048010                 12.2773                0.522747             0.002087838             0.002753666
0.048510                 11.6225                0.496533              0.00158086             0.002543634
0.049010                      11                0.471478            0.0011886716              0.00234966
0.049500                 10.4084                0.447545            0.0008873218             0.002170531
0.050000                 9.84621                0.424695            0.0006575807            0.0020051083
0.050500                  9.3123                0.402889            0.0004838021            0.0018523487
0.051000                 8.80536                 0.38209            0.0003533758            0.0017112651
0.051490                 8.32417                0.362261             0.000256245            0.0015809768
0.051990                 7.86757                0.343364            0.0001844695            0.0014606511
0.052490                 7.43444                0.325363             0.000131839             0.001349528
0.052990                 7.02369                0.308225            9.354316e-05            0.0012469009
0.053480                 6.63427                0.291913            6.589176e-05            0.0011521188
0.053980                  6.2652                0.276394            4.607884e-05            0.0010645795
0.054480                 5.91549                0.261636            3.199043e-05            0.0009837274
0.054980                 5.58422                0.247608              2.2049e-05             0.000909049
0.055470                 5.27052                0.234276            1.508718e-05            0.0008400726
0.055970                 4.97353                0.221613           1.0248912e-05            0.0007763608
0.056470                 4.69242                0.209588             6.91189e-06            0.0007175086
0.056970                 4.42643                0.198173            4.627708e-06            0.0006631437
0.057460                  4.1748                0.187342            3.076002e-06            0.0006129231
0.057960                 3.93681                0.177067            2.029814e-06            0.0005665287
0.058460                 3.71178                0.167323            5.660578e-07            0.0005236678
0.058960                 3.49906                0.158085                       0            0.0004840687
0.059450                 3.29802                0.149331                       0            0.0004474822
0.059950                 3.10806                0.141036                       0            0.0004136787
0.060450                 2.92861                 0.13318                       0            0.0003824437
0.060950                 2.75912                 0.12574                       0            0.0003535828
0.061440                 2.59908                0.118697                       0            0.0003269128
0.061940                 2.44799                0.112032                       0            0.0003022681
0.062440                 2.30538                0.105725                       0             0.000279492
0.062940                 2.17079               0.0997583                       0            0.0002584429
0.063430                  2.0438               0.0941156                       0              0.00023899
0.063930                 1.92401               0.0887802                       0              0.00022101
0.064430                 1.81102               0.0837364                       0           0.00020439184
0.064930                 1.70447               0.0789694                       0           0.00018903175
0.065420                   1.604               0.0744647                       0           0.00017483303
0.065920                 1.50929               0.0702089                       0           0.00016170802
0.066420                 1.42002               0.0661889                       0           0.00014957514
0.066920                 1.33589               0.0623924                       0           0.00013835856
0.067410                 1.25661               0.0588075                       0           0.00012798888
0.067910                 1.18192                0.055423                       0           0.00011840186
0.068410                 1.11156               0.0522283                       0           0.00010953795
0.068910                 1.04529               0.0492132                       0           0.00010134217
0.069400                0.982878                0.046368                       0            9.376407e-05
0.069900                0.924111               0.0436836                       0            8.675675e-05
0.070400                0.868781               0.0411512                       0            8.027679e-05
0.070900                0.816695               0.0387626                       0            7.428444e-05
0.071390                0.767667               0.0365099                       0            6.874272e-05
0.071890                0.721525               0.0343856                       0            6.361743e-05
0.072390                0.678103               0.0323827                       0            5.887721e-05
0.072890                0.637246               0.0304944                       0            5.449272e-05
0.073380                0.598806               0.0287144                       0            5.043734e-05
0.073880                0.562646               0.0270368                       0            4.668599e-05
0.074380                0.528633               0.0254557                       0             4.32158e-05
0.074880                0.496644               0.0239657                       0            4.000552e-05
0.075370                 0.46656               0.0225618                       0            3.703561e-05
0.075870                0.438273               0.0212392                       0            3.428782e-05
0.076370                0.411675               0.0199931                       0            3.174551e-05
0.076870                0.386671               0.0188193                       0            2.939314e-05
0.077360                0.363165               0.0177137                       0            2.721642e-05
