channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226               0.0211338                       0            0.0015827203             0.093164364
0.005724               0.0218369                       0            0.0026723836             0.076844736
0.006221               0.0218895                       0            0.0040230368              0.06268266
0.006719               0.0213758                       0             0.005514271             0.050588352
0.007216               0.0204011                       0             0.006901353             0.040416336
0.007714               0.0190805                       0             0.007891357             0.031991076
0.008211               0.0175286                       0             0.008246729              0.02511423
0.008709               0.0158497                       0             0.007878635             0.019574424
0.009206                0.014132                       0              0.00688321              0.01516131
0.009704                0.012445                       0             0.005501528            0.0116785278
0.010200               0.0108388                       0            0.0040255319             0.008951751
0.010700              0.00934696                       0            0.0027001195            0.0068316192
0.011200              0.00798876                       0            0.0016647785            0.0051931386
0.011690              0.00677265                       0            0.0009491245            0.0039337218
0.012190              0.00569901                       0            0.0005068963             0.002970288
0.012690              0.00476273                       0           0.00026066233            0.0022364244
0.013190              0.00395504                       0           0.00013591108            0.0016795566
0.013680              0.00326504                       0            7.728133e-05           0.00125843706
0.014180              0.00268072                       0            5.051904e-05           0.00094094802
0.014680              0.00218984                       0           3.7449004e-05           0.00070224192
0.015180               0.0017804                       0           2.9718538e-05           0.00052321338
0.015670              0.00144112                       0           2.4026128e-05           0.00038923668
0.016170               0.0011616                       0           1.9282942e-05           0.00028917468
0.016670             0.000932573                       0           1.5204004e-05           0.00021457512
0.017170             0.000745819                       0            1.178723e-05           0.00015904818
0.017660             0.000594253                       0            8.984799e-06          0.000117776718
0.018160             0.000471779                       0            6.758787e-06           8.7140502e-05
0.018660             0.000373249                       0            5.041799e-06           6.4425294e-05
0.019160             0.000294308                       0           3.7509956e-06           4.7600226e-05
0.019650             0.000231331                       0           2.8016747e-06           3.5149446e-05
0.020150             0.000181285                       0           2.1158654e-06            2.594322e-05
0.020650             0.000141676                       0           1.6267459e-06           1.9140768e-05
0.021150             0.000110437                       0           1.2800021e-06           1.4117652e-05
0.021640             8.58883e-05                       0           1.0333242e-06          1.04102622e-05
0.022140             6.66532e-05                       0            8.550065e-07            7.675299e-06
0.022640             5.16288e-05                       0            7.221155e-07           5.6583108e-06
0.023140             3.99201e-05                       0            6.187174e-07           4.1712984e-06
0.023630             3.08196e-05                       0            5.342415e-07            3.075147e-06
0.024130             2.37584e-05                       0            4.620463e-07           2.2672656e-06
0.024630             1.82921e-05                       0           3.9823938e-07           1.6718346e-06
0.025130             1.40656e-05                       0           3.4073239e-07           1.2329928e-06
0.025620             1.08045e-05                       0           2.8873368e-07           9.0951372e-07
0.026120             8.29049e-06                       0           2.4178308e-07           6.7104918e-07
0.026620             6.35577e-06                       0           1.9983621e-07           4.9521276e-07
0.027120             4.86804e-06                       0           1.6289366e-07           3.6553248e-07
0.027610             3.72579e-06                       0           1.3088732e-07           2.6986356e-07
0.028110             2.84925e-06                       0           1.0363821e-07            1.992735e-07
0.028610              2.1776e-06                       0            8.083443e-08           1.4716962e-07
0.029110              1.6631e-06                       0            6.212414e-08          1.08706248e-07
0.029600             1.26954e-06                       0            4.703712e-08           8.0302284e-08
0.030100             9.68515e-07                       0           3.5079383e-08           5.9326326e-08
0.030600             7.38598e-07                       0           2.5769033e-08           4.3831008e-08
0.031100             5.62953e-07                       0           1.8645568e-08           3.2385024e-08
0.031590             4.28975e-07                       0           1.3288835e-08           2.3928012e-08
0.032090             3.26725e-07                       0            9.328921e-09             1.76805e-08
0.032590             2.48817e-07                       0            6.450767e-09           1.3064049e-08
0.033090             1.89407e-07                       0           4.3936463e-09           9.6537114e-09
0.033580             1.44181e-07                       0           2.9476359e-09            7.133634e-09
0.034080             1.09714e-07                       0           1.9478648e-09            5.272065e-09
0.034580             8.34953e-08                       0            1.267887e-09           3.8963934e-09
0.035080             6.35212e-08                       0            8.129035e-10           2.8801944e-09
0.035570             4.83359e-08                       0            5.133762e-10           2.1291804e-09
0.036070             3.67693e-08                       0           3.1935365e-10           1.5743628e-09
0.036570             2.79794e-08                       0           1.9568135e-10           1.1642472e-09
0.037070             2.12842e-08                       0           1.1810507e-10           8.6122026e-10
0.037560             1.61976e-08                       0            7.021522e-11           6.3715554e-10
0.038060             1.23225e-08                       0           4.1118895e-11           4.7154708e-10
0.038560             9.37899e-09                       0           2.3719114e-11           3.4904088e-10
0.039060             7.13586e-09                       0           1.3477566e-11           2.5846308e-10
0.039550             5.43216e-09                       0            7.543656e-12           1.9140444e-10
0.040050             4.13334e-09                       0           4.1592615e-12            1.418157e-10
0.040550             3.14696e-09                       0            6.693232e-13           1.0508715e-10
0.041050             2.39465e-09                       0            2.173178e-15           7.7913018e-11
0.041540             1.82338e-09                       0           1.4922615e-15           5.7771486e-11
0.042040             1.38749e-09                       0            1.014128e-15           4.2861762e-11
0.042540             1.05656e-09                       0            6.821602e-16           3.1802382e-11
0.043040             8.03937e-10                       0            4.542451e-16           2.3611356e-11
0.043530             6.12197e-10                       0           2.9949259e-16           1.7530884e-11
0.044030              4.6578e-10                       0           1.9555821e-16          1.30250034e-11
0.044530             3.54687e-10                       0           1.2650112e-16           9.6774786e-12
0.045030             2.69823e-10                       0            8.109788e-17           7.1954964e-12
0.045520             2.05464e-10                       0            5.155034e-17            5.349987e-12
0.046020             1.56284e-10                       0           3.2511151e-17           3.9809088e-12
0.046520             1.19006e-10                       0           2.0358526e-17           2.9620404e-12
0.047020             9.05097e-11                       0           1.2670402e-17           2.2057776e-12
0.047510             6.89226e-11                       0            7.846481e-18           1.6424532e-12
0.048010             5.24149e-11                       0           1.4019582e-18             1.22409e-12
0.048510             3.99168e-11                       0            5.825912e-19           9.1216512e-13
0.049010             3.03548e-11                       0           4.3805965e-19           6.8037336e-13
0.049500             2.31199e-11                       0            3.270035e-19             5.07384e-13
0.050000             1.75819e-11                       0            2.423374e-19             3.78765e-13
0.050500             1.33941e-11                       0           1.7829486e-19           2.8267686e-13
0.051000              1.0201e-11                       0            1.302289e-19            2.111922e-13
0.051490             7.75618e-12                       0            9.443361e-20           1.5773292e-13
0.051990             5.90956e-12                       0            6.798223e-20          1.17940068e-13
0.052490             4.49416e-12                       0            4.858632e-20           8.8150068e-14
0.052990             3.42557e-12                       0           3.4473323e-20           6.5963052e-14
0.053480             2.60556e-12                       0           2.4283034e-20           4.9335534e-14
0.053980             1.98694e-12                       0           1.6981311e-20           3.6945864e-14
0.054480             1.51162e-12                       0           1.1789378e-20           2.7650898e-14
0.054980             1.15324e-12                       0            8.125681e-21            2.072133e-14
0.055470             8.77514e-13                       0            5.560048e-21           1.5517332e-14
0.055970             6.69813e-13                       0           3.7770133e-21            1.163619e-14
0.056470             5.09782e-13                       0           2.5472244e-21            8.718588e-15
0.056970              3.8931e-13                       0           1.7054435e-21            6.541767e-15
0.057460             2.96346e-13                       0           1.1335928e-21            4.903812e-15
0.057960             2.26441e-13                       0            7.480432e-22           3.6814374e-15
0.058460              1.7241e-13                       0           2.0860841e-22           2.7608184e-15
0.058960             1.31811e-13                       0                       0           2.0736126e-15
0.059450             1.00376e-13                       0                       0           1.5556014e-15
0.059950             7.67859e-14                       0                       0          1.16890218e-15
0.060450             5.84884e-14                       0                       0           8.7717348e-16
0.060950             4.47683e-14                       0                       0           6.5937114e-16
0.061440             3.41059e-14                       0                       0            4.949352e-16
0.061940             2.61224e-14                       0                       0            3.721779e-16
0.062440             1.99057e-14                       0                       0           2.7943056e-16
0.062940             1.52554e-14                       0                       0            2.101932e-16
0.063430             1.16266e-14                       0                       0           1.5784434e-16
0.063930             8.91638e-15                       0                       0          1.18773378e-16
0.064430             6.79697e-15                       0                       0            8.921232e-17
0.064930             5.21574e-15                       0                       0           6.7150818e-17
0.065420             3.97641e-15                       0                       0             5.04099e-17
0.065920             3.05337e-15                       0                       0           3.7907406e-17
0.066420             2.32825e-15                       0                       0            2.846727e-17
0.066920             1.78886e-15                       0                       0           2.1416094e-17
0.067410             1.36411e-15                       0                       0           1.6087986e-17
0.067910             1.04873e-15                       0                       0          1.21083066e-17
0.068410               7.998e-16                       0                       0           9.0990306e-18
0.068910             6.15227e-16                       0                       0           6.8510376e-18
0.069400              4.6918e-16                       0                       0           5.1499368e-18
