channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0            0.0002013706
0.001246                       0                       0                       0              0.00154189
0.001744                       0                       0                       0             0.005602854
0.002241                       0                       0                       0             0.014074888
0.002739                       0                       0                       0              0.02842089
0.003236               0.0447067                       0                       0              0.04954325
0.003734                0.132002                       0                       0              0.07783751
0.004231                0.259393                       0                       0              0.11304898
0.004729                 0.47736                       0                       0              0.15449744
0.005226                0.762189                       0                       0               0.2011159
0.005724                 1.14211                       0                       0               0.2515417
0.006221                 1.63062                       0                       0                0.304426
0.006719                 2.23951                       0                       0               0.3581619
0.007216                 3.00193                       0                       0               0.4115471
0.007714                 3.95087                       0                       0               0.4630549
0.008211                 5.10383                       0              -0.2606269               0.5118738
0.008709                 6.45897                       0              -0.1223188               0.5567467
0.009206                 8.01492                       0               0.0827324               0.5973193
0.009704                 9.75888                       0               0.3541208               0.6326807
0.010200                 11.6821                       0               0.6887587               0.6628882
0.010700                 13.7761                       0                 1.08092                0.687377
0.011200                 16.0778                       0                1.523807               0.7064932
0.011690                 18.6086                       0                2.008261               0.7200182
0.012190                 21.3942                       0                2.525705               0.7284313
0.012690                 24.4002                       0                3.065702               0.7318011
0.013190                 27.5512                       0                3.618956               0.7306471
0.013680                 30.7607                       0                4.175716               0.7252362
0.014180                  33.956                       0                4.727348                0.716073
0.014680                 37.0633                       0                5.265535               0.7035366
0.015180                 40.0242                       0                5.783262                0.688083
0.015670                 42.7841                       0                6.279745               0.6701366
0.016170                 45.3073                0.248243                 6.76051               0.6500898
0.016670                  47.579                0.301917                 7.23039               0.6283557
0.017170                 49.5894                 0.37196                 7.69113               0.6052643
0.017660                  51.334                0.434177                  8.1433               0.5811845
0.018160                 52.8099                0.491146                 8.58553                0.556385
0.018660                 54.0214                0.556316                 9.01699               0.5311727
0.019160                 54.9702                0.630774                 9.43377               0.5057628
0.019650                 55.6656                0.693895                 9.83359               0.4803938
0.020150                 56.1152                0.748217                10.21316               0.4552348
0.020650                 56.3258                0.808526                10.56887               0.4304537
0.021150                  56.307                0.870427                10.89886               0.4061857
0.021640                  56.069                0.926301                11.20039               0.3825336
0.022140                 55.6275                0.975945                11.47253               0.3596073
0.022640                  54.993                  1.0211                11.71148               0.3374515
