channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                 4.17847               0.0530936                10.27148               0.8910239
0.005724                 5.46109               0.0887306                16.74275               0.8379709
0.006221                 6.95566                0.137965                24.92732                0.787333
0.006719                 8.65813                0.200417                33.86997               0.7389643
0.007216                  10.558                0.273584                42.05064               0.6927834
0.007714                 12.6393                0.353482                47.79678               0.6487596
0.008211                 14.8815                0.435813                49.88142               0.6068726
0.008709                   17.26                0.517096                48.00725               0.5670983
0.009206                 19.7466                0.595235                42.91255               0.5294023
0.009704                 22.3099                0.669424                36.04501               0.4937378
0.010200                 24.9164                0.739646                 28.9914                0.460052
0.010700                 27.5315                0.806145                22.95723               0.4282877
0.011200                 30.1209                0.869095                18.51185               0.3983821
0.011690                 32.6514                0.928497                15.63278               0.3702699
0.012190                 35.0921                0.984208                13.93543               0.3438825
0.012690                 37.4151                 1.03601                12.93186               0.3191475
0.013190                 39.5959                 1.08366                 12.2123               0.2959935
0.013680                 41.6133                 1.12691                11.52074                0.274346
0.014180                   43.45                 1.16556                10.75015               0.2541311
0.014680                 45.0921                 1.19943                 9.89873                0.235276
0.015180                 46.5299                 1.22836                 9.01994               0.2177071
0.015670                 47.7572                 1.25227                8.182684               0.2013529
0.016170                 48.7718                 1.27114                7.446002                0.186144
0.016670                 49.5748                 1.28501                6.846568               0.1720131
0.017170                 50.1706                 1.29401                6.396492               0.1588934
0.017660                 50.5665                 1.29829                 6.08583               0.1467215
0.018160                 50.7717                 1.29809                5.889687               0.1354366
0.018660                 50.7972                 1.29367                5.774943              0.12498089
0.019160                  50.655                 1.28534                5.706459              0.11529863
0.019650                 50.3577                 1.27339                5.651947              0.10633712
0.020150                 49.9183                 1.25815                5.584697              0.09804672
0.020650                 49.3498                 1.23994                5.485018              0.09038011
0.021150                  48.665                 1.21908                5.340565              0.08329312
0.021640                 47.8764                 1.19589                5.145609              0.07674424
0.022140                 46.9962                 1.17065                4.900282              0.07069455
0.022640                  46.036                 1.14367                4.609313               0.0651077
0.023140                 45.0069                 1.11522                4.280737              0.05994983
0.023630                 43.9195                 1.08555                3.924728              0.05518927
0.024130                 42.7837                 1.05492                3.552468              0.05079672
0.024630                 41.6088                 1.02353                 3.17515              0.04674494
0.025130                 40.4033                0.991603                2.803171              0.04300848
0.025620                 39.1754                0.959323                2.445601              0.03956377
0.026120                 37.9321                 0.92686                2.109674              0.03638904
0.026620                   36.68                0.894369                1.800713              0.03346389
0.027120                 35.4252                0.861984                1.522093              0.03076941
0.027610                 34.1729                0.829828                1.275396              0.02828808
0.028110                 32.9278                0.798006                1.060635              0.02600366
0.028610                 31.6941                0.766611               0.8765702              0.02390108
0.029110                 30.4754                0.735722               0.7210514              0.02196634
0.029600                  29.275                0.705409               0.5913136              0.02018626
0.030100                 28.0954                0.675729               0.4842821              0.01854907
0.030600                  26.939                0.646731               0.3967971              0.01704338
0.031100                 25.8078                0.618456               0.3258068             0.015658911
0.031590                 24.7034                0.590937               0.2684883              0.01438614
0.032090                 23.6272                  0.5642               0.2223252             0.013216164
0.032590                 22.5803                0.538266                0.185145             0.012140848
0.033090                 21.5636                0.513148               0.1551203             0.011152616
0.033580                 20.5776                0.488858               0.1307513             0.010244508
0.034080                  19.623                0.465402               0.1108304             0.009410103
0.034580                 18.6999                0.442781              0.09440348             0.008643459
0.035080                 17.8086                0.420993              0.08072706             0.007939124
0.035570                  16.949                0.400036              0.06922873             0.007292066
0.036070                 16.1211                  0.3799              0.05947162             0.006697656
0.036570                 15.3247                0.360577              0.05112325             0.006151628
0.037070                 14.5593                0.342053              0.04393137             0.005650062
0.037560                 13.8247                0.324316              0.03770354             0.005189344
0.038060                 13.1203                0.307347              0.03229122              0.00476617
0.038560                 12.4455                0.291131               0.0275785             0.004377465
0.039060                 11.7997                0.275647              0.02347305             0.004020448
0.039550                 11.1823                0.260876              0.01989961             0.003692534
0.040050                 10.5925                0.246797              0.01679541             0.003391345
0.040550                 10.0295                0.233388              0.01409541             0.003114717
0.041050                  9.4925                0.220626              0.01177884             0.002860649
0.041540                 8.98073                0.208488              0.00979071             0.002627293
0.042040                 8.49332                0.196952             0.008090583              0.00241297
0.042540                 8.02942                0.185995             0.006645292             0.002216123
0.043040                 7.58819                0.175594              0.00542427             0.002035337
0.043530                 7.16876                0.165726             0.004399397             0.001869305
0.044030                 6.77028                0.156368             0.003544954            0.0017168125
0.044530                 6.39191                0.147498              0.00283755             0.001576772
0.045030                 6.03282                0.139095             0.002256043            0.0014481527
0.045520                  5.6922                0.131138              0.00178149            0.0013300347
0.046020                 5.36924                0.123606             0.001397079             0.001221559
0.046520                 5.06317                 0.11648              0.00108801              0.00112194
0.047020                 4.77322                0.109739            0.0008413868            0.0010304572
0.047510                 4.49866                0.103365            0.0006460859            0.0009464442
0.048010                 4.23877               0.0973404            0.0004917325             0.000869294
0.048510                 3.99287               0.0916478             0.000372311            0.0007984455
0.049010                 3.76028               0.0862705            0.0002799461            0.0007333844
0.049500                 3.54036               0.0811926            0.0002089743            0.0006736387
0.050000                  3.3325               0.0763988            0.0001548679            0.0006187731
0.050500                 3.13609               0.0718744             0.000113941            0.0005683901
0.051000                 2.95057               0.0676054            8.322404e-05             0.000522123
0.051490                 2.77539               0.0635785             6.03487e-05            0.0004796353
0.051990                 2.61002               0.0597809            4.344475e-05            0.0004406173
0.052490                 2.45397               0.0562004            3.104958e-05            0.0004047862
0.052990                 2.30674               0.0528255            2.203052e-05            0.0003718809
0.053480                 2.16789               0.0496451            1.551828e-05            0.0003416609
0.053980                 2.03697               0.0466487           1.0852064e-05             0.000313908
0.054480                 1.91357               0.0438263            7.534099e-06            0.0002884194
0.054980                 1.79729               0.0411684            5.192805e-06            0.0002650093
0.055470                 1.68774               0.0386659            3.553207e-06            0.0002435084
0.055970                 1.58457               0.0363103            2.413738e-06            0.0002237605
0.056470                 1.48742               0.0340934            1.627831e-06            0.0002056219
0.056970                 1.39598               0.0320074            1.089882e-06           0.00018896096
0.057460                 1.30992               0.0300451            7.244342e-07           0.00017365615
0.057960                 1.22895               0.0281994            4.780434e-07           0.00015959763
0.058460                  1.1528               0.0264638            1.333131e-07           0.00014668232
0.058960                 1.08118                0.024832                       0           0.00013481766
0.059450                 1.01385               0.0232981                       0           0.00012391734
0.059950                0.950563               0.0218564                       0           0.00011390288
0.060450                0.891089               0.0205017                       0           0.00010470176
0.060950                0.835212               0.0192288                       0            9.624765e-05
0.061440                0.782725               0.0180331                       0            8.847954e-05
0.061940                0.733432               0.0169101                       0            8.134158e-05
0.062440                0.687149               0.0158555                       0            7.478243e-05
0.062940                0.643701               0.0148652                       0            6.875476e-05
0.063430                 0.60292               0.0139355                       0            6.321545e-05
0.063930                0.564652               0.0130628                       0            5.812469e-05
0.064430                0.528747               0.0122437                       0            5.344593e-05
0.064930                0.495065               0.0114751                       0            4.914586e-05
0.065420                0.463474               0.0107538                       0            4.519338e-05
0.065920                0.433849               0.0100771                       0            4.156057e-05
0.066420                0.406072              0.00944224                       0            3.822129e-05
0.066920                0.380032              0.00884677                       0            3.515167e-05
0.067410                0.355624              0.00828826                       0            3.232993e-05
0.067910                0.332749               0.0077645                       0            2.973592e-05
0.068410                0.311314              0.00727335                       0            2.735117e-05
0.068910                0.291231              0.00681285                       0            2.515879e-05
0.069400                0.272417              0.00638111                       0            2.314309e-05
0.069900                0.254795              0.00597639                       0            2.128985e-05
0.070400                 0.23829              0.00559701                       0           1.9585778e-05
0.070900                0.222835              0.00524143                       0           1.8018933e-05
0.071390                0.208364              0.00490818                       0           1.6578216e-05
0.071890                0.194816               0.0045959                       0           1.5253275e-05
0.072390                0.182134              0.00430326                       0           1.4034907e-05
0.072890                0.170264              0.00402908                       0           1.2914446e-05
0.073380                0.159155               0.0037722                       0           1.1883965e-05
0.073880                 0.14876              0.00353155                       0            1.093622e-05
0.074380                0.139033              0.00330611                       0           1.0064533e-05
0.074880                0.129934              0.00309494                       0            9.262752e-06
0.075370                0.121421              0.00289716                       0            8.525236e-06
0.075870                0.113459              0.00271193                       0            7.846812e-06
0.076370                0.106012              0.00253843                       0            7.222722e-06
