channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0              0.02559393
0.001246                       0                       0                       0             0.146484414
0.001744                       0                       0                       0              0.43988814
0.002241                       0                       0                       0              0.96374466
0.002739                       0                       0                       0              1.75371102
0.003236                0.178645                       0                       0               2.8201158
0.003734                0.500244                       0                       0                4.155093
0.004231                0.941711                       0                       0               5.7335832
0.004729                 1.67287                       0                       0                 7.51914
0.005226                  2.5944                       0                       0               9.4699998
0.005724                 3.79487                       0                       0              11.5362072
0.006221                 5.31084                       0                       0               13.674294
0.006719                 7.17449                       0                       0              15.8318856
0.007216                 9.48704                       0                       0              17.9733078
0.007714                 12.3487                       0                       0               20.050542
0.008211                 15.8104                       0              -0.5567898              22.0400334
0.008709                 19.8684                       0              -0.2616669              23.9016834
0.009206                 24.5213                       0                0.177622               25.624755
0.009704                 29.7395                       0                0.764637               27.178434
0.010200                 35.5039                       0                 1.49831               28.563246
0.010700                 41.8038                       0                2.372795                29.75751
0.011200                 48.7609                       0                 3.37991               30.769992
0.011690                 56.4573                       0                4.506461               31.588758
0.012190                 64.9839                       0                5.739684                32.22657
0.012690                 74.2566                       0                 7.06197               32.680242
0.013190                 84.0615                       0                 8.45709               32.964156
0.013680                 94.1539                       0                 9.90622               33.082002
0.014180                 104.323                       0                11.39218               33.048414
0.014680                 114.356                       0                12.89618               32.871672
0.015180                 124.077                       0                14.40223                32.56587
0.015670                 133.319                       0                15.90709               32.141988
0.016170                 141.971                0.541396                17.42506               31.612986
0.016670                 149.979                0.671815                18.96749               30.990996
0.017170                 157.305                0.845264                20.53996               30.287718
0.017660                 163.923                 1.00844                22.14324               29.515194
0.018160                 169.813                  1.1669                23.77451               28.683702
0.018660                 174.972                 1.35295                25.43012               27.804474
0.019160                  179.39                 1.57131                27.09916               26.886402
0.019650                  183.08                 1.77158                28.77286               25.939242
0.020150                 186.049                 1.95891                30.44019              24.9707754
0.020650                   188.3                 2.17176                32.08732              23.9888934
0.021150                 189.846                 2.39978                33.70518              23.0004612
0.021640                 190.702                 2.62235                35.28179               22.011399
0.022140                 190.899                 2.83797                36.80875              21.0277764
0.022640                 190.456                 3.05101                38.27052              20.0535444
0.023140                 189.421                 3.27073                39.66035              19.0942182
0.023630                 187.817                 3.49318                40.96533              18.1518768
0.024130                 185.702                 3.69624                42.18073              17.2315062
0.024630                 183.098                 3.87573                43.29317               16.333596
0.025130                 180.081                   4.058                44.30167              15.4627236
0.025620                 176.673                 4.25513                45.19224              14.6179476
0.026120                 172.964                 4.44378                45.97512              13.8035808
0.026620                 168.954                 4.59611                46.62996              13.0174272
0.027120                 164.734                 4.71825                47.17162              12.2635728
0.027610                 160.295                 4.83174                47.58316              11.5389126
0.028110                 155.727                 4.94789                47.88365              10.8473094
0.028610                 151.006                 5.04583                48.05407              10.1848698
0.029110                 146.223                  5.1104                48.11677               9.5553342
0.029600                 141.347                 5.14254                48.05775               8.9542692
0.030100                 136.466                 5.16568                47.89913                8.385246
0.030600                 131.538                 5.19293                47.62328               7.8435486
0.031100                  126.65                 5.22365                47.25704                7.332408
0.031590                 121.757                 5.23882                46.78173                6.847245
0.032090                 116.935                 5.22943                46.22419               6.3905724
0.032590                 112.145                  5.1938                45.56996               5.9584194
0.033090                 107.449                 5.14172                44.84442                5.552505
0.033580                 102.814                 5.07696                  44.036               5.1694668
0.034080                 98.2922                 5.00581                43.17024                4.810383
0.034580                 93.8543                 4.92837                42.23734               4.4724006
0.035080                 89.5398                 4.84772                41.25764               4.1561298
0.035570                 85.3259                 4.76267                40.22598               3.8591424
0.036070                 81.2453                 4.67313                39.16387              3.58166952
0.036570                 77.2766                 4.57548                 38.0652              3.32172558
0.037070                 73.4445                 4.47058                36.94855              3.07919106
0.037560                 69.7334                 4.35736                35.81048              2.85246126
0.038060                 66.1589                 4.23741                34.66419              2.64119274
0.038560                  62.711                 4.11078                33.50898              2.44409328
0.039060                 59.3993                 3.97948                  32.355               2.2606416
0.039550                 56.2157                 3.84512                31.20133              2.08982286
0.040050                  53.165                 3.71028                30.08805              1.93099752
0.040550                 50.2424                 3.57604                 29.0101              1.78337808
0.041050                 47.4457                   3.443                27.86737              1.64625624
0.041540                 44.7759                 3.31144                26.74188               1.5190254
0.042040                 42.2258                 3.18086                 25.6334              1.40094414
0.042540                 39.7971                 3.05185                 24.5467              1.29156498
0.043040                 37.4808                  2.9249                23.48058               1.1901285
0.043530                 35.2809                 2.80149                22.44107              1.09631736
0.044030                 33.1863                  2.6817                21.42549              1.00937916
0.044530                 31.2016                 2.56627                20.43956              0.92909538
0.045030                 29.3137                 2.45325                 19.4787              0.85474296
0.045520                 27.5288                 2.34208                18.54987              0.78618258
0.046020                 25.8327                 2.23099                17.64734               0.7227225
0.046520                 24.2321                 2.12055                16.77827               0.6642873
0.047020                 22.7124                 2.01086                15.93579              0.61022844
0.047510                 21.2811                 1.90482                15.12743              0.56051622
0.048010                 19.9231                 1.80282                14.34557              0.51454962
0.048510                 18.6467                 1.70677                13.59776              0.47233332
0.049010                 17.4368                 1.61546                12.87593               0.4333131
0.049500                 16.3018                 1.52919                12.18761             0.397521882
0.050000                 15.2267                 1.44623               11.524374             0.364454064
0.050500                 14.2201                 1.36719                10.89371             0.334159056
0.051000                 13.2681                 1.29073               10.287498              0.30618612
0.051490                 12.3778                 1.21767                9.712116             0.280572588
0.051990                 11.5371                  1.1471                9.160332             0.256947282
0.052490                 10.7513                 1.07978                8.637138             0.235320912
0.052990                 10.0108                 1.01499                8.136692              0.21539511
0.053480                 9.31923                0.953497                7.662868              0.19715976
0.053980                 8.66885                0.895135                7.210864             0.180376848
0.054480                 8.06184                0.840554                6.783248             0.165020814
0.054980                  7.4919                0.789404                6.376133             0.150902802
0.055470                 6.96046                0.742013                5.991542             0.137987532
0.055970                 6.46239                0.697344                5.626283             0.126125352
0.056470                 5.99808                0.654971                 5.28134             0.115275978
0.056970                 5.56374                0.614202                4.954474             0.105320916
0.057460                 5.15916                0.574871                4.646162             0.096216768
0.057960                 4.78121                0.536952                4.354425             0.087871752
0.058460                 4.42944                0.500905                4.079559              0.08024049
0.058960                 4.10139                0.466974                 3.82002             0.073252152
0.059450                 3.79615                0.435357                3.575508             0.066862116
0.059950                 3.51203                0.406112                3.345187             0.061016058
0.060450                 3.24776                0.379005                 3.12827              0.05567049
0.060950                 3.00221                0.353746                2.924351             0.050784588
0.061440                 2.77392                0.329982                2.732413             0.046317114
0.061940                 2.56212                0.307535                2.552248            0.0422374212
0.062440                 2.36532                0.286225                2.382785            0.0385071984
0.062940                 2.18301                0.266076                2.223964            0.0351036486
0.063430                 2.01368                0.247125                2.074656            0.0319917798
0.063930                 1.85707                0.229475                1.934951            0.0291547674
0.064430                 1.71167                0.213046                1.803655            0.0265608234
0.064930                 1.57741                0.197919                1.681016            0.0241980066
0.065420                 1.45282                 0.18389                1.565814            0.0220375296
0.065920                 1.33794                 0.17092               1.4583422            0.0200711754
0.066420                 1.23139                0.158791               1.3574518            0.0182731104
0.066920                 1.13325                 0.14749               1.2634312            0.0166379508
0.067410                 1.04229                0.136855                1.175235            0.0151426098
0.067910                0.958619                0.126912               1.0931236             0.013783797
0.068410                0.881095                0.117557               1.0161514            0.0125411112
0.068910                0.809881                0.108866               0.9445938            0.0114127704
0.069400                0.743901                0.100744                0.877492            0.0103807368
0.069900                0.683385               0.0932477               0.8152324            0.0094443822
0.070400                0.627336               0.0862675               0.7568628            0.0085879458
0.070900                0.575969               0.0798297               0.7027356            0.0078113304
0.071390                0.528447               0.0738264               0.6520688            0.0071012862
0.071890                0.484898               0.0682738               0.6050838            0.0064573434
0.072390                0.444649               0.0630895               0.5611354            0.0058690386
0.072890                0.407782               0.0582921               0.5204138             0.005335398
0.073380                0.373749               0.0538326               0.4823712           0.00484824204
0.073880                 0.34257               0.0497287               0.4471055           0.00440628138
0.074380                0.313822               0.0459395               0.4142107           0.00400310658
0.074880                0.287486               0.0424706               0.3837303             0.003637278
0.075370                0.263225               0.0392747               0.3553236           0.00330378768
0.075870                0.240995               0.0363345               0.3289958           0.00300113856
0.076370                0.220541               0.0336046               0.3044971            0.0027254376
0.076870                  0.2018               0.0310686               0.2817973           0.00247518486
0.077360                0.184574               0.0286971               0.2606931           0.00224737344
0.077860                 0.16879                0.026485               0.2411372             0.002040552
0.078360                0.154296               0.0244232               0.2229756            0.0018524016
0.078860                0.141019               0.0225133               0.2061529           0.00168155424
0.079350                 0.12884               0.0207487               0.1905474           0.00152623854
0.079850                 0.11731               0.0191629              0.17608806           0.00138517236
0.080350                0.106794               0.0176936               0.1626883           0.00125701812
0.080850               0.0974469               0.0163053              0.15027326           0.00114059196
0.081340               0.0889006               0.0150234              0.13878098            0.0010348965
0.081840               0.0810805               0.0138389              0.12813554           0.00093885606
0.082340                0.073938               0.0127464              0.11829096           0.00085171842
0.082840                0.067402               0.0117366               0.1091695           0.00077252292
0.083330               0.0614384               0.0108061              0.10074268           0.00070071642
0.083830               0.0559814              0.00994609              0.09293508           0.00063543942
0.084330               0.0510074              0.00915431              0.08572892           0.00057628926
0.084830               0.0464558              0.00842251              0.07905207          0.000522503766
0.085320               0.0423114               0.0077494              0.07289623           0.00047379987
0.085820                0.038519              0.00712729              0.06719292          0.000429501726
0.086320               0.0350691              0.00655555              0.06193906          0.000389412558
0.086820               0.0319121              0.00602705              0.05707059          0.000352941264
0.087310               0.0290429              0.00554178              0.05259005           0.00031995603
0.087810               0.0264173              0.00509318              0.04843789          0.000289939194
0.088310               0.0240333              0.00468163              0.04462004          0.000262808226
0.088810               0.0218516              0.00430115              0.04108183          0.000238112442
0.089300               0.0198726              0.00395239              0.03783152           0.00021580425
0.089800               0.0180613              0.00362993              0.03481888          0.000195493014
0.090300               0.0164198              0.00333461              0.03205397           0.00017715663
0.090800               0.0149179              0.00306162               0.0294919          0.000160462206
0.091290                0.013557              0.00281162              0.02714071          0.000145390086
0.091790               0.0123128               0.0025807              0.02496368          0.000131674356
0.092290               0.0111853               0.0023692              0.02296561          0.000119287422
0.092790               0.0101555              0.00217401             0.021117306          0.000108022086
0.093280              0.00922209              0.00199521             0.019420622           9.7845696e-05
0.093780              0.00837034              0.00183033             0.017852474           8.8595892e-05
0.094280              0.00759828              0.00167927             0.016412738           8.0237538e-05
0.094780              0.00689437              0.00154008             0.015083228            7.264494e-05
0.095270              0.00625622              0.00141254             0.013862376            6.578172e-05
0.095770              0.00567491              0.00129513             0.012735976          5.95512738e-05
0.096270              0.00514784              0.00118752              0.01170144          5.39174484e-05
0.096770              0.00466814              0.00108853             0.010747728           4.8805929e-05
0.097260              0.00423313             0.000997785             0.009871689          4.41825948e-05
0.097760              0.00383756             0.000914382             0.009064739          3.99902562e-05
0.098260              0.00347878             0.000837914             0.008323347          3.61971306e-05
0.098760              0.00315281             0.000767685             0.007641022          3.27595482e-05
0.099250              0.00285712             0.000703284             0.007013999          2.96483112e-05
0.099750              0.00258868             0.000644183             0.006437409           2.6830368e-05
