channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                 3.13991               0.0201355               10.014428               13.816188
0.005724                   4.103               0.0335727                16.30115              13.0487742
0.006221                 5.22704               0.0520224                24.23055               12.303423
0.006719                 6.51037               0.0752254                32.86679              11.5801866
0.007216                 7.94698                0.102105                40.73985              10.8802278
0.007714                 9.52719                0.131045                46.25316              10.2053664
0.008211                 11.2383                0.160366                48.26023               9.5574708
0.008709                 13.0648                0.188781                46.51817               8.9380332
0.009206                 14.9886                0.215605                41.76896               8.3480454
0.009704                 16.9894                0.240697                 35.4093                 7.78806
0.010200                 19.0451                0.264237                28.93921                7.258212
0.010700                 21.1325                0.286503                23.47215               6.7583358
0.011200                 23.2281                0.307728                19.50661               6.2879904
0.011690                  25.309                0.328055                16.98203               5.8464774
0.012190                 27.3534                0.347549                15.50587               5.4329202
0.012690                 29.3409                0.366226                14.60247               5.0463036
0.013190                 31.2531                 0.38407                13.88446               4.6854612
0.013680                 33.0735                0.401047                13.12179                4.349205
0.014180                 34.7877                0.417115                12.23356               4.0362354
0.014680                 36.3835                0.432224               11.242361               3.7452744
0.015180                 37.8512                0.446321               10.223012               3.4750332
0.015670                 39.1832                 0.45936                9.261139               3.2242122
0.016170                 40.3747                0.471299                8.426753              2.99157606
0.016670                 41.4231                0.482113                7.761694              2.77591446
0.017170                 42.3281                0.491784                7.277782              2.57606442
0.017660                 43.0913                0.500313                6.960721              2.39090976
0.018160                  43.716                0.507709                6.778759              2.21940504
0.018660                 44.2066                0.513991                6.690874              2.06055126
0.019160                 44.5687                0.519185                6.654484              1.91341062
0.019650                 44.8083                0.523323                6.630845              1.77711084
0.020150                 44.9319                 0.52644                 6.58832               1.6508349
0.020650                 44.9463                0.528573                6.503962              1.53381834
0.021150                 44.8585                0.529761                6.363544              1.42535826
0.021640                 44.6754                0.530044                6.160768              1.32480144
0.022140                  44.404                0.529464                5.896133              1.23154776
0.022640                 44.0512                0.528062                5.575411              1.14503724
0.023140                 43.6239                 0.52588                5.208138              1.06476336
0.023630                 43.1288                0.522962                  4.8063              0.99025326
0.024130                 42.5722                0.519349                4.382932              0.92107548
0.024630                 41.9604                0.515084                3.951094               0.8568324
0.025130                 41.2995                0.510207                3.522893              0.79715808
0.025620                  40.595                 0.50476                3.108926              0.74171628
0.026120                 39.8525                0.498781                2.717689              0.69019794
0.026620                 39.0769                0.492309                2.355502              0.64231614
0.027120                 38.2729                0.485382                2.026477              0.59780898
0.027610                 37.4451                0.478037                1.732663              0.55643202
0.028110                 36.5975                0.470307                1.474333              0.51796098
0.028610                 35.7338                0.462228                1.250319             0.482186214
0.029110                 34.8576                0.453833               1.0583976             0.448916436
0.029600                 33.9721                0.445155               0.8956393             0.417971376
0.030100                 33.0802                0.436224                0.758725             0.389187972
0.030600                 32.1848                0.427072               0.6442315              0.36240939
0.031100                 31.2882                0.417728               0.5488261             0.337495068
0.031590                 30.3929                0.408223               0.4694103              0.31431285
0.032090                 29.5009                0.398583               0.4032149             0.292739202
0.032590                 28.6141                0.388836               0.3478381             0.272661156
0.033090                 27.7345                 0.37901               0.3012524             0.253974528
0.033580                 26.8635                0.369129               0.2617841             0.236579274
0.034080                 26.0028                0.359218               0.2280788             0.220385232
0.034580                 25.1535                0.349301               0.1990583              0.20530827
0.035080                 24.3171                  0.3394               0.1738746             0.191270178
0.035570                 23.4945                0.329536               0.1518673             0.178198128
0.036070                 22.6868                 0.31973               0.1325247             0.166024854
0.036570                 21.8947                0.309999              0.11545019               0.1546875
0.037070                 21.1191                0.300362              0.10033431             0.144128232
0.037560                 20.3606                0.290834              0.08693391             0.134292996
0.038060                 19.6196                0.281429              0.07505358             0.125131374
0.038560                 18.8966                 0.27216              0.06453335             0.116596962
0.039060                  18.192                 0.26304              0.05523873             0.108646398
0.039550                  17.506                0.254078              0.04705235             0.101239434
0.040050                 16.8388                0.245285              0.03987095             0.094338504
0.040550                 16.1903                0.236667              0.03358708             0.087908976
0.041050                 15.5608                0.228231              0.02814409              0.08191845
0.041540                   14.95                0.219983              0.02344466             0.076336704
0.042040                 14.3579                0.211928              0.01940905              0.07113591
0.042540                 13.7845                 0.20407               0.0159663             0.066289968
0.043040                 13.2293                 0.19641              0.01304922             0.061774344
0.043530                 12.6923                0.188952             0.010594833            0.0575669466
0.044030                 12.1732                0.181696             0.008544547            0.0536463342
0.044530                 11.6716                0.174643             0.006844332            0.0499930956
0.045030                 11.1872                0.167793             0.005444857            0.0465890652
0.045520                 10.7198                0.161145             0.004301583            0.0434171034
0.046020                 10.2689                0.154698             0.003374668            0.0404616312
0.046520                  9.8342                0.148451              0.00262891            0.0377076762
0.047020                 9.41527                0.142402             0.002033503             0.035141472
0.047510                 9.01174                0.136548             0.001561797            0.0327504816
0.048010                 8.62321                0.130886             0.001189418            0.0305224416
0.048510                 8.24929                0.125415            0.0009006343            0.0284464296
0.049010                 7.88957                0.120131            0.0006771987            0.0265121316
0.049500                 7.54366                 0.11503            0.0005055169            0.0247098366
0.050000                 7.21114                0.110109            0.0003746308            0.0230304546
0.050500                 6.89163                0.105364            0.0002756272            0.0214656516
0.051000                 6.58473                0.100791            0.0002013217            0.0200075922
0.051490                 6.29005               0.0963874            0.0001459855             0.018648981
0.051990                 6.00721                0.092148           0.00010509427            0.0173830392
0.052490                 5.73581               0.0880691            7.511003e-05            0.0162034308
0.052990                  5.4755               0.0841465            5.329254e-05            0.0151042662
0.053480                 5.22589               0.0803759            3.753925e-05            0.0140800212
0.053980                 4.98664               0.0767534            2.625153e-05             0.013125591
0.054480                 4.75737               0.0732745            1.822527e-05            0.0122361768
0.054980                 4.53775               0.0699352            1.256155e-05            0.0114073668
0.055470                 4.32744               0.0667312            8.595321e-06            0.0106349976
0.055970                 4.12609               0.0636583            5.838917e-06              0.00991521
0.056470                 3.93339               0.0607123            3.937779e-06            0.0092444148
0.056970                 3.74903               0.0578893            2.636459e-06            0.0086192622
0.057460                 3.57268                0.055185            1.752429e-06            0.0080366184
0.057960                 3.40405               0.0525956           1.1564061e-06            0.0074935998
0.058460                 3.24284                0.050117             3.22489e-07            0.0069874758
0.058960                 3.08877               0.0477453                       0            0.0065157444
0.059450                 2.94156               0.0454767                       0           0.00607605858
0.059950                 2.80094               0.0433075                       0           0.00566620668
0.060450                 2.66665               0.0412339                       0           0.00528419862
0.060950                 2.53843               0.0392525                       0            0.0049280724
0.061440                 2.41604               0.0373597                       0           0.00459612414
0.061940                 2.29923                0.035552                       0            0.0042866532
0.062440                 2.18779               0.0338262                       0           0.00399818106
0.062940                 2.08148               0.0321789                       0           0.00372922848
0.063430                 1.98008               0.0306071                       0            0.0034784865
0.063930                  1.8834               0.0291077                       0           0.00324472716
0.064430                 1.79123               0.0276777                       0           0.00302677686
0.064930                 1.70337               0.0263142                       0           0.00282357954
0.065420                 1.61964               0.0250145                       0            0.0026341056
0.065920                 1.53987               0.0237758                       0            0.0024574338
0.066420                 1.46386               0.0225955                       0            0.0022927005
0.066920                 1.39147               0.0214712                       0           0.00213908922
0.067410                 1.32253               0.0204004                       0           0.00199584612
0.067910                 1.25688               0.0193808                       0           0.00186226452
0.068410                 1.19438                 0.01841                       0            0.0017376921
0.068910                 1.13489                0.017486                       0           0.00162151488
0.069400                 1.07827               0.0166066                       0           0.00151316604
0.069900                 1.02439               0.0157699                       0           0.00141211188
0.070400                0.973118               0.0149739                       0           0.00131785992
0.070900                0.924344               0.0142168                       0           0.00122994828
0.071390                0.877947               0.0134967                       0            0.0011479482
0.071890                 0.83382               0.0128119                       0           0.00107145774
0.072390                0.791856               0.0121609                       0           0.00100010538
0.072890                0.751954               0.0115421                       0           0.00093354264
0.073380                0.714017               0.0109539                       0           0.00087144678
0.073880                0.677954               0.0103948                       0           0.00081351432
0.074380                0.643674              0.00986364                       0           0.00075946446
0.074880                0.611094              0.00935895                       0           0.00070903566
0.075370                0.580132              0.00887948                       0          0.000661980564
0.075870                0.550713              0.00842405                       0          0.000618074712
0.076370                 0.52276              0.00799145                       0           0.00057710475
0.076870                0.496204              0.00758064                       0           0.00053887185
0.077360                0.470977              0.00719051                       0          0.000503192448
