channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0                       0
0.001246                       0                       0                       0                       0
0.001744                       0                       0                       0                       0
0.002241                       0                       0                       0                       0
0.002739                       0                       0                       0                       0
0.003236                       0                       0                       0                       0
0.003734                       0                       0                       0                       0
0.004231                       0                       0                       0                       0
0.004729                       0                       0                       0                       0
0.005226                 3.13939               0.0201462               10.012445               0.7677284
0.005724                 4.10236               0.0335907                16.29793               0.7250847
0.006221                 5.22626                 0.05205                 24.2259               0.6836673
0.006719                 6.50943               0.0752651                 32.8606               0.6434757
0.007216                 7.94585                0.102159                40.73234               0.6045796
0.007714                 9.52584                0.131112                46.24477                0.567077
0.008211                 11.2367                0.160446                48.25153               0.5310733
0.008709                 13.0629                0.188873                46.50958               0.4966506
0.009206                 14.9864                0.215707                41.76071               0.4638633
0.009704                 16.9868                0.240806                35.40147                0.432743
0.010200                  19.042                0.264351                28.93158               0.4032972
0.010700                 21.1289                0.286619                23.46448               0.3755181
0.011200                  23.224                0.307845                19.49874                0.349379
0.011690                 25.3044                0.328171                16.97388               0.3248422
0.012190                 27.3481                0.347663                 15.4975                 0.30186
0.012690                  29.335                0.366335                14.59402               0.2803739
0.013190                 31.2465                0.384173                13.87614               0.2603218
0.013680                 33.0662                0.401143                13.11382               0.2416347
0.014180                 34.7797                0.417202               12.226096                0.224242
0.014680                 36.3748                  0.4323               11.235498               0.2080726
0.015180                 37.8417                0.446386               10.216786               0.1930547
0.015670                  39.173                0.459412                9.255477               0.1791172
0.016170                 40.3638                0.471339                 8.42157              0.16618981
0.016670                 41.4114                0.482138                 7.75689              0.15420594
0.017170                 42.3158                0.491796                7.273221              0.14310082
0.017660                 43.0783                 0.50031                6.956307              0.13281275
0.018160                 43.7024                0.507691                6.774357              0.12328303
0.018660                 44.1924                0.513958                6.686482              0.11445647
0.019160                  44.554                0.519137                6.650068              0.10628106
0.019650                  44.793                 0.52326                6.626375              0.09870814
0.020150                 44.9162                0.526363                6.583836              0.09169225
0.020650                 44.9302                0.528481                6.499511              0.08519108
0.021150                  44.842                0.529655                6.359141               0.0791654
0.021640                 44.6585                0.529925                6.156471              0.07357896
0.022140                 44.3868                0.529332                5.892009              0.06839829
0.022640                 44.0338                0.527918                5.571471              0.06359251
0.023140                 43.6063                0.525725                 5.20443              0.05913324
0.023630                  43.111                0.522796                4.802846              0.05499424
0.024130                 42.5543                0.519174                4.379756              0.05115152
0.024630                 41.9424                0.514899                3.948202                0.047583
0.025130                 41.2814                0.510014                3.520284              0.04426829
0.025620                  40.577                0.504558                3.106593              0.04118886
0.026120                 39.8344                0.498572                2.715616              0.03832737
0.026620                 39.0589                0.492094                2.353676              0.03566792
0.027120                  38.255                0.485162                2.024875              0.03319592
0.027610                 37.4272                0.477811                1.731265              0.03089794
0.028110                 36.5797                0.470077                1.473114              0.02876119
0.028610                 35.7162                0.461994                 1.24926             0.026774394
0.029110                 34.8401                0.453596               1.0574783              0.02492667
0.029600                 33.9548                0.444915               0.8948388             0.023208199
0.030100                 33.0632                0.435982               0.7580284              0.02160966
0.030600                  32.168                0.426829               0.6436234             0.020122581
0.031100                 31.2716                0.417485               0.5482935             0.018739052
0.031590                 30.3765                0.407978                0.468942             0.017451691
0.032090                 29.4848                0.398339               0.4028032             0.016253686
0.032590                 28.5983                0.388593                0.347475             0.015138762
0.033090                 27.7189                0.378767               0.3009315             0.014101028
0.033580                 26.8483                0.368887               0.2615005              0.01313509
0.034080                 25.9878                0.358978               0.2278278             0.012235861
0.034580                 25.1389                0.349063               0.1988363             0.011398683
0.035080                 24.3027                0.339164               0.1736784             0.010619182
0.035570                 23.4805                0.329303               0.1516942             0.009893337
0.036070                  22.673                  0.3195               0.1323726              0.00921741
0.036570                 21.8813                0.309773              0.11531665               0.0085879
0.037070                  21.106                0.300138              0.10021777             0.008001601
0.037560                 20.3477                0.290614              0.08683234             0.007455512
0.038060                 19.6071                0.281212              0.07496563             0.006946824
0.038560                 18.8844                0.271948              0.06445767             0.006472973
0.039060                 18.1801                0.262831              0.05517343             0.006031535
0.039550                 17.4944                0.253874              0.04699667             0.005620283
0.040050                 16.8275                0.245084              0.03982371              0.00523713
0.040550                 16.1793                 0.23647               0.0335472             0.004880162
0.041050                 15.5501                0.228039              0.02811064              0.00454756
0.041540                 14.9396                0.219795              0.02341675             0.004237664
0.042040                 14.3478                0.211745              0.01938593             0.003948917
0.042540                 13.7746                 0.20389              0.01594727             0.003679874
0.043040                 13.2198                0.196235              0.01303365             0.003429178
0.043530                  12.683                0.188781             0.010582197            0.0031955829
0.044030                 12.1642                0.181529             0.008534354            0.0029779243
0.044530                 11.6629                0.174481              0.00683616            0.0027751087
0.045030                 11.1788                0.167635             0.005438367            0.0025861277
0.045520                 10.7116                0.160991              0.00429644            0.0024100363
0.046020                  10.261                0.154549             0.003370635            0.0022459588
0.046520                 9.82649                0.148306             0.002625766            0.0020930655
0.047020                 9.40779                0.142261             0.002031071            0.0019506106
0.047510                  9.0045                0.136411             0.001559931            0.0018178658
0.048010                  8.6162                0.130754            0.0011879949            0.0016941836
0.048510                  8.2425                0.125286            0.0008995564            0.0015789461
0.049010                   7.883                0.120006            0.0006763883            0.0014715607
0.049500                  7.5373                0.114909            0.0005049115            0.0013715116
0.050000                   7.205                0.109991            0.0003741827            0.0012782853
0.050500                 6.88569                 0.10525            0.0002752977            0.0011914203
0.051000                 6.57899                0.100682            0.0002010809             0.001110481
0.051490                 6.28451               0.0962812            0.0001458108            0.0010350648
0.051990                 6.00185               0.0920453           0.00010496856            0.0009647926
0.052490                 5.73064               0.0879698            7.502025e-05            0.0008993129
0.052990                  5.4705               0.0840505            5.322888e-05             0.000838298
0.053480                 5.22107               0.0802832            3.749435e-05            0.0007814446
0.053980                 4.98198               0.0766638            2.622014e-05            0.0007284648
0.054480                 4.75287                0.073188            1.820347e-05            0.0006790963
0.054980                 4.53341               0.0698517            1.254652e-05            0.0006330909
0.055470                 4.32325               0.0666506            8.585061e-06            0.0005902194
0.055970                 4.12206               0.0635806            5.831933e-06            0.0005502675
0.056470                  3.9295               0.0606374            3.933069e-06            0.0005130339
0.056970                 3.74528               0.0578171            2.633306e-06            0.0004783345
0.057460                 3.56906               0.0551154            1.750332e-06            0.0004459959
0.057960                 3.40057               0.0525285           1.1550221e-06            0.0004158551
0.058460                 3.23949               0.0500524            3.221035e-07            0.0003877646
0.058960                 3.08554               0.0476831                       0            0.0003615816
0.059450                 2.93845               0.0454168                       0           0.00033717822
0.059950                 2.79795               0.0432498                       0           0.00031443101
0.060450                 2.66377               0.0411785                       0           0.00029322814
0.060950                 2.53565               0.0391992                       0           0.00027346392
0.061440                 2.41337               0.0373083                       0           0.00025503978
0.061940                 2.29666               0.0355027                       0           0.00023786575
0.062440                 2.18532               0.0337787                       0           0.00022185409
0.062940                  2.0791               0.0321333                       0           0.00020692862
0.063430                  1.9778               0.0305633                       0           0.00019301353
0.063930                  1.8812               0.0290656                       0            0.0001800397
0.064430                 1.78912               0.0276372                       0           0.00016794506
0.064930                 1.70134               0.0262754                       0            0.0001566679
0.065420                 1.61769               0.0249772                       0           0.00014615262
0.065920                 1.53799                 0.02374                       0           0.00013634854
0.066420                 1.46206               0.0225611                       0           0.00012720682
0.066920                 1.38974               0.0214382                       0           0.00011868243
0.067410                 1.32087               0.0203687                       0           0.00011073349
0.067910                 1.25529               0.0193504                       0           0.00010332076
0.068410                 1.19285               0.0183808                       0            9.640811e-05
0.068910                 1.13342                0.017458                       0            8.996143e-05
0.069400                 1.07686               0.0165798                       0            8.394902e-05
0.069900                 1.02303               0.0157442                       0            7.834165e-05
0.070400                0.971815               0.0149492                       0            7.311168e-05
0.070900                0.923093               0.0141931                       0            6.823364e-05
0.071390                0.876747                0.013474                       0            6.368364e-05
0.071890                0.832669               0.0127902                       0            5.943942e-05
0.072390                0.790751               0.0121401                       0            5.548036e-05
0.072890                0.750895               0.0115221                       0            5.178714e-05
0.073380                0.713001               0.0109347                       0            4.834178e-05
0.073880                0.676979               0.0103765                       0            4.512747e-05
0.074380                0.642739              0.00984612                       0            4.212856e-05
0.074880                0.610197              0.00934216                       0             3.93307e-05
0.075370                0.579273              0.00886341                       0           3.6719983e-05
0.075870                0.549889              0.00840865                       0           3.4284079e-05
0.076370                0.521969              0.00797672                       0           3.2010996e-05
0.076870                0.495447              0.00756653                       0           2.9889955e-05
