channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0       0.000320118325298
0.001246                       0                       0                       0        0.00101149731484
0.001744                       0                       0                       0        0.00183360106415
0.002241                       0                       0                       0         0.0025439180897
0.002739                       0                       0                       0         0.0030099584568
0.003236             0.000833456                       0                       0         0.0032097769938
0.003734              0.00158614                       0                       0         0.0031762560997
0.004231              0.00204502                       0                       0         0.0029737434405
0.004729              0.00250342                       0                       0         0.0026672338575
0.005226              0.00268633                       0                       0         0.0023102301277
0.005724               0.0027322                       0                       0         0.0019473140562
0.006221              0.00266336                       0                       0         0.0016014741461
0.006719              0.00251767                       0                       0         0.0012933826363
0.007216              0.00232977                       0                       0         0.0010249860878
0.007714              0.00213204                       0                       0        0.00080237159854
0.008211              0.00191674                       0       -0.00048996432612        0.00061840609031
0.008709               0.0016997                       0       -0.00016279863064        0.00047274182912
0.009206              0.00147674                       0        7.7965530046e-05        0.00035652711144
0.009704              0.00126757                       0         0.0002381206069        0.00026751474855
0.010200              0.00106736                       0        0.00032996504841        0.00019826494569
0.010700             0.000891648                       0        0.00037175396909        0.00014655049823
0.011200             0.000734984                       0        0.00037528386089       0.000107110396659
0.011690             0.000604781                       0        0.00035663251436        7.8173340162e-05
0.012190             0.000492804                       0        0.00032251119169        5.6485245229e-05
0.012690             0.000400691                       0        0.00028318429268        4.0781249256e-05
0.013190             0.000321611                       0       0.000241159565024        2.9185216457e-05
0.013680             0.000256568                       0       0.000201786282657        2.0876596436e-05
0.014180             0.000201836                       0       0.000165233645772       1.48187863252e-05
0.014680             0.000157704                       0       0.000133705813176       1.05150799515e-05
0.015180             0.000121636                       0       0.000106440818881        7.4116356639e-06
0.015670             9.32191e-05                       0        8.4076839371e-05        5.2221273408e-06
0.016170             7.06455e-05             2.68365e-11        6.5715053751e-05        3.6584958007e-06
0.016670             5.32563e-05             2.18716e-11        5.1173418479e-05       2.56164913792e-06
0.017170             3.97926e-05             1.80261e-11        3.9572983036e-05        1.7850981544e-06
0.017660             2.96024e-05             1.41283e-11        3.0525702567e-05       1.24295903363e-06
