channel                 nue_Ar40             nuebar_Ar40                      nc                       e
E                                                                                                       
0.000749                       0                       0                       0             0.071088696
0.001246                       0                       0                       0              0.27316656
0.001744                       0                       0                       0              0.64295424
0.002241                       0                       0                       0              1.19352312
0.002739                       0                       0                       0              1.92471876
0.003236                0.184491                       0                       0                2.825982
0.003734                 0.47464                       0                       0               3.8796066
0.004231                0.834733                       0                       0               5.0638338
0.004729                 1.40304                       0                       0                6.352515
0.005226                 2.08003                       0                       0               7.7211504
0.005724                 2.93275                       0                       0               9.1411686
0.006221                 3.98359                       0                       0              10.5905988
0.006719                 5.25409                       0                       0              12.0421008
0.007216                 6.81669                       0                       0              13.4790084
0.007714                 8.74409                       0                       0              14.8772178
0.008211                 11.0738                       0              -0.4238974              16.2262746
0.008709                 13.8124                       0              -0.1981818              17.5061196
0.009206                  16.969                       0               0.1340859              18.7123752
0.009704                 20.5424                       0               0.5763691              19.8291186
0.010200                 24.5361                       0                1.129433              20.8570014
0.010700                 28.9695                       0                1.791334              21.7842192
0.011200                 33.9489                       0                2.558723              22.6149264
0.011690                 39.5659                       0                3.425255              23.3417538
0.012190                 45.9155                       0                4.384823               23.970393
0.012690                 52.9823                       0                 5.42818              24.4976076
0.013190                 60.6518                       0                 6.54676              24.9297606
0.013680                 68.7897                       0                 7.73018              25.2668376
0.014180                 77.2747                       0                 8.96883               25.515324
0.014680                 85.9789                       0                10.25156               25.677594
0.015180                  94.792                       0                  11.569                25.75989
0.015670                 103.601                       0                12.92156               25.766208
0.016170                 112.325                0.456726                14.32409               25.702398
0.016670                 120.922                0.572999                15.78927                25.57341
0.017170                 129.357                 0.72908                17.32609                25.38459
0.017660                 137.595                0.879862                18.93913               25.141212
0.018160                 145.607                 1.03011                20.63089               24.848262
0.018660                  153.37                 1.20869                22.40239               24.510924
0.019160                 160.855                 1.42095                24.24895               24.133689
0.019650                 168.042                 1.62202                26.16674               23.721408
0.020150                 174.911                 1.81628                28.14997               23.278266
0.020650                 181.431                 2.03961                30.18945              22.8084624
0.021150                 187.576                  2.2833                32.27965              22.3158906
0.021640                 193.322                 2.52832                34.41204              21.8041002
0.022140                 198.654                 2.77324                36.57999              21.2767074
0.022640                 203.553                 3.02244                38.77025              20.7364824
0.023140                 208.014                 3.28531                40.97541              20.1868794
0.023630                 212.027                 3.55852                43.18352               19.629846
0.024130                 215.593                 3.81952                45.38652                19.06875
0.024630                 218.707                 4.06354                47.57085              18.5047722
0.025130                  221.39                 4.31762                 49.7293              17.9411544
0.025620                 223.648                 4.59554                51.84665              17.3783736
0.026120                 225.518                  4.8724                53.92502              16.8195888
0.026620                 226.994                 5.11756                55.94181              16.2645948
0.027120                 228.118                 5.33593                57.90106              15.7165668
0.027610                  228.88                 5.55151                59.78379              15.1746804
0.028110                 229.327                 5.77666                61.59696               14.642091
0.028610                 229.441                  5.9878                63.31892              14.1173856
0.029110                 229.272                 6.16504                64.95776              13.6037628
0.029600                 228.804                 6.30873                66.49956              13.0993506
0.030100                 228.084                 6.44525                67.95044              12.6073116
0.030600                  227.09                   6.592                69.29132                12.12543
0.031100                 225.875                 6.74737                70.53372              11.6567676
0.031590                 224.414                 6.88806                71.65674              11.1990096
0.032090                 222.756                 6.99987                72.67276               10.754784
0.032590                  220.88                 7.08009                73.56542              10.3220226
0.033090                 218.833                 7.13928                74.34754                9.902835
0.033580                 216.592                 7.18269                75.00438               9.4954428
0.034080                 214.204                 7.21732                75.55312               9.1014678
0.034580                 211.651                 7.24379                75.98012               8.7194088
0.035080                 208.968                  7.2652                76.29766               8.3504898
0.035570                 206.142                 7.28029                 76.4985               7.9933968
0.036070                 203.212                 7.28764                 76.6016               7.6490478
0.036570                  200.16                 7.28173                76.59682               7.3163358
0.037070                 197.021                 7.26238                76.50274               6.9958422
0.037560                 193.785                 7.22754                76.31338               6.6867138
0.038060                 190.477                 7.17835                76.04138               6.3892458
0.038560                 187.095                 7.11436                75.68495               6.1027794
0.039060                 183.661                 7.03777                75.25563                5.827347
0.039550                 180.173                 6.95092                74.74954               5.5624932
0.040050                 176.649                 6.85771                74.25751                5.308056
0.040550                 173.091                 6.75984                73.77029               5.0637042
0.041050                 169.506                 6.65816                73.02829                4.829139
0.041540                 165.909                 6.55286                 72.2293               4.6041714
0.042040                 162.297                 6.44294                71.37265               4.3883532
0.042540                 158.683                 6.32901                70.46542               4.1816088
0.043040                 155.065                 6.21229                69.50737               3.9834054
0.043530                  151.46                 6.09533                68.50843               3.7937412
0.044030                 147.862                 5.97895                67.46789               3.6120006
0.044530                 144.287                 5.86428                66.39424               3.4382952
0.045030                 140.725                 5.74776                65.28358                3.271941
0.045520                 137.194                 5.62709                64.14807               3.1130847
0.046020                 133.681                 5.49868                62.98224              2.96101746
0.046520                 130.206                 5.36239                61.79949               2.8159596
0.047020                 126.751                 5.21912                60.59159              2.67715278
0.047510                 123.342                 5.07503                59.37368               2.5448724
0.048010                 119.956                 4.93251                58.13613              2.41833798
0.048510                 116.621                  4.7959                56.89473              2.29786884
0.049010                 113.313                 4.66382                55.63838               2.1826674
0.049500                 110.062                 4.53622                54.38396              2.07308466
0.050000                 106.841                 4.40993                53.11883                1.968327
0.050500                 103.681                 4.28559                51.86063              1.86876504
0.051000                 100.556                 4.16081                50.59686              1.77363342
0.051490                  97.496                 4.03699                49.34414              1.68325488
0.051990                  94.475                 3.91274                48.08962              1.59696324
0.052490                 91.5182                  3.7896                46.84785              1.51500348
0.052990                 88.6053                 3.66651                45.60862              1.43681454
0.053480                 85.7583                 3.54547                 44.3852               1.3625631
0.053980                 82.9601                 3.42728                43.16904               1.2917853
0.054480                 80.2268                 3.31412                41.96952              1.22458644
0.054980                 77.5447                 3.20607                40.77974              1.16057808
0.055470                 74.9288                 3.10452                39.60938              1.09981674
0.055970                 72.3667                 3.00648                38.45214                1.041984
0.056470                 69.8681                 2.91007                37.31373              0.98709282
0.056970                  67.426                 2.81299                36.19161              0.93488688
0.057460                 65.0471                 2.71425                35.08998               0.8853435
0.057960                 62.7245                 2.61414                34.00522              0.83825676
0.058460                 60.4648                 2.51486                32.94253              0.79357644
0.058960                 58.2624                 2.41822                31.89865               0.7511418
0.059450                 56.1203                 2.32567                30.87593              0.71088228
0.059950                 54.0369                 2.23828                29.87449                0.672669
0.060450                 52.0112                 2.15545                28.89354              0.63641988
0.060950                 50.0448                 2.07618                27.93555              0.60203844
0.061440                 48.1343                 1.99897                 26.9979              0.56942244
0.061940                 46.2821                 1.92307                26.08355              0.53850888
0.062440                  44.484                 1.84782                25.18967              0.50918778
0.062940                 42.7433                 1.77353                24.31935              0.48141288
0.063430                 41.0547                   1.701                23.46926              0.45507114
0.063930                 39.4224                 1.63114                22.64302              0.43013376
0.064430                 37.8398                 1.56415                 21.8363              0.40648356
0.064930                 36.3127                 1.50087                21.05377              0.38411118
0.065420                 34.8334                 1.44062                 20.2904              0.36289278
0.065920                 33.4077                 1.38327                19.55072              0.34283358
0.066420                 32.0278                 1.32787                18.82993               0.3238092
0.066920                 30.6993                 1.27434                18.13203             0.305833554
0.067410                 29.4146                   1.222                17.45286             0.288788688
0.067910                 28.1791                 1.17103                16.79573             0.272692548
0.068410                 26.9853                 1.12116                16.15701             0.257428728
0.068910                 25.8386                 1.07304                15.53992              0.24302403
0.069400                 24.7306                  1.0265                14.93976             0.229364208
0.069900                 23.6682                0.982051                14.36133             0.216480078
0.070400                 22.6421                0.939321                13.79901             0.204263586
0.070900                 21.6588                0.898526                13.25719             0.192746124
0.071390                 20.7104                0.859189                 12.7315             0.181828998
0.071890                 19.8016                0.821445                12.22501             0.171536418
0.072390                 18.9257                0.784925               11.733797             0.161785836
0.072890                 18.0872                0.749844               11.261253             0.152592912
0.073380                 17.2799                0.716118               10.803513             0.143888814
0.073880                 16.5068                 0.68403               10.362834              0.13568247
0.074380                 15.7632                 0.65352                9.936716             0.127917018
0.074880                 15.0513                0.624777                9.526812             0.120595122
0.075370                 14.3669                0.597554                9.130728             0.113670252
0.075870                 13.7115                0.571712                8.749637             0.107140896
0.076370                 13.0819                0.546895                8.381979             0.100968894
0.076870                 12.4791                0.522936                8.028446             0.095149188
0.077360                 11.9005                0.499606                7.687641             0.089650926
0.077860                 11.3465                 0.47691                7.359956              0.08446608
0.078360                 10.8152                0.454899                7.044354             0.079570476
0.078860                 10.3066                0.433731                6.741131             0.074953476
0.079350                 9.81926                0.413483                6.449442             0.070596252
0.079850                  9.3231                0.395018                6.169073             0.066486798
0.080350                 8.85094                0.377282                5.899622             0.062610642
0.080850                 8.42259                0.359651                5.640718             0.058954824
